# event_ticker=KXATPCHALLENGERMATCH-26FEB13KINILA
# final_score=6-2 6-4
# match_winner=Andre Ilagan
# fav_player=Andre Ilagan
# dog_player=Cannon Kingsley
# kalshi_date=2026-02-13
timestamp,Andre Ilagan,Cannon Kingsley
2026-02-13T06:34:00Z,,88.00
2026-02-13T06:45:00Z,43.00,88.00
2026-02-13T08:13:00Z,43.00,62.00
2026-02-13T08:20:00Z,43.00,62.00
2026-02-13T10:20:00Z,42.00,62.00
2026-02-13T11:12:00Z,37.00,62.00
2026-02-13T12:43:00Z,42.00,62.00
2026-02-13T13:15:00Z,41.00,62.00
2026-02-13T13:39:00Z,41.00,62.00
2026-02-13T13:46:00Z,41.00,62.00
2026-02-13T13:47:00Z,41.00,62.00
2026-02-13T14:03:00Z,41.00,62.00
2026-02-13T14:12:00Z,41.00,62.00
2026-02-13T14:25:00Z,41.00,62.00
2026-02-13T14:35:00Z,41.00,62.00
2026-02-13T14:44:00Z,41.00,62.00
2026-02-13T15:05:00Z,41.00,62.00
2026-02-13T15:09:00Z,41.00,62.00
2026-02-13T15:47:00Z,41.00,61.00
2026-02-13T15:59:00Z,42.00,61.00
2026-02-13T16:07:00Z,42.00,61.00
2026-02-13T16:19:00Z,42.00,61.00
2026-02-13T16:39:00Z,43.00,61.00
2026-02-13T16:42:00Z,43.00,59.97
2026-02-13T16:47:00Z,42.92,59.97
2026-02-13T16:48:00Z,43.00,60.00
2026-02-13T16:54:00Z,43.00,60.00
2026-02-13T16:55:00Z,43.00,60.00
2026-02-13T17:03:00Z,43.00,60.00
2026-02-13T17:08:00Z,43.00,60.00
2026-02-13T17:09:00Z,43.00,60.00
2026-02-13T17:11:00Z,43.00,59.89
2026-02-13T17:13:00Z,43.00,59.89
2026-02-13T17:19:00Z,43.00,60.00
2026-02-13T17:20:00Z,43.80,60.00
2026-02-13T17:21:00Z,43.75,60.00
2026-02-13T17:22:00Z,43.00,59.77
2026-02-13T17:23:00Z,45.33,58.77
2026-02-13T17:24:00Z,48.99,49.00
2026-02-13T17:25:00Z,45.58,51.35
2026-02-13T17:26:00Z,48.48,52.69
2026-02-13T17:27:00Z,45.33,52.07
2026-02-13T17:28:00Z,50.82,50.56
2026-02-13T17:29:00Z,56.58,47.39
2026-02-13T17:30:00Z,58.19,44.03
2026-02-13T17:31:00Z,56.36,43.22
2026-02-13T17:32:00Z,58.06,37.84
2026-02-13T17:33:00Z,58.06,39.22
2026-02-13T17:34:00Z,52.04,46.99
2026-02-13T17:35:00Z,56.00,42.70
