# event_ticker=KXATPCHALLENGERMATCH-26MAR11SHECOP
# final_score=2-6 6-1 7-6(5)
# score_resolution=6-2 1-6 6-7
# match_winner=Kimmer Coppejans
# fav_player=Abdullah Shelbayh
# dog_player=Kimmer Coppejans
# kalshi_date=2026-03-11
timestamp,Abdullah Shelbayh,Kimmer Coppejans
2026-03-11T00:38:00Z,50.00,
2026-03-11T04:01:00Z,50.00,51.00
2026-03-11T04:04:00Z,50.00,51.29
2026-03-11T04:37:00Z,50.00,51.29
2026-03-11T04:40:00Z,50.00,52.00
2026-03-11T04:41:00Z,50.00,52.00
2026-03-11T04:55:00Z,50.00,52.00
2026-03-11T05:46:00Z,50.00,51.53
2026-03-11T05:59:00Z,49.00,51.53
2026-03-11T06:00:00Z,49.00,52.00
2026-03-11T06:25:00Z,48.00,52.00
2026-03-11T06:54:00Z,48.00,51.00
2026-03-11T07:08:00Z,48.00,51.00
2026-03-11T07:09:00Z,51.00,51.00
2026-03-11T08:02:00Z,51.00,51.00
2026-03-11T08:23:00Z,51.00,50.74
2026-03-11T08:32:00Z,51.00,52.00
2026-03-11T08:47:00Z,50.00,52.00
2026-03-11T09:00:00Z,50.00,51.00
2026-03-11T09:08:00Z,50.00,52.00
2026-03-11T09:11:00Z,50.00,52.00
2026-03-11T09:15:00Z,50.00,52.00
2026-03-11T09:19:00Z,50.00,52.00
2026-03-11T09:21:00Z,50.00,52.00
2026-03-11T09:33:00Z,50.00,53.00
2026-03-11T09:34:00Z,50.00,52.00
2026-03-11T09:41:00Z,50.00,53.00
2026-03-11T09:48:00Z,51.00,53.00
2026-03-11T09:58:00Z,51.00,52.00
2026-03-11T10:08:00Z,51.00,52.00
2026-03-11T10:14:00Z,51.50,52.00
2026-03-11T10:15:00Z,52.00,52.00
2026-03-11T10:16:00Z,52.00,48.00
2026-03-11T10:17:00Z,52.00,51.00
2026-03-11T10:22:00Z,52.00,52.00
2026-03-11T10:27:00Z,52.00,52.00
2026-03-11T10:32:00Z,51.00,52.00
2026-03-11T10:38:00Z,51.74,52.00
2026-03-11T10:44:00Z,51.74,52.45
2026-03-11T10:48:00Z,51.00,52.45
2026-03-11T10:49:00Z,52.00,52.45
2026-03-11T10:51:00Z,51.22,52.45
2026-03-11T10:54:00Z,51.00,52.45
2026-03-11T10:56:00Z,51.00,52.89
2026-03-11T10:57:00Z,51.85,52.89
