# event_ticker=KXATPCHALLENGERMATCH-26JUN02PETMOR
# final_score=6-1 6-3
# match_winner=Alejandro Moro Canas
# fav_player=Alejandro Moro Canas
# dog_player=Mika Petkovic
# kalshi_date=2026-06-02
timestamp,Mika Petkovic,Alejandro Moro Canas
2026-06-01T22:28:00Z,38.00,
2026-06-02T02:46:00Z,38.00,64.00
2026-06-02T03:32:00Z,38.00,64.00
2026-06-02T05:36:00Z,36.00,64.00
2026-06-02T06:23:00Z,36.00,66.00
2026-06-02T06:42:00Z,36.00,66.00
2026-06-02T06:47:00Z,36.00,66.00
2026-06-02T06:55:00Z,36.00,66.00
2026-06-02T07:29:00Z,36.00,67.00
2026-06-02T09:38:00Z,34.00,66.00
2026-06-02T09:39:00Z,33.00,67.00
2026-06-02T09:40:00Z,33.00,67.00
2026-06-02T09:42:00Z,33.00,69.00
2026-06-02T09:43:00Z,31.00,69.01
2026-06-02T09:44:00Z,28.87,74.00
2026-06-02T09:45:00Z,23.00,75.00
2026-06-02T09:46:00Z,20.00,80.00
2026-06-02T09:48:00Z,20.00,78.16
2026-06-02T09:50:00Z,22.00,79.00
2026-06-02T09:53:00Z,22.00,83.00
2026-06-02T09:54:00Z,14.08,85.00
2026-06-02T09:55:00Z,13.00,87.83
2026-06-02T09:57:00Z,13.00,89.00
2026-06-02T09:58:00Z,11.00,87.00
2026-06-02T09:59:00Z,11.00,88.00
2026-06-02T10:00:00Z,13.00,88.00
2026-06-02T10:01:00Z,13.00,89.00
2026-06-02T10:02:00Z,13.00,87.00
2026-06-02T10:04:00Z,13.00,88.00
2026-06-02T10:05:00Z,12.00,89.00
2026-06-02T10:06:00Z,12.00,89.00
2026-06-02T10:09:00Z,15.00,89.00
2026-06-02T10:10:00Z,16.00,84.76
2026-06-02T10:11:00Z,15.00,84.76
2026-06-02T10:14:00Z,15.00,87.00
2026-06-02T10:15:00Z,17.00,85.00
2026-06-02T10:16:00Z,16.00,85.00
2026-06-02T10:17:00Z,16.00,81.00
2026-06-02T10:18:00Z,18.00,81.30
2026-06-02T10:19:00Z,17.00,81.30
2026-06-02T10:20:00Z,14.25,85.00
2026-06-02T10:21:00Z,19.00,81.00
2026-06-02T10:22:00Z,19.00,81.00
2026-06-02T10:23:00Z,20.00,81.00
2026-06-02T10:24:00Z,19.00,81.00
2026-06-02T10:25:00Z,17.00,81.00
2026-06-02T10:26:00Z,16.00,81.00
2026-06-02T10:27:00Z,16.00,84.01
2026-06-02T10:28:00Z,16.00,88.00
2026-06-02T10:29:00Z,15.00,88.00
2026-06-02T10:30:00Z,6.27,90.70
2026-06-02T10:31:00Z,5.00,90.70
2026-06-02T10:32:00Z,4.00,96.00
2026-06-02T10:33:00Z,2.71,98.00
2026-06-02T10:34:00Z,2.00,98.00
2026-06-02T10:35:00Z,2.00,98.19
2026-06-02T10:36:00Z,2.00,98.19
2026-06-02T10:37:00Z,2.00,99.00
2026-06-02T10:38:00Z,2.00,99.00
2026-06-02T10:39:00Z,2.00,98.00
2026-06-02T10:40:00Z,2.00,98.99
2026-06-02T10:41:00Z,1.00,99.00
