# event_ticker=KXATPCHALLENGERMATCH-26FEB17PAGMID
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Lautaro Midon
# fav_player=Dante Pagani
# dog_player=Lautaro Midon
# kalshi_date=2026-02-17
timestamp,Dante Pagani,Lautaro Midon
2026-02-17T01:30:00Z,,88.00
2026-02-17T02:54:00Z,8.00,88.00
2026-02-17T03:02:00Z,8.00,90.00
2026-02-17T03:20:00Z,9.60,90.00
2026-02-17T03:23:00Z,9.87,90.00
2026-02-17T03:43:00Z,9.87,94.00
2026-02-17T04:39:00Z,9.97,94.00
2026-02-17T05:00:00Z,9.97,94.00
2026-02-17T05:34:00Z,9.82,94.00
2026-02-17T05:58:00Z,9.78,94.00
2026-02-17T06:58:00Z,8.90,94.00
2026-02-17T07:01:00Z,8.90,94.00
2026-02-17T07:16:00Z,8.98,94.00
2026-02-17T08:06:00Z,8.91,94.00
2026-02-17T08:46:00Z,9.00,94.00
2026-02-17T09:29:00Z,9.00,94.00
2026-02-17T10:38:00Z,9.00,93.00
2026-02-17T11:05:00Z,9.00,93.00
2026-02-17T11:08:00Z,9.00,93.00
2026-02-17T11:15:00Z,9.00,93.00
2026-02-17T11:26:00Z,9.00,93.00
2026-02-17T11:31:00Z,9.00,93.00
2026-02-17T11:38:00Z,9.00,93.00
2026-02-17T12:03:00Z,9.00,93.00
2026-02-17T12:07:00Z,9.00,93.00
2026-02-17T12:20:00Z,9.00,93.00
2026-02-17T12:49:00Z,9.00,93.00
2026-02-17T12:50:00Z,9.00,93.00
2026-02-17T12:57:00Z,9.00,93.00
2026-02-17T13:06:00Z,9.51,93.00
2026-02-17T13:07:00Z,9.77,93.00
2026-02-17T13:08:00Z,9.81,93.00
2026-02-17T13:09:00Z,10.00,93.00
2026-02-17T13:10:00Z,9.52,92.00
2026-02-17T13:11:00Z,7.00,92.00
2026-02-17T13:12:00Z,6.00,92.00
2026-02-17T13:13:00Z,6.47,92.00
2026-02-17T13:14:00Z,7.72,92.00
2026-02-17T13:15:00Z,9.69,92.00
2026-02-17T13:16:00Z,8.16,92.00
2026-02-17T13:17:00Z,7.65,93.00
2026-02-17T13:18:00Z,8.00,94.00
2026-02-17T13:19:00Z,10.00,91.94
2026-02-17T13:20:00Z,9.24,91.00
2026-02-17T13:21:00Z,10.10,89.93
2026-02-17T13:22:00Z,8.26,89.93
2026-02-17T13:23:00Z,9.91,90.00
2026-02-17T13:24:00Z,8.99,90.00
2026-02-17T13:25:00Z,11.04,90.00
2026-02-17T13:26:00Z,11.49,88.00
2026-02-17T13:27:00Z,12.00,88.00
2026-02-17T13:28:00Z,14.16,88.00
2026-02-17T13:29:00Z,16.03,85.00
2026-02-17T13:30:00Z,18.61,84.00
2026-02-17T13:31:00Z,14.06,86.85
2026-02-17T13:32:00Z,14.14,85.93
2026-02-17T13:33:00Z,12.30,88.96
2026-02-17T13:34:00Z,15.55,84.20
2026-02-17T13:35:00Z,15.75,84.45
2026-02-17T13:36:00Z,14.44,85.00
2026-02-17T13:37:00Z,18.35,88.68
2026-02-17T13:38:00Z,15.12,85.51
2026-02-17T13:39:00Z,15.36,82.89
2026-02-17T13:40:00Z,12.44,90.00
2026-02-17T13:41:00Z,10.20,91.96
2026-02-17T13:42:00Z,11.15,90.00
2026-02-17T13:43:00Z,13.20,90.00
2026-02-17T13:44:00Z,11.68,89.73
2026-02-17T13:45:00Z,7.39,92.00
2026-02-17T13:46:00Z,6.50,92.00
2026-02-17T13:47:00Z,7.33,92.00
2026-02-17T13:48:00Z,8.17,92.00
2026-02-17T13:49:00Z,8.09,92.13
2026-02-17T13:50:00Z,7.16,94.00
2026-02-17T13:51:00Z,6.33,93.02
2026-02-17T13:52:00Z,4.93,95.00
2026-02-17T13:53:00Z,5.24,95.11
2026-02-17T13:54:00Z,5.00,95.11
2026-02-17T13:55:00Z,6.13,95.00
2026-02-17T13:56:00Z,4.00,96.00
2026-02-17T13:57:00Z,4.00,96.00
2026-02-17T13:58:00Z,4.14,96.00
2026-02-17T13:59:00Z,4.47,97.00
2026-02-17T14:00:00Z,5.00,97.00
2026-02-17T14:01:00Z,3.36,97.00
2026-02-17T14:02:00Z,2.35,97.00
2026-02-17T14:03:00Z,3.71,98.00
2026-02-17T14:04:00Z,4.00,97.00
2026-02-17T14:05:00Z,4.00,97.00
2026-02-17T14:06:00Z,4.48,97.03
2026-02-17T14:07:00Z,3.92,97.00
2026-02-17T14:08:00Z,4.10,96.00
2026-02-17T14:09:00Z,5.00,96.00
2026-02-17T14:10:00Z,4.16,96.00
