# event_ticker=KXATPMATCH-26MAY16TRUNAV
# final_score=5-7 7-5 6-1
# score_resolution=7-5 5-7 1-6
# match_winner=Mariano Navone
# fav_player=Marco Trungelliti
# dog_player=Mariano Navone
# kalshi_date=2026-05-16
timestamp,Marco Trungelliti,Mariano Navone
2026-05-17T01:48:00Z,31.00,
2026-05-17T02:02:00Z,31.00,71.00
2026-05-17T02:14:00Z,31.00,71.00
2026-05-17T02:38:00Z,31.00,71.00
2026-05-17T02:45:00Z,31.00,71.00
2026-05-17T03:05:00Z,31.00,71.00
2026-05-17T03:20:00Z,31.00,71.00
2026-05-17T03:46:00Z,31.00,71.00
2026-05-17T03:48:00Z,31.00,71.00
2026-05-17T03:56:00Z,31.00,71.00
2026-05-17T04:03:00Z,31.00,71.00
2026-05-17T04:23:00Z,31.00,71.00
2026-05-17T04:38:00Z,31.00,71.00
2026-05-17T04:53:00Z,31.00,71.00
2026-05-17T04:54:00Z,31.00,71.00
2026-05-17T05:00:00Z,31.00,71.00
2026-05-17T05:17:00Z,31.00,71.00
2026-05-17T05:18:00Z,30.00,71.00
2026-05-17T05:19:00Z,30.00,71.00
2026-05-17T05:21:00Z,30.00,71.00
2026-05-17T05:22:00Z,30.00,71.00
2026-05-17T05:30:00Z,30.00,71.00
2026-05-17T05:31:00Z,31.00,71.00
2026-05-17T05:32:00Z,31.00,71.00
2026-05-17T05:34:00Z,31.00,71.00
2026-05-17T05:45:00Z,30.00,71.00
2026-05-17T05:57:00Z,30.00,71.00
2026-05-17T06:04:00Z,29.00,71.00
2026-05-17T06:05:00Z,29.00,71.00
2026-05-17T06:13:00Z,29.00,71.00
2026-05-17T06:23:00Z,29.00,71.00
2026-05-17T06:45:00Z,29.00,72.00
2026-05-17T06:55:00Z,29.00,72.00
2026-05-17T07:01:00Z,29.00,72.00
2026-05-17T07:12:00Z,29.00,72.00
2026-05-17T08:32:00Z,29.00,72.00
2026-05-17T08:36:00Z,29.00,72.00
2026-05-17T08:40:00Z,29.00,72.00
2026-05-17T09:23:00Z,29.00,72.00
2026-05-17T09:53:00Z,29.00,72.00
2026-05-17T10:00:00Z,28.00,72.00
2026-05-17T10:13:00Z,29.00,72.00
2026-05-17T10:19:00Z,29.00,72.00
2026-05-17T10:30:00Z,29.00,73.00
2026-05-17T10:43:00Z,29.00,73.00
2026-05-17T10:45:00Z,29.00,73.00
2026-05-17T10:55:00Z,28.00,73.00
2026-05-17T11:02:00Z,29.00,73.00
2026-05-17T11:08:00Z,29.00,73.00
2026-05-17T11:17:00Z,29.00,72.00
2026-05-17T11:27:00Z,28.00,72.00
2026-05-17T11:32:00Z,28.00,73.00
2026-05-17T11:46:00Z,28.00,73.00
2026-05-17T11:50:00Z,27.00,73.00
2026-05-17T11:54:00Z,27.00,73.00
2026-05-17T11:56:00Z,27.00,74.00
2026-05-17T12:01:00Z,26.00,74.00
2026-05-17T12:02:00Z,26.00,75.00
2026-05-17T12:03:00Z,26.00,76.00
2026-05-17T12:05:00Z,26.00,76.00
2026-05-17T12:10:00Z,26.00,73.00
2026-05-17T12:11:00Z,26.00,74.00
2026-05-17T12:12:00Z,27.43,74.00
2026-05-17T12:13:00Z,26.00,74.00
2026-05-17T12:14:00Z,27.43,74.00
