# event_ticker=KXATPCHALLENGERMATCH-26APR21SKAPRI
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Timofey Skatov
# fav_player=Oleg Prihodko
# dog_player=Timofey Skatov
# kalshi_date=2026-04-21
timestamp,Timofey Skatov,Oleg Prihodko
2026-04-20T21:26:00Z,,22.00
2026-04-21T01:18:00Z,,19.00
2026-04-21T01:49:00Z,81.00,19.00
2026-04-21T02:11:00Z,81.00,21.00
2026-04-21T02:12:00Z,78.00,21.00
2026-04-21T02:49:00Z,81.00,19.00
2026-04-21T03:03:00Z,81.00,19.00
2026-04-21T03:37:00Z,80.00,19.00
2026-04-21T03:38:00Z,81.00,19.00
2026-04-21T03:41:00Z,81.00,19.00
2026-04-21T03:50:00Z,81.00,20.76
2026-04-21T04:13:00Z,81.00,20.00
2026-04-21T04:44:00Z,81.00,20.00
2026-04-21T05:10:00Z,79.00,20.00
2026-04-21T05:11:00Z,79.00,20.00
2026-04-21T05:30:00Z,79.00,20.00
2026-04-21T05:31:00Z,79.00,21.00
2026-04-21T05:39:00Z,79.00,19.00
2026-04-21T05:40:00Z,81.00,19.00
2026-04-21T05:48:00Z,81.00,19.00
2026-04-21T05:49:00Z,79.00,19.00
2026-04-21T05:56:00Z,81.00,19.00
2026-04-21T05:57:00Z,81.56,19.00
2026-04-21T06:00:00Z,81.91,19.00
2026-04-21T06:14:00Z,82.00,19.00
2026-04-21T06:15:00Z,82.00,19.00
2026-04-21T06:16:00Z,79.43,19.00
2026-04-21T06:26:00Z,79.43,20.00
2026-04-21T07:10:00Z,79.43,20.00
2026-04-21T07:12:00Z,79.43,20.00
2026-04-21T07:17:00Z,82.75,20.00
2026-04-21T07:26:00Z,82.90,20.00
2026-04-21T07:28:00Z,82.90,20.00
2026-04-21T07:32:00Z,82.00,20.00
2026-04-21T07:33:00Z,83.00,20.00
2026-04-21T07:38:00Z,83.00,20.00
2026-04-21T07:39:00Z,82.00,20.00
2026-04-21T07:40:00Z,82.00,20.49
2026-04-21T07:41:00Z,82.00,21.00
2026-04-21T07:42:00Z,82.74,20.00
2026-04-21T07:43:00Z,82.74,20.31
2026-04-21T07:44:00Z,82.74,21.53
2026-04-21T07:45:00Z,80.00,21.38
2026-04-21T07:46:00Z,81.00,21.50
2026-04-21T07:47:00Z,81.00,21.00
2026-04-21T07:48:00Z,78.36,21.00
2026-04-21T07:49:00Z,79.00,24.00
2026-04-21T07:50:00Z,79.62,22.00
2026-04-21T07:51:00Z,79.62,20.25
2026-04-21T07:52:00Z,79.62,23.00
2026-04-21T07:53:00Z,82.26,18.81
2026-04-21T07:54:00Z,81.86,20.25
2026-04-21T07:55:00Z,81.86,20.60
2026-04-21T07:56:00Z,81.86,22.83
2026-04-21T07:57:00Z,76.90,23.00
2026-04-21T07:58:00Z,78.50,22.00
