# event_ticker=KXATPCHALLENGERMATCH-26MAR23BLASAC
# final_score=6-2 6-1
# match_winner=Vitaliy Sachko
# fav_player=Vitaliy Sachko
# dog_player=Geoffrey Blancaneaux
# kalshi_date=2026-03-23
timestamp,Vitaliy Sachko,Geoffrey Blancaneaux
2026-03-23T04:31:00Z,,47.00
2026-03-23T04:35:00Z,54.00,47.00
2026-03-23T04:58:00Z,54.00,47.00
2026-03-23T05:05:00Z,54.00,47.00
2026-03-23T05:13:00Z,54.00,47.00
2026-03-23T06:31:00Z,55.00,47.00
2026-03-23T07:06:00Z,55.00,47.00
2026-03-23T07:21:00Z,55.00,47.00
2026-03-23T07:36:00Z,55.00,47.00
2026-03-23T07:53:00Z,55.00,47.00
2026-03-23T07:59:00Z,55.00,47.00
2026-03-23T08:43:00Z,55.00,46.00
2026-03-23T08:58:00Z,55.00,46.00
2026-03-23T08:59:00Z,56.26,46.00
2026-03-23T09:07:00Z,56.26,46.00
2026-03-23T09:58:00Z,56.00,46.00
2026-03-23T10:42:00Z,56.00,46.00
2026-03-23T10:55:00Z,56.00,45.00
2026-03-23T11:12:00Z,56.00,45.00
2026-03-23T11:27:00Z,56.00,45.00
2026-03-23T11:31:00Z,56.00,45.00
2026-03-23T11:42:00Z,56.00,45.00
2026-03-23T11:45:00Z,56.52,45.00
2026-03-23T11:56:00Z,56.52,45.90
2026-03-23T12:06:00Z,56.52,46.26
2026-03-23T12:10:00Z,56.52,47.00
2026-03-23T12:12:00Z,57.00,47.00
2026-03-23T12:38:00Z,57.00,47.00
2026-03-23T12:39:00Z,57.00,47.00
2026-03-23T12:40:00Z,57.00,47.00
2026-03-23T12:43:00Z,57.00,47.00
2026-03-23T12:45:00Z,57.00,47.00
2026-03-23T12:46:00Z,57.00,47.00
2026-03-23T12:47:00Z,56.98,46.84
2026-03-23T12:48:00Z,57.00,46.84
2026-03-23T12:49:00Z,57.00,47.00
2026-03-23T12:51:00Z,57.09,47.00
2026-03-23T12:52:00Z,57.00,46.00
2026-03-23T12:53:00Z,60.76,40.02
2026-03-23T12:54:00Z,62.00,41.00
2026-03-23T12:55:00Z,60.52,41.00
2026-03-23T12:56:00Z,57.02,48.40
2026-03-23T12:57:00Z,55.00,43.00
2026-03-23T12:58:00Z,53.73,43.00
2026-03-23T13:00:00Z,54.87,43.00
2026-03-23T13:01:00Z,58.00,44.96
2026-03-23T13:02:00Z,58.00,47.00
2026-03-23T13:03:00Z,57.00,47.00
2026-03-23T13:04:00Z,60.00,47.14
2026-03-23T13:05:00Z,65.47,47.14
2026-03-23T13:06:00Z,67.24,37.00
2026-03-23T13:07:00Z,65.50,37.00
2026-03-23T13:08:00Z,68.00,35.00
2026-03-23T13:09:00Z,68.26,34.00
2026-03-23T13:10:00Z,72.90,31.95
2026-03-23T13:11:00Z,73.97,32.00
2026-03-23T13:12:00Z,69.41,38.99
2026-03-23T13:13:00Z,65.85,36.54
2026-03-23T13:14:00Z,65.89,36.83
2026-03-23T13:15:00Z,67.90,36.00
2026-03-23T13:16:00Z,69.00,36.00
2026-03-23T13:17:00Z,73.00,29.96
2026-03-23T13:18:00Z,73.00,25.00
2026-03-23T13:19:00Z,80.87,21.69
2026-03-23T13:20:00Z,81.96,19.00
2026-03-23T13:21:00Z,82.43,19.00
2026-03-23T13:22:00Z,82.95,18.08
2026-03-23T13:23:00Z,81.88,21.68
2026-03-23T13:24:00Z,80.00,21.64
2026-03-23T13:25:00Z,83.54,17.85
2026-03-23T13:26:00Z,83.55,18.05
2026-03-23T13:27:00Z,76.37,20.84
2026-03-23T13:28:00Z,82.18,20.32
2026-03-23T13:29:00Z,82.18,19.00
2026-03-23T13:30:00Z,81.57,19.00
2026-03-23T13:31:00Z,81.43,19.00
2026-03-23T13:32:00Z,83.74,18.00
2026-03-23T13:33:00Z,83.81,18.00
2026-03-23T13:34:00Z,82.96,18.00
2026-03-23T13:35:00Z,82.70,16.99
2026-03-23T13:36:00Z,82.41,17.00
2026-03-23T13:37:00Z,84.00,17.00
2026-03-23T13:38:00Z,88.04,14.17
2026-03-23T13:39:00Z,87.89,10.37
2026-03-23T13:40:00Z,92.83,7.00
2026-03-23T13:41:00Z,92.83,6.29
2026-03-23T13:42:00Z,95.00,5.73
2026-03-23T13:43:00Z,95.67,4.00
2026-03-23T13:44:00Z,94.09,4.41
2026-03-23T13:45:00Z,96.00,5.00
2026-03-23T13:46:00Z,96.76,4.08
2026-03-23T13:47:00Z,96.00,5.07
2026-03-23T13:48:00Z,96.00,4.56
2026-03-23T13:49:00Z,96.18,3.43
2026-03-23T13:50:00Z,98.92,1.02
2026-03-23T13:51:00Z,98.98,1.00
2026-03-23T13:52:00Z,98.98,1.02
2026-03-23T13:53:00Z,99.00,2.00
2026-03-23T13:54:00Z,98.80,1.02
2026-03-23T13:55:00Z,99.00,1.77
2026-03-23T13:56:00Z,99.00,1.72
2026-03-23T13:57:00Z,99.00,1.00
2026-03-23T13:58:00Z,99.00,1.00
2026-03-23T13:59:00Z,99.00,2.00
2026-03-23T14:00:00Z,98.00,1.00
2026-03-23T14:01:00Z,98.14,2.00
2026-03-23T14:02:00Z,98.00,2.00
2026-03-23T14:03:00Z,99.00,1.34
2026-03-23T14:04:00Z,99.00,2.00
2026-03-23T14:05:00Z,99.00,2.00
2026-03-23T14:06:00Z,99.00,2.00
2026-03-23T14:08:00Z,99.00,2.00
2026-03-23T14:09:00Z,99.00,2.00
2026-03-23T14:11:00Z,99.00,2.00
2026-03-23T14:12:00Z,99.00,2.00
