# event_ticker=KXATPCHALLENGERMATCH-26MAY29PANCOU
# final_score=3-6 6-4 7-6(2)
# score_resolution=6-3 4-6 6-7
# match_winner=Eliakim Coulibaly
# fav_player=Semen Pankin
# dog_player=Eliakim Coulibaly
# kalshi_date=2026-05-29
timestamp,Semen Pankin,Eliakim Coulibaly
2026-05-28T21:14:00Z,43.00,
2026-05-29T01:13:00Z,39.00,
2026-05-29T01:26:00Z,39.00,
2026-05-29T02:23:00Z,33.87,70.01
2026-05-29T02:45:00Z,33.87,67.00
2026-05-29T03:06:00Z,37.00,67.00
2026-05-29T03:07:00Z,37.00,69.39
2026-05-29T03:12:00Z,37.00,63.16
2026-05-29T03:14:00Z,37.00,68.00
2026-05-29T03:16:00Z,37.26,68.00
2026-05-29T03:22:00Z,37.26,67.00
2026-05-29T03:29:00Z,37.69,67.00
2026-05-29T03:39:00Z,37.69,67.00
2026-05-29T03:48:00Z,37.00,67.00
2026-05-29T03:50:00Z,37.00,67.36
2026-05-29T03:55:00Z,37.00,68.00
2026-05-29T04:02:00Z,37.00,68.00
2026-05-29T04:13:00Z,37.00,63.00
2026-05-29T04:18:00Z,37.00,63.00
2026-05-29T04:19:00Z,37.00,68.59
2026-05-29T04:20:00Z,37.00,68.00
2026-05-29T04:24:00Z,37.00,68.00
2026-05-29T04:25:00Z,37.00,68.00
2026-05-29T04:27:00Z,37.00,68.00
2026-05-29T04:32:00Z,34.00,68.00
2026-05-29T04:34:00Z,34.00,68.00
2026-05-29T04:37:00Z,34.00,69.00
2026-05-29T04:42:00Z,37.00,69.00
2026-05-29T04:47:00Z,37.00,63.76
2026-05-29T05:07:00Z,37.00,67.00
2026-05-29T05:09:00Z,37.00,68.77
2026-05-29T05:10:00Z,37.00,68.77
2026-05-29T05:11:00Z,37.00,68.00
2026-05-29T05:14:00Z,37.00,68.00
2026-05-29T05:20:00Z,37.00,68.00
2026-05-29T05:22:00Z,37.00,68.00
2026-05-29T05:30:00Z,37.00,68.00
2026-05-29T05:32:00Z,37.00,68.00
2026-05-29T05:33:00Z,37.00,66.67
2026-05-29T05:34:00Z,37.00,68.00
2026-05-29T05:36:00Z,37.00,67.45
2026-05-29T05:42:00Z,37.46,66.00
2026-05-29T05:55:00Z,37.46,66.00
2026-05-29T05:56:00Z,37.46,66.00
2026-05-29T06:06:00Z,37.46,67.00
2026-05-29T06:09:00Z,37.46,67.00
2026-05-29T06:21:00Z,37.46,67.00
2026-05-29T06:42:00Z,37.46,67.86
2026-05-29T06:47:00Z,37.40,68.00
2026-05-29T06:52:00Z,37.40,68.00
2026-05-29T06:55:00Z,37.40,64.00
2026-05-29T06:57:00Z,37.40,67.74
2026-05-29T06:58:00Z,37.40,68.40
2026-05-29T07:03:00Z,37.40,68.00
2026-05-29T07:08:00Z,37.40,66.00
2026-05-29T07:19:00Z,36.00,66.00
2026-05-29T07:20:00Z,36.00,65.00
2026-05-29T07:23:00Z,36.00,66.00
2026-05-29T07:25:00Z,36.00,64.00
2026-05-29T07:38:00Z,37.00,64.00
2026-05-29T07:42:00Z,36.00,64.00
2026-05-29T07:55:00Z,36.00,65.00
2026-05-29T07:56:00Z,36.00,65.00
2026-05-29T07:59:00Z,37.00,65.79
2026-05-29T08:01:00Z,37.00,66.48
2026-05-29T08:04:00Z,37.00,66.51
2026-05-29T08:08:00Z,37.00,67.05
2026-05-29T08:09:00Z,37.00,66.00
2026-05-29T08:12:00Z,38.23,65.00
2026-05-29T08:13:00Z,38.00,63.27
2026-05-29T08:14:00Z,40.99,63.27
2026-05-29T08:15:00Z,38.92,63.27
2026-05-29T08:16:00Z,39.30,61.00
2026-05-29T08:17:00Z,42.08,59.11
2026-05-29T08:19:00Z,42.08,60.13
2026-05-29T08:21:00Z,40.00,61.00
2026-05-29T08:22:00Z,40.00,60.32
2026-05-29T08:23:00Z,40.00,62.00
2026-05-29T08:24:00Z,40.00,62.00
2026-05-29T08:25:00Z,38.00,63.00
2026-05-29T08:26:00Z,30.14,68.01
2026-05-29T08:27:00Z,33.15,67.00
2026-05-29T08:28:00Z,36.00,67.00
2026-05-29T08:29:00Z,35.00,67.19
2026-05-29T08:30:00Z,37.00,65.99
2026-05-29T08:31:00Z,39.83,60.00
2026-05-29T08:32:00Z,40.00,60.02
2026-05-29T08:33:00Z,41.00,62.00
2026-05-29T08:34:00Z,41.00,63.44
2026-05-29T08:35:00Z,41.00,65.06
2026-05-29T08:36:00Z,35.84,67.00
2026-05-29T08:37:00Z,36.00,65.99
2026-05-29T08:38:00Z,39.66,58.78
2026-05-29T08:39:00Z,40.00,62.00
2026-05-29T08:40:00Z,40.14,59.11
2026-05-29T08:41:00Z,40.91,61.91
2026-05-29T08:42:00Z,45.06,57.41
2026-05-29T08:43:00Z,45.06,58.76
2026-05-29T08:44:00Z,41.93,58.42
2026-05-29T08:45:00Z,37.53,62.58
2026-05-29T08:46:00Z,42.84,60.01
2026-05-29T08:47:00Z,51.50,49.59
2026-05-29T08:48:00Z,60.30,40.95
2026-05-29T08:49:00Z,57.00,41.89
2026-05-29T08:50:00Z,63.12,39.54
2026-05-29T08:51:00Z,64.98,32.22
2026-05-29T08:52:00Z,67.36,33.19
2026-05-29T08:53:00Z,67.36,34.00
2026-05-29T08:54:00Z,68.41,34.00
2026-05-29T08:55:00Z,69.64,32.50
2026-05-29T08:56:00Z,66.83,37.24
2026-05-29T08:57:00Z,59.85,44.13
