# event_ticker=KXATPMATCH-26MAR24VACFIL
# final_score=6-4 6-7(4) 6-4
# score_resolution=4-6 7-6 4-6
# match_winner=Arthur Fils
# fav_player=Valentin Vacherot
# dog_player=Arthur Fils
# kalshi_date=2026-03-24
timestamp,Valentin Vacherot,Arthur Fils
2026-03-24T06:06:00Z,29.00,
2026-03-24T06:07:00Z,29.00,
2026-03-24T06:08:00Z,29.00,72.00
2026-03-24T06:10:00Z,29.00,72.00
2026-03-24T06:11:00Z,29.22,71.00
2026-03-24T06:15:00Z,29.22,71.00
2026-03-24T06:17:00Z,29.00,71.00
2026-03-24T06:19:00Z,29.00,71.00
2026-03-24T06:24:00Z,29.00,71.00
2026-03-24T06:31:00Z,29.00,71.44
2026-03-24T06:37:00Z,29.00,71.44
2026-03-24T06:41:00Z,29.00,71.00
2026-03-24T06:43:00Z,29.00,71.00
2026-03-24T06:46:00Z,29.00,71.00
2026-03-24T06:48:00Z,29.33,71.00
2026-03-24T06:52:00Z,29.33,71.00
2026-03-24T06:55:00Z,29.33,71.00
2026-03-24T06:57:00Z,29.33,71.47
2026-03-24T06:58:00Z,29.33,71.00
2026-03-24T06:59:00Z,29.33,71.00
2026-03-24T07:02:00Z,29.33,71.00
2026-03-24T07:08:00Z,29.33,71.00
2026-03-24T07:09:00Z,29.33,71.00
2026-03-24T07:12:00Z,30.00,71.00
2026-03-24T07:16:00Z,30.00,71.00
2026-03-24T07:23:00Z,30.00,71.00
2026-03-24T07:28:00Z,30.00,71.00
2026-03-24T07:30:00Z,29.00,71.00
2026-03-24T07:31:00Z,28.00,71.00
2026-03-24T07:32:00Z,28.00,71.00
2026-03-24T07:47:00Z,29.00,71.00
2026-03-24T07:49:00Z,29.00,71.00
2026-03-24T07:53:00Z,29.00,71.00
2026-03-24T08:02:00Z,28.93,71.00
2026-03-24T08:19:00Z,30.00,71.00
2026-03-24T08:20:00Z,30.00,71.00
2026-03-24T08:22:00Z,30.00,71.00
2026-03-24T08:23:00Z,29.00,71.00
2026-03-24T08:24:00Z,29.00,71.00
2026-03-24T08:27:00Z,29.00,71.00
2026-03-24T08:31:00Z,28.00,71.00
2026-03-24T08:34:00Z,28.00,71.00
2026-03-24T08:43:00Z,29.64,71.00
2026-03-24T08:45:00Z,30.00,71.00
2026-03-24T08:46:00Z,30.00,71.00
2026-03-24T08:58:00Z,30.00,70.50
2026-03-24T08:59:00Z,30.00,71.00
2026-03-24T09:00:00Z,29.00,71.00
2026-03-24T09:01:00Z,29.00,71.00
2026-03-24T09:16:00Z,29.00,71.00
2026-03-24T09:28:00Z,29.00,70.00
2026-03-24T09:35:00Z,29.00,71.00
2026-03-24T09:38:00Z,29.00,71.00
2026-03-24T09:44:00Z,29.00,71.00
2026-03-24T09:47:00Z,29.00,71.00
