# event_ticker=KXATPCHALLENGERMATCH-26MAY31VASNEU
# final_score=6-2 6-2
# match_winner=Lukas Neumayer
# fav_player=Lukas Neumayer
# dog_player=Jacopo Vasami
# kalshi_date=2026-05-31
timestamp,Jacopo Vasami,Lukas Neumayer
2026-05-30T21:36:00Z,36.00,
2026-05-30T22:09:00Z,36.00,67.00
2026-05-30T22:15:00Z,36.00,66.00
2026-05-30T22:49:00Z,36.00,66.00
2026-05-30T22:52:00Z,36.00,66.59
2026-05-30T22:53:00Z,36.00,67.00
2026-05-30T22:54:00Z,36.00,67.00
2026-05-30T23:07:00Z,36.00,67.00
2026-05-30T23:48:00Z,35.00,67.00
2026-05-30T23:57:00Z,35.00,67.00
2026-05-31T00:26:00Z,34.88,67.00
2026-05-31T00:51:00Z,35.00,67.00
2026-05-31T02:05:00Z,35.00,66.00
2026-05-31T03:25:00Z,35.00,67.00
2026-05-31T03:31:00Z,35.00,67.00
2026-05-31T03:35:00Z,35.00,67.00
2026-05-31T03:41:00Z,34.00,67.00
2026-05-31T04:25:00Z,34.00,67.00
2026-05-31T04:34:00Z,34.00,67.00
2026-05-31T04:39:00Z,34.00,67.00
2026-05-31T04:42:00Z,34.00,67.00
2026-05-31T04:45:00Z,34.00,66.00
2026-05-31T04:47:00Z,35.00,66.00
2026-05-31T04:52:00Z,35.00,66.00
2026-05-31T04:57:00Z,35.00,67.00
2026-05-31T05:03:00Z,35.00,67.00
2026-05-31T05:04:00Z,35.00,67.00
2026-05-31T05:10:00Z,35.00,67.00
2026-05-31T05:11:00Z,35.00,67.00
2026-05-31T05:24:00Z,35.00,67.00
2026-05-31T05:54:00Z,35.00,67.00
2026-05-31T05:55:00Z,34.00,67.00
2026-05-31T06:04:00Z,34.00,67.00
2026-05-31T06:10:00Z,34.00,67.00
2026-05-31T06:22:00Z,34.00,67.00
2026-05-31T06:25:00Z,34.00,67.00
2026-05-31T06:46:00Z,34.00,67.00
2026-05-31T06:47:00Z,34.00,67.00
2026-05-31T06:59:00Z,34.00,67.00
2026-05-31T07:36:00Z,34.00,67.00
2026-05-31T08:10:00Z,34.00,67.00
2026-05-31T08:24:00Z,34.00,67.00
2026-05-31T08:44:00Z,34.00,67.00
2026-05-31T08:45:00Z,34.00,67.00
2026-05-31T08:46:00Z,35.90,67.00
2026-05-31T08:57:00Z,35.90,66.00
2026-05-31T08:58:00Z,35.90,65.00
2026-05-31T09:00:00Z,37.00,65.00
2026-05-31T09:09:00Z,37.00,65.00
2026-05-31T09:11:00Z,37.00,63.00
2026-05-31T09:12:00Z,37.00,63.00
2026-05-31T09:13:00Z,38.94,63.00
2026-05-31T09:14:00Z,37.79,63.00
2026-05-31T09:15:00Z,33.00,64.00
2026-05-31T09:16:00Z,34.00,66.00
2026-05-31T09:17:00Z,33.00,64.00
2026-05-31T09:18:00Z,40.20,64.00
2026-05-31T09:19:00Z,37.98,62.00
2026-05-31T09:20:00Z,32.00,68.88
2026-05-31T09:21:00Z,33.55,66.05
2026-05-31T09:22:00Z,36.31,63.50
2026-05-31T09:23:00Z,37.69,63.09
2026-05-31T09:24:00Z,37.00,64.93
2026-05-31T09:25:00Z,35.00,64.33
2026-05-31T09:26:00Z,37.12,63.00
2026-05-31T09:27:00Z,39.00,61.56
2026-05-31T09:28:00Z,38.81,61.38
2026-05-31T09:29:00Z,34.59,66.28
2026-05-31T09:30:00Z,34.00,66.00
2026-05-31T09:31:00Z,30.00,66.00
2026-05-31T09:32:00Z,28.92,71.55
2026-05-31T09:33:00Z,32.28,69.90
2026-05-31T09:34:00Z,24.22,75.00
2026-05-31T09:36:00Z,24.22,78.82
2026-05-31T09:39:00Z,22.00,77.55
2026-05-31T09:41:00Z,24.30,75.22
2026-05-31T09:42:00Z,24.00,75.22
2026-05-31T09:44:00Z,24.00,75.92
2026-05-31T09:45:00Z,24.00,75.20
2026-05-31T09:46:00Z,24.00,73.00
2026-05-31T09:47:00Z,23.00,76.97
2026-05-31T09:48:00Z,23.00,76.00
2026-05-31T09:49:00Z,19.93,82.00
2026-05-31T09:50:00Z,21.95,78.25
2026-05-31T09:51:00Z,23.00,76.00
2026-05-31T09:52:00Z,23.00,82.70
2026-05-31T09:53:00Z,17.28,82.70
2026-05-31T09:54:00Z,19.00,82.60
2026-05-31T09:55:00Z,19.00,81.52
2026-05-31T09:56:00Z,19.00,81.00
2026-05-31T09:57:00Z,19.00,82.00
2026-05-31T09:58:00Z,19.95,82.27
2026-05-31T09:59:00Z,16.00,83.00
2026-05-31T10:00:00Z,16.99,83.66
2026-05-31T10:01:00Z,17.66,83.00
2026-05-31T10:03:00Z,16.14,84.00
2026-05-31T10:04:00Z,15.03,84.00
2026-05-31T10:05:00Z,17.00,83.00
2026-05-31T10:06:00Z,17.68,82.00
2026-05-31T10:07:00Z,17.97,83.00
2026-05-31T10:08:00Z,17.23,83.99
2026-05-31T10:09:00Z,17.23,83.00
2026-05-31T10:11:00Z,20.00,85.46
2026-05-31T10:12:00Z,21.78,82.00
2026-05-31T10:13:00Z,22.00,82.00
