# event_ticker=KXATPCHALLENGERMATCH-26APR11COLLAN
# final_score=6-1 6-4
# score_resolution=1-6 4-6
# match_winner=Raphael Collignon
# fav_player=Martin Landaluce
# dog_player=Raphael Collignon
# kalshi_date=2026-04-11
timestamp,Martin Landaluce,Raphael Collignon
2026-04-10T21:26:00Z,35.00,
2026-04-10T21:28:00Z,35.00,
2026-04-10T23:03:00Z,33.00,
2026-04-10T23:31:00Z,34.00,
2026-04-10T23:46:00Z,34.00,67.00
2026-04-11T00:01:00Z,34.00,67.00
2026-04-11T00:04:00Z,34.00,67.00
2026-04-11T00:21:00Z,34.00,67.00
2026-04-11T01:15:00Z,34.00,67.00
2026-04-11T01:17:00Z,34.00,67.00
2026-04-11T01:18:00Z,34.00,67.00
2026-04-11T01:22:00Z,34.00,67.00
2026-04-11T01:57:00Z,34.00,67.00
2026-04-11T02:02:00Z,34.00,67.00
2026-04-11T02:17:00Z,34.00,67.00
2026-04-11T02:24:00Z,34.00,67.00
2026-04-11T02:28:00Z,34.00,67.00
2026-04-11T02:33:00Z,34.00,67.00
2026-04-11T02:34:00Z,34.00,67.00
2026-04-11T02:59:00Z,34.00,67.00
2026-04-11T03:06:00Z,34.00,68.00
2026-04-11T03:11:00Z,34.00,68.00
2026-04-11T03:34:00Z,34.00,67.00
2026-04-11T03:40:00Z,34.00,68.00
2026-04-11T04:07:00Z,34.00,68.00
2026-04-11T04:21:00Z,34.00,68.00
2026-04-11T04:27:00Z,34.00,68.00
2026-04-11T04:34:00Z,34.00,68.00
2026-04-11T04:38:00Z,35.00,68.00
2026-04-11T04:40:00Z,35.00,68.00
2026-04-11T04:41:00Z,35.00,68.00
2026-04-11T04:42:00Z,35.00,68.00
2026-04-11T04:43:00Z,35.00,68.00
2026-04-11T04:46:00Z,35.00,68.00
2026-04-11T04:47:00Z,35.53,68.00
2026-04-11T04:48:00Z,36.00,67.00
2026-04-11T04:49:00Z,36.00,67.00
2026-04-11T04:55:00Z,36.00,67.00
2026-04-11T04:59:00Z,36.00,67.00
2026-04-11T05:01:00Z,36.00,66.00
2026-04-11T05:02:00Z,36.00,65.00
2026-04-11T05:06:00Z,36.52,64.54
2026-04-11T05:07:00Z,37.00,64.54
2026-04-11T05:10:00Z,37.00,65.00
2026-04-11T05:13:00Z,37.00,65.00
2026-04-11T05:16:00Z,37.00,65.00
2026-04-11T05:17:00Z,37.00,65.00
2026-04-11T05:29:00Z,37.00,66.00
2026-04-11T05:32:00Z,37.00,65.00
2026-04-11T05:33:00Z,36.97,65.00
