# event_ticker=KXATPCHALLENGERMATCH-26APR29ONCGIU
# final_score=6-7(6) 7-6(2) 6-0
# score_resolution=7-6 6-7 0-6
# match_winner=Gauthier Onclin
# fav_player=Massimo Giunta
# dog_player=Gauthier Onclin
# kalshi_date=2026-04-29
timestamp,Gauthier Onclin,Massimo Giunta
2026-04-29T06:31:00Z,95.00,
2026-04-29T07:54:00Z,95.00,21.00
2026-04-29T11:48:00Z,84.00,21.00
2026-04-29T12:15:00Z,85.00,21.00
2026-04-29T12:19:00Z,85.00,16.00
2026-04-29T12:39:00Z,85.00,17.00
2026-04-29T13:12:00Z,84.00,17.00
2026-04-29T13:22:00Z,85.00,17.00
2026-04-29T13:29:00Z,85.00,17.00
2026-04-29T13:49:00Z,84.00,17.00
2026-04-29T13:59:00Z,84.00,17.00
2026-04-29T14:51:00Z,84.00,16.76
2026-04-29T14:56:00Z,85.00,16.76
2026-04-29T15:33:00Z,85.00,16.76
2026-04-29T15:45:00Z,85.00,16.00
2026-04-29T15:54:00Z,85.00,16.00
2026-04-29T16:12:00Z,85.00,16.00
2026-04-29T16:16:00Z,85.00,16.00
2026-04-29T16:20:00Z,85.00,16.00
2026-04-29T16:22:00Z,85.00,16.00
2026-04-29T16:38:00Z,85.00,16.00
2026-04-29T16:55:00Z,85.00,16.00
2026-04-29T16:58:00Z,85.00,16.00
2026-04-29T17:01:00Z,85.00,16.48
2026-04-29T17:07:00Z,85.00,16.00
2026-04-29T17:14:00Z,85.80,16.00
2026-04-29T17:20:00Z,85.80,16.41
2026-04-29T17:25:00Z,85.00,16.41
2026-04-29T17:26:00Z,85.00,16.00
2026-04-29T17:27:00Z,85.00,16.00
2026-04-29T17:28:00Z,85.85,16.00
2026-04-29T17:32:00Z,85.00,16.00
2026-04-29T17:33:00Z,85.00,16.00
2026-04-29T17:37:00Z,85.00,16.00
2026-04-29T17:39:00Z,85.41,16.00
2026-04-29T17:40:00Z,85.41,16.00
2026-04-29T17:42:00Z,85.41,15.00
2026-04-29T17:44:00Z,85.41,15.00
2026-04-29T17:45:00Z,85.41,16.00
2026-04-29T17:46:00Z,85.41,15.00
2026-04-29T17:48:00Z,85.41,15.00
2026-04-29T17:54:00Z,85.41,15.91
2026-04-29T17:55:00Z,86.00,15.91
2026-04-29T17:56:00Z,86.00,16.00
2026-04-29T17:58:00Z,86.00,16.00
2026-04-29T17:59:00Z,86.00,16.00
2026-04-29T18:01:00Z,86.00,16.00
2026-04-29T18:03:00Z,86.00,15.00
2026-04-29T18:04:00Z,86.00,15.00
2026-04-29T18:05:00Z,86.00,15.46
2026-04-29T18:06:00Z,86.00,16.00
2026-04-29T18:07:00Z,86.96,16.00
2026-04-29T18:08:00Z,86.96,16.00
2026-04-29T18:09:00Z,86.00,16.00
2026-04-29T18:10:00Z,86.00,16.00
2026-04-29T18:11:00Z,86.00,16.00
2026-04-29T18:12:00Z,85.00,17.08
2026-04-29T18:13:00Z,87.18,15.00
2026-04-29T18:14:00Z,86.91,16.27
2026-04-29T18:15:00Z,83.00,18.00
2026-04-29T18:16:00Z,84.61,17.91
2026-04-29T18:17:00Z,84.13,16.22
2026-04-29T18:18:00Z,85.00,16.97
2026-04-29T18:19:00Z,85.00,16.00
2026-04-29T18:20:00Z,86.00,14.46
2026-04-29T18:21:00Z,84.00,16.94
2026-04-29T18:22:00Z,85.00,15.52
2026-04-29T18:23:00Z,83.69,17.00
2026-04-29T18:24:00Z,83.69,19.00
2026-04-29T18:25:00Z,83.14,18.13
2026-04-29T18:26:00Z,85.00,16.16
2026-04-29T18:27:00Z,85.00,16.00
2026-04-29T18:28:00Z,85.00,16.00
2026-04-29T18:29:00Z,83.80,17.31
