# event_ticker=KXATPMATCH-26FEB11BUSBAE
# final_score=6-4 6-3
# match_winner=Sebastian Baez
# fav_player=Sebastian Baez
# dog_player=Ignacio Buse
# kalshi_date=2026-02-11
timestamp,Sebastian Baez,Ignacio Buse
2026-02-12T10:12:00Z,,32.00
2026-02-12T10:39:00Z,70.00,32.00
2026-02-12T11:03:00Z,70.00,32.00
2026-02-12T11:04:00Z,70.00,32.00
2026-02-12T11:13:00Z,69.00,32.00
2026-02-12T11:17:00Z,68.00,32.00
2026-02-12T11:18:00Z,70.00,32.00
2026-02-12T11:21:00Z,69.44,32.00
2026-02-12T11:25:00Z,69.44,32.00
2026-02-12T12:09:00Z,70.00,32.00
2026-02-12T12:27:00Z,71.00,32.00
2026-02-12T12:36:00Z,71.00,30.00
2026-02-12T12:54:00Z,70.00,30.00
2026-02-12T12:55:00Z,70.00,30.00
2026-02-12T13:24:00Z,71.00,30.00
2026-02-12T13:25:00Z,71.00,30.00
2026-02-12T13:28:00Z,71.00,30.00
2026-02-12T13:37:00Z,71.00,30.00
2026-02-12T13:59:00Z,71.00,30.00
2026-02-12T14:24:00Z,71.00,31.00
2026-02-12T14:27:00Z,71.00,31.00
2026-02-12T14:45:00Z,71.00,31.00
2026-02-12T14:50:00Z,69.30,31.00
2026-02-12T14:58:00Z,71.00,31.00
2026-02-12T14:59:00Z,71.00,30.00
2026-02-12T15:00:00Z,71.00,30.00
2026-02-12T15:17:00Z,71.00,30.00
2026-02-12T15:18:00Z,71.00,30.00
2026-02-12T15:28:00Z,71.00,30.00
2026-02-12T15:53:00Z,71.00,30.00
2026-02-12T16:21:00Z,71.00,30.00
2026-02-12T16:27:00Z,71.00,30.00
2026-02-12T16:29:00Z,71.00,30.00
2026-02-12T16:31:00Z,71.00,30.00
2026-02-12T16:36:00Z,71.00,30.00
2026-02-12T16:45:00Z,71.00,30.00
2026-02-12T16:49:00Z,71.00,30.00
2026-02-12T16:54:00Z,71.00,30.00
2026-02-12T16:55:00Z,71.00,30.00
2026-02-12T17:17:00Z,71.00,30.00
2026-02-12T17:33:00Z,71.00,30.00
2026-02-12T17:43:00Z,71.00,30.00
2026-02-12T17:51:00Z,71.00,29.00
2026-02-12T17:57:00Z,71.00,29.00
2026-02-12T18:13:00Z,71.00,29.00
2026-02-12T18:14:00Z,71.00,28.00
2026-02-12T18:28:00Z,73.00,28.00
2026-02-12T18:34:00Z,73.00,28.00
2026-02-12T18:36:00Z,73.00,28.00
2026-02-12T18:38:00Z,73.00,28.00
2026-02-12T18:43:00Z,73.00,28.00
2026-02-12T19:11:00Z,73.00,28.00
2026-02-12T19:15:00Z,73.00,28.00
2026-02-12T19:20:00Z,73.00,28.00
2026-02-12T19:25:00Z,73.00,28.00
2026-02-12T19:27:00Z,73.00,28.00
2026-02-12T19:28:00Z,72.00,28.00
2026-02-12T19:36:00Z,72.00,28.00
