# event_ticker=KXATPCHALLENGERMATCH-26MAR31SOTORL
# final_score=6-1 6-2
# match_winner=Matias Soto
# fav_player=Matias Soto
# dog_player=Vladyslav Orlov
# kalshi_date=2026-03-31
timestamp,Matias Soto,Vladyslav Orlov
2026-03-31T06:27:00Z,73.00,69.00
2026-03-31T11:07:00Z,79.00,69.00
2026-03-31T11:13:00Z,79.00,22.00
2026-03-31T12:07:00Z,79.42,22.00
2026-03-31T13:04:00Z,80.00,22.00
2026-03-31T13:20:00Z,80.00,22.00
2026-03-31T13:54:00Z,80.00,22.00
2026-03-31T15:03:00Z,80.00,21.00
2026-03-31T15:48:00Z,80.00,20.42
2026-03-31T16:13:00Z,79.00,20.42
2026-03-31T16:14:00Z,79.00,20.00
2026-03-31T16:43:00Z,79.00,21.00
2026-03-31T17:02:00Z,79.00,21.00
2026-03-31T17:23:00Z,79.00,21.00
2026-03-31T17:35:00Z,79.00,21.00
2026-03-31T17:56:00Z,79.16,21.00
2026-03-31T18:01:00Z,79.00,21.00
2026-03-31T18:03:00Z,79.00,21.00
2026-03-31T18:04:00Z,78.00,21.00
2026-03-31T18:06:00Z,79.00,21.00
2026-03-31T18:08:00Z,80.88,21.29
2026-03-31T18:09:00Z,78.06,21.29
2026-03-31T18:11:00Z,78.06,22.88
2026-03-31T18:12:00Z,80.00,22.88
2026-03-31T18:14:00Z,81.11,18.73
2026-03-31T18:15:00Z,77.96,24.78
2026-03-31T18:16:00Z,83.66,24.78
2026-03-31T18:17:00Z,85.04,24.78
2026-03-31T18:18:00Z,85.04,12.08
2026-03-31T18:19:00Z,86.00,15.00
2026-03-31T18:21:00Z,85.00,16.30
2026-03-31T18:22:00Z,90.00,16.30
2026-03-31T18:23:00Z,89.40,11.60
2026-03-31T18:24:00Z,89.40,15.00
2026-03-31T18:25:00Z,85.00,16.00
2026-03-31T18:26:00Z,85.00,16.00
2026-03-31T18:27:00Z,82.00,18.00
2026-03-31T18:28:00Z,83.00,18.00
2026-03-31T18:29:00Z,85.45,17.00
2026-03-31T18:31:00Z,85.45,17.00
2026-03-31T18:32:00Z,85.00,17.00
2026-03-31T18:33:00Z,88.00,15.67
2026-03-31T18:34:00Z,88.00,12.00
2026-03-31T18:35:00Z,92.00,11.00
2026-03-31T18:36:00Z,91.00,9.00
2026-03-31T18:37:00Z,91.00,9.00
2026-03-31T18:38:00Z,93.00,9.00
2026-03-31T18:40:00Z,93.00,5.84
2026-03-31T18:41:00Z,94.00,5.84
2026-03-31T18:42:00Z,94.00,5.90
2026-03-31T18:43:00Z,94.98,5.90
2026-03-31T18:44:00Z,94.98,5.52
2026-03-31T18:45:00Z,94.98,6.00
2026-03-31T18:46:00Z,94.00,6.04
2026-03-31T18:47:00Z,95.00,5.60
2026-03-31T18:48:00Z,95.00,5.76
2026-03-31T18:49:00Z,95.00,6.85
2026-03-31T18:50:00Z,95.00,6.05
2026-03-31T18:51:00Z,94.00,5.00
2026-03-31T18:52:00Z,95.00,5.00
2026-03-31T18:53:00Z,96.00,4.00
2026-03-31T18:54:00Z,97.00,5.25
2026-03-31T18:55:00Z,98.00,1.10
2026-03-31T18:56:00Z,98.00,1.00
2026-03-31T18:57:00Z,99.00,1.00
2026-03-31T18:58:00Z,98.00,2.00
2026-03-31T18:59:00Z,99.00,2.00
2026-03-31T19:00:00Z,98.00,2.00
2026-03-31T19:01:00Z,99.00,2.70
2026-03-31T19:02:00Z,99.00,2.70
2026-03-31T19:04:00Z,99.00,2.70
2026-03-31T19:05:00Z,99.00,1.00
2026-03-31T19:09:00Z,99.00,1.00
2026-03-31T19:10:00Z,99.00,1.00
