# event_ticker=KXATPCHALLENGERMATCH-26MAR03SHETSI
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Abdullah Shelbayh
# fav_player=Pavlos Tsitsipas
# dog_player=Abdullah Shelbayh
# kalshi_date=2026-03-03
timestamp,Pavlos Tsitsipas,Abdullah Shelbayh
2026-03-02T23:03:00Z,5.00,
2026-03-02T23:36:00Z,5.00,95.00
2026-03-03T00:11:00Z,5.00,94.83
2026-03-03T00:13:00Z,5.00,95.00
2026-03-03T00:17:00Z,5.00,95.00
2026-03-03T00:19:00Z,5.00,95.00
2026-03-03T00:21:00Z,5.00,95.00
2026-03-03T00:22:00Z,5.00,95.00
2026-03-03T00:23:00Z,5.00,95.00
2026-03-03T00:25:00Z,5.00,95.00
2026-03-03T00:27:00Z,5.00,95.00
2026-03-03T00:28:00Z,5.00,95.00
2026-03-03T01:25:00Z,6.00,95.00
2026-03-03T02:40:00Z,6.00,91.00
2026-03-03T03:11:00Z,7.00,91.00
2026-03-03T03:35:00Z,7.00,91.00
2026-03-03T03:36:00Z,8.00,91.00
2026-03-03T03:46:00Z,8.00,91.00
2026-03-03T03:49:00Z,8.00,94.00
2026-03-03T04:07:00Z,7.17,94.00
2026-03-03T04:12:00Z,8.00,94.00
2026-03-03T04:15:00Z,8.77,94.00
2026-03-03T04:17:00Z,8.77,94.00
2026-03-03T04:18:00Z,9.00,94.00
2026-03-03T04:29:00Z,9.00,93.00
2026-03-03T04:41:00Z,8.00,93.00
2026-03-03T04:48:00Z,8.00,93.00
2026-03-03T04:52:00Z,8.00,94.00
2026-03-03T04:54:00Z,8.00,94.00
2026-03-03T05:06:00Z,8.00,94.00
2026-03-03T05:13:00Z,8.00,94.00
2026-03-03T05:16:00Z,8.00,94.00
2026-03-03T05:19:00Z,8.00,94.00
2026-03-03T05:33:00Z,8.00,94.00
2026-03-03T05:46:00Z,9.00,94.00
2026-03-03T05:51:00Z,8.00,94.00
2026-03-03T05:52:00Z,9.00,94.00
2026-03-03T05:54:00Z,9.00,93.00
2026-03-03T06:01:00Z,9.00,92.00
2026-03-03T06:08:00Z,9.00,93.00
2026-03-03T06:12:00Z,9.00,93.00
2026-03-03T06:15:00Z,9.00,93.00
2026-03-03T06:18:00Z,9.00,93.00
2026-03-03T06:20:00Z,9.00,93.00
2026-03-03T06:24:00Z,9.00,93.00
2026-03-03T06:31:00Z,9.00,93.00
2026-03-03T06:32:00Z,7.00,92.49
