# event_ticker=KXATPCHALLENGERMATCH-26APR28MAEDAM
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Miguel Damas
# fav_player=Miguel Damas
# dog_player=Francesco Maestrelli
# kalshi_date=2026-04-28
timestamp,Francesco Maestrelli,Miguel Damas
2026-04-28T03:19:00Z,67.00,
2026-04-28T03:22:00Z,67.00,33.01
2026-04-28T06:01:00Z,68.00,33.01
2026-04-28T06:15:00Z,68.33,33.01
2026-04-28T06:16:00Z,69.92,31.11
2026-04-28T06:17:00Z,71.90,31.00
2026-04-28T06:21:00Z,71.90,31.28
2026-04-28T06:24:00Z,71.90,32.00
2026-04-28T07:09:00Z,71.90,31.00
2026-04-28T07:28:00Z,71.90,31.00
2026-04-28T09:49:00Z,71.90,31.00
2026-04-28T11:03:00Z,69.00,31.00
2026-04-28T11:50:00Z,70.00,31.00
2026-04-28T12:21:00Z,69.00,31.00
2026-04-28T12:22:00Z,69.00,32.00
2026-04-28T12:30:00Z,69.00,32.00
2026-04-28T13:01:00Z,69.00,33.00
2026-04-28T13:07:00Z,69.00,31.00
2026-04-28T13:08:00Z,69.00,33.00
2026-04-28T13:10:00Z,69.00,33.00
2026-04-28T13:14:00Z,69.00,33.00
2026-04-28T13:26:00Z,69.00,33.00
2026-04-28T13:30:00Z,69.00,33.00
2026-04-28T13:31:00Z,69.00,33.00
2026-04-28T13:41:00Z,69.00,33.00
2026-04-28T13:43:00Z,69.00,33.14
2026-04-28T13:44:00Z,69.00,33.00
2026-04-28T13:45:00Z,68.89,33.83
2026-04-28T13:46:00Z,68.00,34.66
2026-04-28T13:47:00Z,68.00,33.49
2026-04-28T13:48:00Z,68.73,32.94
2026-04-28T13:49:00Z,70.80,26.95
2026-04-28T13:50:00Z,68.95,30.63
2026-04-28T13:51:00Z,72.75,26.97
2026-04-28T13:52:00Z,77.00,23.00
2026-04-28T13:53:00Z,77.14,23.07
2026-04-28T13:54:00Z,73.02,28.61
2026-04-28T13:55:00Z,68.00,32.00
2026-04-28T13:56:00Z,71.55,32.07
2026-04-28T13:57:00Z,65.00,37.00
2026-04-28T13:58:00Z,64.01,36.10
2026-04-28T13:59:00Z,67.92,33.83
2026-04-28T14:00:00Z,68.12,32.04
2026-04-28T14:01:00Z,67.19,31.03
2026-04-28T14:02:00Z,70.45,28.16
2026-04-28T14:03:00Z,74.00,26.00
2026-04-28T14:04:00Z,76.36,24.92
2026-04-28T14:05:00Z,79.11,22.87
2026-04-28T14:06:00Z,78.63,22.87
2026-04-28T14:07:00Z,75.19,24.46
2026-04-28T14:08:00Z,69.17,28.10
2026-04-28T14:09:00Z,70.03,29.79
2026-04-28T14:10:00Z,70.14,30.00
2026-04-28T14:11:00Z,73.00,27.00
2026-04-28T14:12:00Z,76.78,27.00
2026-04-28T14:13:00Z,77.17,24.00
2026-04-28T14:14:00Z,78.49,22.30
2026-04-28T14:15:00Z,78.68,21.97
2026-04-28T14:16:00Z,78.52,21.00
2026-04-28T14:17:00Z,75.39,23.00
2026-04-28T14:18:00Z,75.00,26.00
2026-04-28T14:19:00Z,73.04,28.01
2026-04-28T14:20:00Z,68.60,32.53
2026-04-28T14:21:00Z,65.75,38.94
2026-04-28T14:22:00Z,61.97,37.11
2026-04-28T14:23:00Z,60.02,40.93
2026-04-28T14:24:00Z,52.85,46.43
2026-04-28T14:25:00Z,51.85,48.00
2026-04-28T14:26:00Z,49.35,48.00
2026-04-28T14:27:00Z,50.25,50.72
2026-04-28T14:28:00Z,55.19,45.59
2026-04-28T14:29:00Z,55.89,44.00
2026-04-28T14:30:00Z,60.88,44.00
2026-04-28T14:31:00Z,64.97,36.03
2026-04-28T14:32:00Z,67.30,34.13
2026-04-28T14:33:00Z,65.85,32.64
2026-04-28T14:34:00Z,72.87,26.94
2026-04-28T14:35:00Z,76.00,24.59
2026-04-28T14:36:00Z,75.52,25.70
2026-04-28T14:37:00Z,73.83,26.33
2026-04-28T14:38:00Z,66.06,36.27
2026-04-28T14:39:00Z,59.79,40.11
2026-04-28T14:40:00Z,65.01,36.42
2026-04-28T14:41:00Z,64.00,35.00
2026-04-28T14:42:00Z,60.00,39.64
2026-04-28T14:43:00Z,57.97,41.90
2026-04-28T14:44:00Z,52.44,46.79
2026-04-28T14:45:00Z,50.33,49.79
2026-04-28T14:46:00Z,51.53,48.64
2026-04-28T14:47:00Z,50.31,49.91
2026-04-28T14:48:00Z,49.61,48.27
2026-04-28T14:49:00Z,50.26,49.00
2026-04-28T14:50:00Z,50.46,49.98
2026-04-28T14:51:00Z,54.24,45.93
2026-04-28T14:52:00Z,60.45,41.23
2026-04-28T14:53:00Z,61.65,38.93
2026-04-28T14:54:00Z,51.97,48.33
2026-04-28T14:55:00Z,55.48,45.77
2026-04-28T14:56:00Z,44.22,52.09
2026-04-28T14:57:00Z,39.02,60.37
2026-04-28T14:58:00Z,35.29,65.48
2026-04-28T14:59:00Z,32.51,68.77
2026-04-28T15:00:00Z,31.98,68.58
2026-04-28T15:01:00Z,31.07,68.40
2026-04-28T15:02:00Z,32.00,68.03
2026-04-28T15:03:00Z,32.00,68.84
2026-04-28T15:04:00Z,32.24,67.11
2026-04-28T15:05:00Z,26.62,73.23
2026-04-28T15:06:00Z,20.20,79.39
2026-04-28T15:07:00Z,17.96,81.86
2026-04-28T15:08:00Z,16.72,84.94
2026-04-28T15:09:00Z,18.04,81.25
2026-04-28T15:10:00Z,21.19,80.95
2026-04-28T15:11:00Z,25.62,73.48
2026-04-28T15:12:00Z,32.63,69.98
2026-04-28T15:13:00Z,32.84,68.97
