# event_ticker=KXATPCHALLENGERMATCH-26MAR03MONDUT
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Thiago Monteiro
# fav_player=Daniel Dutra Da Silva
# dog_player=Thiago Monteiro
# kalshi_date=2026-03-03
timestamp,Daniel Dutra Da Silva,Thiago Monteiro
2026-03-03T11:01:00Z,,79.00
2026-03-03T11:53:00Z,,79.93
2026-03-03T12:10:00Z,22.00,80.00
2026-03-03T13:21:00Z,22.00,80.00
2026-03-03T14:43:00Z,22.00,80.00
2026-03-03T15:13:00Z,22.00,80.00
2026-03-03T15:17:00Z,22.00,80.00
2026-03-03T15:48:00Z,22.00,80.00
2026-03-03T16:03:00Z,22.00,80.00
2026-03-03T16:36:00Z,23.00,80.00
2026-03-03T16:50:00Z,23.00,80.00
2026-03-03T16:53:00Z,23.00,80.00
2026-03-03T17:02:00Z,22.00,80.00
2026-03-03T17:17:00Z,22.00,80.00
2026-03-03T17:24:00Z,22.00,80.00
2026-03-03T17:33:00Z,22.00,80.00
2026-03-03T17:35:00Z,22.00,80.00
2026-03-03T17:37:00Z,22.00,80.00
2026-03-03T18:04:00Z,22.00,80.00
2026-03-03T18:19:00Z,21.00,80.00
2026-03-03T18:22:00Z,21.00,80.00
2026-03-03T18:31:00Z,21.00,80.00
2026-03-03T18:34:00Z,21.00,80.00
2026-03-03T18:45:00Z,21.00,80.00
2026-03-03T18:53:00Z,21.00,80.00
2026-03-03T18:55:00Z,21.85,80.00
2026-03-03T18:56:00Z,23.00,80.00
2026-03-03T18:58:00Z,23.00,80.00
2026-03-03T19:16:00Z,23.00,80.00
2026-03-03T19:28:00Z,20.00,80.00
2026-03-03T19:33:00Z,22.00,80.00
2026-03-03T19:44:00Z,23.00,80.00
2026-03-03T19:49:00Z,23.00,79.00
2026-03-03T20:00:00Z,23.00,79.00
2026-03-03T20:01:00Z,23.00,79.00
2026-03-03T20:03:00Z,23.00,79.00
2026-03-03T20:06:00Z,23.00,79.00
2026-03-03T20:08:00Z,23.00,78.03
2026-03-03T20:14:00Z,23.00,80.00
2026-03-03T20:15:00Z,23.00,80.00
2026-03-03T20:18:00Z,21.00,80.00
2026-03-03T20:19:00Z,21.00,80.00
2026-03-03T20:20:00Z,21.00,80.00
2026-03-03T20:41:00Z,21.00,80.00
2026-03-03T20:46:00Z,21.00,80.00
2026-03-03T20:53:00Z,21.00,80.00
2026-03-03T20:58:00Z,21.00,80.00
2026-03-03T21:12:00Z,21.00,80.00
2026-03-03T21:37:00Z,21.00,80.00
2026-03-03T21:49:00Z,21.00,80.00
2026-03-03T22:02:00Z,21.00,80.00
2026-03-03T22:04:00Z,21.00,82.00
2026-03-03T22:06:00Z,20.44,82.00
2026-03-03T22:08:00Z,20.44,82.00
2026-03-03T22:10:00Z,20.00,82.00
2026-03-03T22:13:00Z,21.00,82.00
2026-03-03T22:15:00Z,19.00,82.00
2026-03-03T22:18:00Z,21.00,80.00
2026-03-03T22:19:00Z,21.00,80.00
2026-03-03T22:20:00Z,21.83,80.00
2026-03-03T22:21:00Z,22.37,80.00
