# event_ticker=KXATPCHALLENGERMATCH-26MAR24ZHUVAN
# final_score=6-1 7-6(4)
# score_resolution=6-1 7-6
# match_winner=Quinn Vandecasteele
# fav_player=Quinn Vandecasteele
# dog_player=Beibit Zhukayev
# kalshi_date=2026-03-24
timestamp,Quinn Vandecasteele,Beibit Zhukayev
2026-03-24T08:40:00Z,,69.00
2026-03-24T09:59:00Z,35.00,69.00
2026-03-24T10:03:00Z,39.00,60.97
2026-03-24T10:20:00Z,39.00,60.00
2026-03-24T10:25:00Z,39.00,60.00
2026-03-24T12:12:00Z,42.00,60.00
2026-03-24T13:47:00Z,42.00,60.00
2026-03-24T14:03:00Z,42.00,60.00
2026-03-24T15:04:00Z,41.00,60.00
2026-03-24T15:06:00Z,41.00,60.00
2026-03-24T16:49:00Z,41.00,60.00
2026-03-24T17:04:00Z,41.00,59.00
2026-03-24T17:12:00Z,41.00,58.00
2026-03-24T17:13:00Z,40.00,60.00
2026-03-24T17:15:00Z,43.00,58.41
2026-03-24T17:17:00Z,36.30,64.00
2026-03-24T17:19:00Z,43.00,58.00
2026-03-24T17:20:00Z,43.00,56.00
2026-03-24T17:21:00Z,51.01,50.05
2026-03-24T17:22:00Z,57.74,39.81
2026-03-24T17:23:00Z,63.74,35.89
2026-03-24T17:24:00Z,67.00,34.00
2026-03-24T17:25:00Z,67.00,34.00
2026-03-24T17:26:00Z,69.55,34.00
2026-03-24T17:27:00Z,69.55,29.31
2026-03-24T17:28:00Z,67.88,32.00
2026-03-24T17:29:00Z,69.83,32.00
2026-03-24T17:30:00Z,71.27,32.00
2026-03-24T17:31:00Z,71.00,28.00
2026-03-24T17:32:00Z,74.30,24.00
2026-03-24T17:33:00Z,79.00,22.02
2026-03-24T17:34:00Z,79.00,22.17
2026-03-24T17:35:00Z,78.00,22.17
2026-03-24T17:36:00Z,77.00,22.17
2026-03-24T17:37:00Z,74.00,29.00
2026-03-24T17:38:00Z,72.00,29.00
2026-03-24T17:39:00Z,78.00,25.00
2026-03-24T17:40:00Z,77.00,25.00
2026-03-24T17:41:00Z,77.97,25.14
2026-03-24T17:42:00Z,75.00,30.83
2026-03-24T17:43:00Z,75.00,32.00
2026-03-24T17:44:00Z,71.05,30.84
2026-03-24T17:45:00Z,64.51,36.51
2026-03-24T17:46:00Z,65.95,35.71
2026-03-24T17:47:00Z,70.22,34.00
2026-03-24T17:48:00Z,81.00,21.00
2026-03-24T17:49:00Z,82.00,18.00
2026-03-24T17:50:00Z,78.50,22.85
2026-03-24T17:51:00Z,72.29,27.03
2026-03-24T17:52:00Z,71.00,27.03
2026-03-24T17:53:00Z,70.41,31.11
2026-03-24T17:54:00Z,67.13,32.38
2026-03-24T17:55:00Z,75.66,23.55
2026-03-24T17:56:00Z,81.50,22.70
2026-03-24T17:57:00Z,76.96,22.70
2026-03-24T17:58:00Z,76.00,24.02
2026-03-24T17:59:00Z,75.51,25.16
2026-03-24T18:00:00Z,73.00,29.00
2026-03-24T18:01:00Z,72.99,29.50
2026-03-24T18:02:00Z,65.93,31.64
2026-03-24T18:03:00Z,60.93,40.88
2026-03-24T18:04:00Z,64.31,33.83
2026-03-24T18:05:00Z,66.38,41.10
2026-03-24T18:06:00Z,73.87,41.10
2026-03-24T18:07:00Z,71.00,29.10
2026-03-24T18:08:00Z,65.94,34.00
2026-03-24T18:09:00Z,68.00,34.00
2026-03-24T18:10:00Z,72.44,32.00
2026-03-24T18:11:00Z,71.60,28.19
2026-03-24T18:12:00Z,78.11,22.27
2026-03-24T18:13:00Z,75.93,27.11
2026-03-24T18:14:00Z,70.00,27.11
2026-03-24T18:15:00Z,70.45,31.00
2026-03-24T18:16:00Z,72.00,30.96
2026-03-24T18:17:00Z,72.01,30.00
2026-03-24T18:18:00Z,73.00,25.25
2026-03-24T18:19:00Z,73.17,30.06
2026-03-24T18:20:00Z,82.71,16.41
2026-03-24T18:21:00Z,87.99,11.35
2026-03-24T18:22:00Z,89.51,10.78
2026-03-24T18:23:00Z,93.05,8.11
2026-03-24T18:24:00Z,92.15,10.19
2026-03-24T18:25:00Z,98.24,1.64
2026-03-24T18:26:00Z,99.00,1.64
2026-03-24T18:27:00Z,99.00,1.64
2026-03-24T18:28:00Z,99.00,1.64
2026-03-24T18:29:00Z,99.00,1.64
2026-03-24T18:31:00Z,99.00,1.64
2026-03-24T18:32:00Z,99.00,1.00
