# event_ticker=KXATPCHALLENGERMATCH-26APR08ZHUDEN
# final_score=7-5 7-6(5)
# score_resolution=7-5 7-6
# match_winner=Beibit Zhukayev
# fav_player=Beibit Zhukayev
# dog_player=Corentin Denolly
# kalshi_date=2026-04-08
timestamp,Beibit Zhukayev,Corentin Denolly
2026-04-08T05:36:00Z,,40.00
2026-04-08T06:01:00Z,66.00,40.00
2026-04-08T06:03:00Z,66.00,40.00
2026-04-08T06:49:00Z,65.00,40.00
2026-04-08T07:11:00Z,60.00,40.00
2026-04-08T07:29:00Z,63.00,40.00
2026-04-08T08:04:00Z,63.00,41.24
2026-04-08T08:33:00Z,60.00,42.00
2026-04-08T09:20:00Z,61.00,42.00
2026-04-08T09:58:00Z,61.00,42.00
2026-04-08T10:05:00Z,61.00,42.00
2026-04-08T10:06:00Z,61.00,42.00
2026-04-08T10:38:00Z,60.00,42.00
2026-04-08T11:18:00Z,60.00,42.00
2026-04-08T12:18:00Z,57.00,42.00
2026-04-08T12:54:00Z,57.00,42.00
2026-04-08T13:05:00Z,57.00,42.00
2026-04-08T13:11:00Z,57.00,42.00
2026-04-08T13:19:00Z,57.00,42.00
2026-04-08T13:36:00Z,55.00,42.00
2026-04-08T13:41:00Z,55.00,42.00
2026-04-08T13:43:00Z,54.00,42.00
2026-04-08T13:44:00Z,55.00,42.00
2026-04-08T14:20:00Z,55.00,42.00
2026-04-08T14:24:00Z,54.00,42.00
2026-04-08T14:49:00Z,55.00,42.00
2026-04-08T15:14:00Z,55.00,42.00
2026-04-08T15:15:00Z,55.00,46.00
2026-04-08T15:16:00Z,55.00,46.00
2026-04-08T15:25:00Z,55.00,46.00
2026-04-08T15:26:00Z,55.00,46.00
2026-04-08T15:32:00Z,55.00,46.00
2026-04-08T15:34:00Z,55.00,46.00
2026-04-08T15:47:00Z,55.00,46.00
2026-04-08T15:52:00Z,55.00,45.00
2026-04-08T15:54:00Z,55.00,45.00
2026-04-08T16:01:00Z,55.00,45.00
