# event_ticker=KXATPMATCH-25AUG09SINGAL
# final_score=6-1 6-1
# score_resolution=1-6 1-6
# match_winner=Jannik Sinner
# fav_player=Daniel Elahi Galan
# dog_player=Jannik Sinner
# kalshi_date=2025-08-09
timestamp,Daniel Elahi Galan,Jannik Sinner
2025-08-09T09:36:00Z,10.00,
2025-08-09T11:46:00Z,8.00,
2025-08-09T12:47:00Z,4.00,
2025-08-09T12:48:00Z,4.00,
2025-08-09T12:50:00Z,4.00,
2025-08-09T13:10:00Z,4.00,
2025-08-09T13:13:00Z,4.00,
2025-08-09T13:21:00Z,4.00,98.00
2025-08-09T13:45:00Z,4.00,98.00
2025-08-09T14:11:00Z,4.00,98.00
2025-08-09T14:20:00Z,4.00,96.00
2025-08-09T14:34:00Z,4.00,96.00
2025-08-09T14:49:00Z,4.00,96.00
2025-08-09T14:50:00Z,4.00,96.00
2025-08-09T14:54:00Z,4.00,96.00
2025-08-09T15:20:00Z,4.00,97.00
2025-08-09T15:32:00Z,4.00,97.00
2025-08-09T15:34:00Z,5.00,97.00
2025-08-09T15:52:00Z,5.00,97.00
2025-08-09T16:00:00Z,5.00,97.00
2025-08-09T16:20:00Z,5.00,97.00
2025-08-09T16:22:00Z,5.00,97.00
2025-08-09T16:25:00Z,5.00,97.00
2025-08-09T16:31:00Z,3.00,97.00
2025-08-09T16:32:00Z,3.00,97.00
2025-08-09T16:36:00Z,4.00,97.00
2025-08-09T16:40:00Z,4.00,97.00
2025-08-09T16:42:00Z,4.00,97.95
2025-08-09T16:48:00Z,4.80,97.95
2025-08-09T16:54:00Z,5.00,97.95
2025-08-09T17:12:00Z,5.00,97.00
2025-08-09T17:14:00Z,5.00,97.00
2025-08-09T17:19:00Z,5.00,97.00
2025-08-09T17:24:00Z,3.00,97.00
2025-08-09T17:26:00Z,4.00,97.00
2025-08-09T17:31:00Z,4.00,98.00
2025-08-09T17:32:00Z,4.00,98.00
2025-08-09T17:36:00Z,4.00,98.00
2025-08-09T17:37:00Z,4.00,98.00
2025-08-09T17:39:00Z,4.56,98.00
2025-08-09T17:42:00Z,5.00,97.00
2025-08-09T17:46:00Z,5.00,97.00
2025-08-09T17:51:00Z,5.00,97.00
2025-08-09T17:53:00Z,5.00,97.60
2025-08-09T17:54:00Z,4.00,97.60
2025-08-09T17:55:00Z,4.75,97.60
2025-08-09T17:58:00Z,4.94,97.60
2025-08-09T18:01:00Z,5.00,97.60
2025-08-09T18:04:00Z,5.00,97.00
2025-08-09T18:05:00Z,3.00,97.00
2025-08-09T18:07:00Z,2.00,97.00
2025-08-09T18:09:00Z,2.00,97.00
2025-08-09T18:10:00Z,5.00,97.00
2025-08-09T18:11:00Z,5.00,97.00
2025-08-09T18:16:00Z,4.00,97.00
2025-08-09T18:23:00Z,4.00,97.00
2025-08-09T18:24:00Z,4.00,97.00
2025-08-09T18:25:00Z,4.00,97.00
2025-08-09T18:26:00Z,6.69,95.99
2025-08-09T18:27:00Z,6.69,95.00
2025-08-09T18:30:00Z,5.00,95.00
2025-08-09T18:31:00Z,3.58,97.49
2025-08-09T18:32:00Z,2.96,97.49
2025-08-09T18:33:00Z,3.91,97.49
2025-08-09T18:34:00Z,4.00,97.49
2025-08-09T18:35:00Z,4.98,97.49
2025-08-09T18:36:00Z,3.00,97.44
2025-08-09T18:37:00Z,3.61,98.21
2025-08-09T18:38:00Z,3.86,98.21
2025-08-09T18:39:00Z,3.86,98.17
2025-08-09T18:40:00Z,4.00,98.17
2025-08-09T18:41:00Z,3.00,98.17
2025-08-09T18:42:00Z,3.00,98.17
2025-08-09T18:44:00Z,3.00,98.17
2025-08-09T18:45:00Z,2.00,98.17
2025-08-09T18:50:00Z,1.00,98.17
2025-08-09T18:51:00Z,2.00,98.17
2025-08-09T18:52:00Z,1.00,98.17
2025-08-09T18:56:00Z,1.00,98.17
2025-08-09T19:00:00Z,1.00,98.17
2025-08-09T19:05:00Z,1.77,98.17
2025-08-09T19:06:00Z,2.00,98.17
2025-08-09T19:08:00Z,1.00,98.17
2025-08-09T19:16:00Z,1.00,99.00
2025-08-09T19:19:00Z,1.00,99.00
2025-08-09T19:21:00Z,1.21,99.00
2025-08-09T19:24:00Z,2.00,99.00
