# event_ticker=KXATPCHALLENGERMATCH-26FEB12MARHUE
# final_score=6-2 4-6 6-3
# score_resolution=2-6 6-4 3-6
# match_winner=Pol Martin Tiffon
# fav_player=Marc-Andrea Huesler
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-02-12
timestamp,Marc-Andrea Huesler,Pol Martin Tiffon
2026-02-12T04:51:00Z,57.00,
2026-02-12T04:57:00Z,57.00,
2026-02-12T05:00:00Z,57.00,
2026-02-12T05:02:00Z,55.00,
2026-02-12T05:04:00Z,57.00,
2026-02-12T05:36:00Z,58.00,
2026-02-12T05:40:00Z,58.00,
2026-02-12T05:42:00Z,58.00,
2026-02-12T05:57:00Z,58.00,
2026-02-12T06:05:00Z,55.00,
2026-02-12T06:17:00Z,58.00,
2026-02-12T06:32:00Z,58.00,
2026-02-12T06:57:00Z,56.69,
2026-02-12T07:08:00Z,56.69,45.00
2026-02-12T07:11:00Z,57.00,45.00
2026-02-12T07:13:00Z,57.00,45.00
2026-02-12T07:16:00Z,57.00,45.00
2026-02-12T07:17:00Z,57.00,45.00
2026-02-12T07:55:00Z,57.00,45.00
2026-02-12T07:57:00Z,57.00,45.00
2026-02-12T10:03:00Z,57.00,45.00
2026-02-12T10:07:00Z,57.00,45.00
2026-02-12T10:22:00Z,57.00,45.00
2026-02-12T10:24:00Z,57.00,45.00
2026-02-12T10:28:00Z,57.00,45.00
2026-02-12T10:37:00Z,57.00,47.00
2026-02-12T10:41:00Z,55.00,47.00
2026-02-12T10:47:00Z,55.00,48.00
2026-02-12T10:57:00Z,55.00,48.00
2026-02-12T11:08:00Z,55.00,48.00
2026-02-12T11:13:00Z,55.00,48.00
2026-02-12T11:34:00Z,55.00,48.00
2026-02-12T11:37:00Z,55.00,48.00
2026-02-12T11:41:00Z,53.00,48.00
2026-02-12T11:50:00Z,53.00,48.00
2026-02-12T11:53:00Z,53.00,48.00
2026-02-12T11:54:00Z,53.00,49.00
2026-02-12T11:55:00Z,53.00,49.00
