# event_ticker=KXATPCHALLENGERMATCH-26MAR05BLACHI
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Ugo Blanchet
# fav_player=Clement Chidekh
# dog_player=Ugo Blanchet
# kalshi_date=2026-03-05
timestamp,Clement Chidekh,Ugo Blanchet
2026-03-05T01:23:00Z,62.00,
2026-03-05T02:50:00Z,62.00,41.00
2026-03-05T04:02:00Z,62.00,41.00
2026-03-05T04:20:00Z,62.00,40.00
2026-03-05T04:30:00Z,62.00,40.00
2026-03-05T04:31:00Z,62.00,41.00
2026-03-05T04:54:00Z,62.00,41.00
2026-03-05T04:57:00Z,62.00,41.00
2026-03-05T04:58:00Z,62.00,41.00
2026-03-05T05:15:00Z,62.00,41.00
2026-03-05T05:28:00Z,62.00,41.00
2026-03-05T05:35:00Z,62.00,40.00
2026-03-05T05:49:00Z,62.00,40.00
2026-03-05T05:58:00Z,62.00,40.00
2026-03-05T06:01:00Z,62.00,40.00
2026-03-05T06:06:00Z,62.00,40.00
2026-03-05T06:09:00Z,62.00,40.00
2026-03-05T06:12:00Z,62.00,40.98
2026-03-05T06:15:00Z,63.00,40.98
2026-03-05T06:19:00Z,59.00,40.98
2026-03-05T06:23:00Z,59.00,41.00
2026-03-05T06:28:00Z,62.00,41.00
2026-03-05T06:39:00Z,62.90,41.00
2026-03-05T06:41:00Z,63.00,41.00
2026-03-05T06:51:00Z,63.00,41.00
2026-03-05T06:52:00Z,63.00,41.00
2026-03-05T06:53:00Z,63.00,40.00
2026-03-05T06:55:00Z,64.41,39.00
2026-03-05T07:01:00Z,64.41,39.00
2026-03-05T07:02:00Z,64.41,39.00
2026-03-05T07:03:00Z,63.00,39.00
2026-03-05T07:11:00Z,63.00,39.00
2026-03-05T07:12:00Z,63.00,39.00
2026-03-05T07:13:00Z,63.00,39.00
2026-03-05T07:16:00Z,63.00,39.00
2026-03-05T07:29:00Z,63.00,39.28
2026-03-05T07:31:00Z,63.00,39.61
2026-03-05T07:56:00Z,63.00,40.00
2026-03-05T10:01:00Z,64.00,37.00
2026-03-05T10:02:00Z,64.00,35.00
2026-03-05T10:03:00Z,64.00,35.00
2026-03-05T10:07:00Z,64.00,35.00
2026-03-05T10:09:00Z,67.00,35.00
2026-03-05T10:13:00Z,67.00,35.00
2026-03-05T10:15:00Z,67.00,35.00
2026-03-05T10:26:00Z,67.00,36.00
2026-03-05T10:31:00Z,67.00,36.00
2026-03-05T10:33:00Z,67.00,36.00
