# event_ticker=KXATPMATCH-26JAN11QUIFUC
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Marton Fucsovics
# fav_player=Ethan Quinn
# dog_player=Marton Fucsovics
# kalshi_date=2026-01-11
timestamp,Ethan Quinn,Marton Fucsovics
2026-01-12T22:41:00Z,,54.00
2026-01-13T01:12:00Z,,54.00
2026-01-13T02:01:00Z,,54.00
2026-01-13T03:42:00Z,47.00,54.00
2026-01-13T03:55:00Z,47.00,54.00
2026-01-13T04:03:00Z,47.00,53.00
2026-01-13T04:04:00Z,47.00,53.00
2026-01-13T04:08:00Z,48.00,53.00
2026-01-13T04:10:00Z,48.00,54.00
2026-01-13T04:27:00Z,48.00,54.00
2026-01-13T04:40:00Z,48.00,54.00
2026-01-13T04:51:00Z,48.00,54.00
2026-01-13T04:57:00Z,48.72,54.00
2026-01-13T04:59:00Z,48.72,54.00
2026-01-13T05:06:00Z,48.72,52.00
2026-01-13T05:08:00Z,49.00,52.00
2026-01-13T05:20:00Z,49.00,52.00
2026-01-13T05:26:00Z,49.00,52.00
2026-01-13T05:30:00Z,49.00,52.00
2026-01-13T05:32:00Z,49.00,52.00
2026-01-13T05:33:00Z,49.00,52.72
2026-01-13T05:35:00Z,49.00,52.72
2026-01-13T05:36:00Z,49.00,53.00
2026-01-13T05:37:00Z,49.00,53.00
2026-01-13T05:38:00Z,49.00,53.00
2026-01-13T05:39:00Z,49.00,53.00
2026-01-13T05:40:00Z,49.00,53.00
2026-01-13T05:41:00Z,49.00,53.00
2026-01-13T05:44:00Z,49.00,53.00
2026-01-13T05:45:00Z,49.00,53.00
2026-01-13T05:46:00Z,49.00,53.00
2026-01-13T05:49:00Z,49.00,53.00
2026-01-13T05:52:00Z,49.00,51.24
2026-01-13T05:53:00Z,49.00,53.00
2026-01-13T05:54:00Z,49.00,53.00
2026-01-13T05:55:00Z,48.00,53.00
2026-01-13T05:59:00Z,48.00,53.00
2026-01-13T06:01:00Z,50.00,53.00
2026-01-13T06:04:00Z,50.00,53.00
2026-01-13T06:05:00Z,50.00,53.00
2026-01-13T06:06:00Z,50.00,53.00
2026-01-13T06:08:00Z,50.00,53.00
2026-01-13T06:09:00Z,50.00,53.00
2026-01-13T06:11:00Z,50.00,52.00
2026-01-13T06:12:00Z,50.00,52.00
2026-01-13T06:13:00Z,50.00,52.17
2026-01-13T06:15:00Z,50.00,52.17
2026-01-13T06:18:00Z,50.00,52.17
2026-01-13T06:24:00Z,50.00,52.17
2026-01-13T06:25:00Z,50.00,53.00
2026-01-13T06:28:00Z,50.00,53.00
2026-01-13T06:29:00Z,49.64,53.00
2026-01-13T06:33:00Z,49.00,53.00
2026-01-13T06:36:00Z,49.00,53.00
2026-01-13T06:38:00Z,48.00,53.00
2026-01-13T06:41:00Z,48.00,53.00
2026-01-13T06:42:00Z,48.00,53.00
2026-01-13T06:44:00Z,49.00,53.00
2026-01-13T06:51:00Z,49.00,53.00
2026-01-13T06:52:00Z,49.00,53.00
2026-01-13T06:54:00Z,49.00,53.10
2026-01-13T06:55:00Z,48.00,53.10
2026-01-13T06:56:00Z,51.00,53.10
2026-01-13T06:58:00Z,51.63,50.00
2026-01-13T06:59:00Z,51.63,51.00
2026-01-13T07:00:00Z,52.00,51.00
2026-01-13T07:01:00Z,51.33,51.75
2026-01-13T07:02:00Z,51.00,52.00
2026-01-13T07:03:00Z,51.00,51.94
2026-01-13T07:04:00Z,51.00,51.94
2026-01-13T07:05:00Z,52.93,51.94
2026-01-13T07:06:00Z,54.11,49.00
2026-01-13T07:07:00Z,55.00,48.00
2026-01-13T07:08:00Z,54.53,48.55
2026-01-13T07:09:00Z,54.12,46.60
2026-01-13T07:10:00Z,55.52,42.83
2026-01-13T07:11:00Z,56.05,47.35
2026-01-13T07:12:00Z,59.05,44.17
2026-01-13T07:13:00Z,59.36,44.73
2026-01-13T07:14:00Z,52.67,48.00
2026-01-13T07:15:00Z,51.21,53.87
2026-01-13T07:16:00Z,47.36,52.46
2026-01-13T07:17:00Z,40.53,60.87
2026-01-13T07:18:00Z,37.00,65.61
2026-01-13T07:19:00Z,36.99,66.12
2026-01-13T07:20:00Z,29.53,69.00
2026-01-13T07:21:00Z,26.92,72.76
2026-01-13T07:22:00Z,31.90,70.96
2026-01-13T07:23:00Z,34.28,69.00
2026-01-13T07:24:00Z,34.86,68.00
2026-01-13T07:25:00Z,38.56,64.21
2026-01-13T07:26:00Z,42.43,59.21
2026-01-13T07:27:00Z,40.40,61.39
2026-01-13T07:28:00Z,34.56,65.73
2026-01-13T07:29:00Z,35.05,63.54
2026-01-13T07:30:00Z,30.19,73.72
2026-01-13T07:31:00Z,33.93,71.96
2026-01-13T07:32:00Z,35.86,66.56
2026-01-13T07:33:00Z,34.93,66.97
2026-01-13T07:34:00Z,33.31,69.68
2026-01-13T07:35:00Z,28.29,72.81
2026-01-13T07:36:00Z,27.56,73.61
2026-01-13T07:37:00Z,26.20,75.00
2026-01-13T07:38:00Z,26.00,75.33
2026-01-13T07:39:00Z,25.14,74.62
2026-01-13T07:40:00Z,29.48,72.45
2026-01-13T07:41:00Z,29.37,73.00
2026-01-13T07:42:00Z,31.58,71.53
2026-01-13T07:43:00Z,26.51,77.16
2026-01-13T07:44:00Z,25.83,73.63
2026-01-13T07:45:00Z,28.66,70.22
2026-01-13T07:46:00Z,28.07,71.89
2026-01-13T07:47:00Z,24.94,74.92
