# event_ticker=KXATPCHALLENGERMATCH-26APR22SAISAK
# final_score=7-6(6) 7-6(3)
# score_resolution=6-7 6-7
# match_winner=Stefanos Sakellaridis
# fav_player=Nikolas Sanchez Izquierdo
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-04-22
timestamp,Nikolas Sanchez Izquierdo,Stefanos Sakellaridis
2026-04-22T08:18:00Z,39.79,62.54
2026-04-22T08:19:00Z,40.00,62.54
2026-04-22T08:20:00Z,40.00,64.00
2026-04-22T08:21:00Z,40.00,61.86
2026-04-22T08:22:00Z,40.00,61.91
2026-04-22T08:23:00Z,40.00,62.47
2026-04-22T08:24:00Z,41.29,62.47
2026-04-22T08:27:00Z,38.97,60.63
2026-04-22T08:28:00Z,38.97,64.00
2026-04-22T08:30:00Z,33.03,64.52
2026-04-22T08:31:00Z,33.03,68.43
2026-04-22T08:33:00Z,33.03,66.00
2026-04-22T08:34:00Z,36.00,63.99
2026-04-22T08:36:00Z,37.71,67.00
2026-04-22T08:37:00Z,38.00,67.00
2026-04-22T08:38:00Z,30.18,65.46
2026-04-22T08:39:00Z,30.18,66.00
2026-04-22T08:40:00Z,30.18,64.04
2026-04-22T08:41:00Z,40.00,62.63
2026-04-22T08:42:00Z,40.00,63.00
2026-04-22T08:43:00Z,40.27,63.00
2026-04-22T08:44:00Z,40.27,58.02
2026-04-22T08:45:00Z,40.27,62.57
2026-04-22T08:46:00Z,41.83,61.59
2026-04-22T08:47:00Z,41.83,62.00
2026-04-22T08:48:00Z,35.10,62.71
2026-04-22T08:49:00Z,45.09,63.36
2026-04-22T08:50:00Z,45.09,64.00
2026-04-22T08:51:00Z,45.09,65.45
2026-04-22T08:52:00Z,36.00,63.99
2026-04-22T08:53:00Z,35.36,63.00
2026-04-22T08:55:00Z,35.36,57.93
2026-04-22T08:56:00Z,36.00,62.21
2026-04-22T08:57:00Z,39.00,57.82
2026-04-22T08:58:00Z,39.00,62.00
2026-04-22T09:00:00Z,39.00,62.00
2026-04-22T09:02:00Z,39.00,62.00
2026-04-22T09:03:00Z,39.00,55.22
2026-04-22T09:04:00Z,42.20,55.26
2026-04-22T09:06:00Z,37.34,55.26
2026-04-22T09:07:00Z,36.67,54.76
2026-04-22T09:10:00Z,36.67,55.00
2026-04-22T09:11:00Z,36.67,60.34
2026-04-22T09:12:00Z,43.75,60.34
2026-04-22T09:18:00Z,43.75,59.00
2026-04-22T09:23:00Z,43.75,58.43
2026-04-22T09:24:00Z,43.75,62.00
2026-04-22T09:31:00Z,44.00,59.95
2026-04-22T09:39:00Z,44.00,60.00
2026-04-22T09:42:00Z,44.00,61.00
2026-04-22T09:46:00Z,38.00,61.00
