# event_ticker=KXATPCHALLENGERMATCH-26MAR10NIJJIA
# final_score=7-6(5) 7-5
# score_resolution=7-6 7-5
# match_winner=Filip Cristian Jianu
# fav_player=Filip Cristian Jianu
# dog_player=Ryan Nijboer
# kalshi_date=2026-03-10
timestamp,Filip Cristian Jianu,Ryan Nijboer
2026-03-09T23:00:00Z,,24.00
2026-03-10T04:00:00Z,,25.00
2026-03-10T04:10:00Z,,25.00
2026-03-10T04:25:00Z,78.00,25.00
2026-03-10T04:26:00Z,78.00,25.00
2026-03-10T04:52:00Z,78.00,25.00
2026-03-10T04:53:00Z,78.00,26.00
2026-03-10T05:00:00Z,78.00,27.00
2026-03-10T05:01:00Z,78.00,26.00
2026-03-10T05:33:00Z,76.00,26.00
2026-03-10T05:49:00Z,76.00,27.00
2026-03-10T06:14:00Z,76.00,27.00
2026-03-10T06:19:00Z,76.00,26.00
2026-03-10T06:20:00Z,76.00,26.00
2026-03-10T06:24:00Z,76.00,27.00
2026-03-10T06:27:00Z,76.00,27.00
2026-03-10T06:34:00Z,76.10,26.00
2026-03-10T07:40:00Z,76.10,25.00
2026-03-10T07:42:00Z,77.00,25.00
2026-03-10T08:45:00Z,75.00,25.00
2026-03-10T09:04:00Z,76.00,25.00
2026-03-10T09:08:00Z,76.00,25.00
2026-03-10T09:31:00Z,76.00,25.00
2026-03-10T09:59:00Z,78.00,25.00
2026-03-10T10:03:00Z,78.00,24.00
2026-03-10T10:11:00Z,78.00,24.03
2026-03-10T10:12:00Z,78.00,27.00
2026-03-10T10:14:00Z,79.05,27.00
2026-03-10T10:25:00Z,77.18,24.00
2026-03-10T10:26:00Z,77.18,26.05
2026-03-10T10:27:00Z,77.18,28.00
2026-03-10T10:28:00Z,77.18,29.00
2026-03-10T10:29:00Z,77.18,32.98
2026-03-10T10:30:00Z,77.18,34.73
2026-03-10T10:31:00Z,59.00,39.00
2026-03-10T10:32:00Z,55.00,45.30
2026-03-10T10:33:00Z,55.00,47.00
2026-03-10T10:34:00Z,55.00,52.73
2026-03-10T10:35:00Z,55.00,53.36
2026-03-10T10:38:00Z,55.00,48.38
2026-03-10T10:40:00Z,55.00,45.00
2026-03-10T10:41:00Z,58.73,37.00
2026-03-10T10:42:00Z,59.00,42.73
2026-03-10T10:43:00Z,55.56,46.00
2026-03-10T10:44:00Z,48.38,54.57
2026-03-10T10:46:00Z,46.00,57.00
2026-03-10T10:47:00Z,49.00,53.00
2026-03-10T10:48:00Z,49.00,53.00
2026-03-10T10:49:00Z,54.00,48.00
2026-03-10T10:50:00Z,55.54,48.09
2026-03-10T10:51:00Z,51.74,50.00
2026-03-10T10:52:00Z,51.00,49.63
2026-03-10T10:53:00Z,51.00,50.17
2026-03-10T10:54:00Z,48.96,55.18
2026-03-10T10:55:00Z,48.35,54.00
2026-03-10T10:56:00Z,53.90,48.02
2026-03-10T10:57:00Z,53.90,48.74
2026-03-10T10:58:00Z,57.88,40.94
2026-03-10T10:59:00Z,67.89,33.12
2026-03-10T11:00:00Z,69.87,29.00
2026-03-10T11:01:00Z,60.68,38.42
2026-03-10T11:02:00Z,64.94,32.03
2026-03-10T11:03:00Z,73.29,24.08
2026-03-10T11:04:00Z,75.89,24.08
2026-03-10T11:05:00Z,78.00,22.00
2026-03-10T11:06:00Z,82.99,16.30
2026-03-10T11:07:00Z,82.99,18.77
2026-03-10T11:08:00Z,78.30,14.03
2026-03-10T11:09:00Z,84.00,18.40
2026-03-10T11:10:00Z,83.18,20.65
2026-03-10T11:11:00Z,70.26,29.45
2026-03-10T11:12:00Z,69.25,28.50
2026-03-10T11:13:00Z,78.35,18.49
2026-03-10T11:14:00Z,81.80,17.31
2026-03-10T11:15:00Z,74.00,26.10
2026-03-10T11:16:00Z,75.36,26.10
2026-03-10T11:17:00Z,70.99,25.00
2026-03-10T11:18:00Z,78.36,25.15
2026-03-10T11:19:00Z,85.77,16.54
2026-03-10T11:20:00Z,85.00,16.59
2026-03-10T11:21:00Z,85.00,19.96
2026-03-10T11:22:00Z,85.56,14.50
2026-03-10T11:23:00Z,86.02,12.81
2026-03-10T11:24:00Z,86.02,13.00
2026-03-10T11:25:00Z,88.00,12.68
2026-03-10T11:26:00Z,88.00,13.00
2026-03-10T11:27:00Z,90.97,10.64
2026-03-10T11:28:00Z,93.74,6.00
2026-03-10T11:29:00Z,95.03,6.39
2026-03-10T11:30:00Z,95.26,6.81
2026-03-10T11:31:00Z,95.40,5.26
2026-03-10T11:32:00Z,92.01,6.35
2026-03-10T11:33:00Z,88.00,5.40
2026-03-10T11:34:00Z,90.00,9.66
2026-03-10T11:35:00Z,89.87,10.71
