# event_ticker=KXATPCHALLENGERMATCH-26MAY14TABKOV
# final_score=6-3 6-1
# score_resolution=3-6 1-6
# match_winner=Alejandro Tabilo
# fav_player=Aleksandar Kovacevic
# dog_player=Alejandro Tabilo
# kalshi_date=2026-05-14
timestamp,Alejandro Tabilo,Aleksandar Kovacevic
2026-05-13T21:29:00Z,,25.00
2026-05-13T22:01:00Z,78.00,25.00
2026-05-13T23:53:00Z,78.00,24.00
2026-05-14T00:08:00Z,78.00,24.00
2026-05-14T00:40:00Z,78.00,24.00
2026-05-14T01:04:00Z,78.00,21.50
2026-05-14T01:08:00Z,78.00,21.00
2026-05-14T01:48:00Z,78.00,20.82
2026-05-14T02:02:00Z,80.00,20.82
2026-05-14T02:16:00Z,80.00,20.82
2026-05-14T02:18:00Z,80.00,20.82
2026-05-14T02:36:00Z,80.00,20.82
2026-05-14T02:44:00Z,80.00,20.82
2026-05-14T03:42:00Z,80.00,20.82
2026-05-14T03:48:00Z,81.00,19.00
2026-05-14T03:52:00Z,81.00,19.00
2026-05-14T03:53:00Z,81.00,19.00
2026-05-14T04:01:00Z,81.00,19.00
2026-05-14T04:13:00Z,81.00,19.00
2026-05-14T04:35:00Z,81.00,19.00
2026-05-14T04:39:00Z,81.00,19.00
2026-05-14T04:44:00Z,82.00,19.00
2026-05-14T04:45:00Z,82.00,19.00
2026-05-14T04:52:00Z,82.00,19.00
2026-05-14T04:54:00Z,82.00,19.00
2026-05-14T04:59:00Z,82.00,19.00
2026-05-14T05:14:00Z,82.00,19.06
2026-05-14T05:17:00Z,82.00,18.00
2026-05-14T05:23:00Z,82.00,18.00
2026-05-14T05:24:00Z,82.00,18.00
2026-05-14T05:25:00Z,82.00,18.00
2026-05-14T05:26:00Z,82.00,18.00
2026-05-14T05:46:00Z,82.86,18.00
2026-05-14T05:47:00Z,83.00,18.00
2026-05-14T05:57:00Z,83.00,19.00
2026-05-14T06:19:00Z,83.00,18.00
2026-05-14T06:34:00Z,83.00,18.00
2026-05-14T06:55:00Z,83.00,18.00
2026-05-14T09:02:00Z,84.00,18.00
2026-05-14T09:03:00Z,84.00,17.00
2026-05-14T09:05:00Z,84.00,17.00
2026-05-14T09:06:00Z,84.00,17.00
2026-05-14T09:07:00Z,84.00,17.00
2026-05-14T09:08:00Z,85.00,17.00
2026-05-14T09:09:00Z,85.00,17.00
2026-05-14T09:10:00Z,81.13,17.68
2026-05-14T09:11:00Z,79.72,20.76
2026-05-14T09:12:00Z,82.00,17.00
2026-05-14T09:13:00Z,83.00,17.00
2026-05-14T09:14:00Z,83.00,17.00
2026-05-14T09:15:00Z,82.05,17.75
2026-05-14T09:16:00Z,82.02,19.00
2026-05-14T09:17:00Z,82.07,18.09
2026-05-14T09:18:00Z,79.15,18.09
2026-05-14T09:19:00Z,79.14,22.01
2026-05-14T09:20:00Z,80.00,22.01
2026-05-14T09:21:00Z,81.00,20.00
2026-05-14T09:22:00Z,81.00,20.26
2026-05-14T09:23:00Z,77.03,23.06
2026-05-14T09:24:00Z,79.00,23.06
2026-05-14T09:25:00Z,79.00,21.23
2026-05-14T09:28:00Z,80.00,21.23
2026-05-14T09:29:00Z,77.00,20.00
2026-05-14T09:30:00Z,75.00,25.57
2026-05-14T09:31:00Z,73.05,26.62
2026-05-14T09:32:00Z,76.00,26.62
2026-05-14T09:33:00Z,76.00,24.00
2026-05-14T09:34:00Z,76.00,24.00
2026-05-14T09:36:00Z,77.11,23.00
2026-05-14T09:37:00Z,79.45,18.15
2026-05-14T09:38:00Z,83.00,18.75
2026-05-14T09:39:00Z,79.02,18.74
2026-05-14T09:40:00Z,86.38,11.07
2026-05-14T09:41:00Z,86.38,12.59
2026-05-14T09:42:00Z,86.38,17.89
2026-05-14T09:43:00Z,81.00,16.35
2026-05-14T09:44:00Z,85.33,16.03
2026-05-14T09:45:00Z,89.50,11.04
2026-05-14T09:46:00Z,90.00,11.00
2026-05-14T09:47:00Z,90.00,11.00
2026-05-14T09:48:00Z,90.15,10.00
2026-05-14T09:49:00Z,91.00,10.00
2026-05-14T09:50:00Z,91.33,10.48
2026-05-14T09:51:00Z,90.00,10.55
2026-05-14T09:52:00Z,90.83,10.55
2026-05-14T09:53:00Z,91.00,10.55
2026-05-14T09:54:00Z,90.60,10.55
2026-05-14T09:55:00Z,88.00,12.00
2026-05-14T09:56:00Z,88.10,13.00
2026-05-14T09:57:00Z,90.00,11.00
2026-05-14T09:58:00Z,92.00,9.00
2026-05-14T09:59:00Z,92.00,9.29
2026-05-14T10:00:00Z,92.00,9.29
2026-05-14T10:01:00Z,95.92,8.06
2026-05-14T10:02:00Z,96.97,4.00
2026-05-14T10:03:00Z,95.35,4.05
2026-05-14T10:04:00Z,96.00,4.28
2026-05-14T10:05:00Z,96.00,5.10
2026-05-14T10:06:00Z,97.00,3.00
2026-05-14T10:07:00Z,98.00,2.00
2026-05-14T10:08:00Z,97.00,3.00
2026-05-14T10:09:00Z,98.00,3.00
2026-05-14T10:10:00Z,98.00,3.00
2026-05-14T10:11:00Z,98.00,2.03
2026-05-14T10:12:00Z,99.00,1.01
2026-05-14T10:13:00Z,99.00,1.00
2026-05-14T10:14:00Z,99.00,1.00
2026-05-14T10:26:00Z,99.00,1.00
