# event_ticker=KXATPMATCH-26FEB01MEDWAW
# final_score=7-6(3) 6-4
# score_resolution=6-7 4-6
# match_winner=Stan Wawrinka
# fav_player=Hamad Medjedovic
# dog_player=Stan Wawrinka
# kalshi_date=2026-02-01
timestamp,Hamad Medjedovic,Stan Wawrinka
2026-02-04T04:09:00Z,,40.00
2026-02-04T04:16:00Z,,40.00
2026-02-04T04:21:00Z,,40.00
2026-02-04T04:24:00Z,61.00,40.00
2026-02-04T04:28:00Z,61.00,40.00
2026-02-04T04:30:00Z,61.05,40.00
2026-02-04T04:33:00Z,62.00,40.00
2026-02-04T04:51:00Z,62.00,40.00
2026-02-04T04:53:00Z,62.00,40.00
2026-02-04T04:55:00Z,62.00,39.00
2026-02-04T04:56:00Z,62.00,39.00
2026-02-04T04:57:00Z,62.00,39.00
2026-02-04T05:03:00Z,62.00,39.00
2026-02-04T05:06:00Z,62.00,39.00
2026-02-04T05:07:00Z,62.00,39.00
2026-02-04T05:13:00Z,62.00,39.00
2026-02-04T05:15:00Z,62.00,39.00
2026-02-04T05:22:00Z,62.00,39.00
2026-02-04T05:28:00Z,62.00,39.00
2026-02-04T05:29:00Z,62.00,39.00
2026-02-04T05:36:00Z,62.00,39.00
2026-02-04T05:37:00Z,62.00,39.00
2026-02-04T05:43:00Z,62.00,39.00
2026-02-04T05:44:00Z,62.00,39.00
2026-02-04T05:45:00Z,62.00,39.00
2026-02-04T05:48:00Z,62.00,39.00
2026-02-04T05:50:00Z,62.00,39.00
2026-02-04T05:54:00Z,62.00,39.00
2026-02-04T05:59:00Z,62.00,39.00
2026-02-04T06:00:00Z,62.00,39.00
2026-02-04T06:03:00Z,62.00,39.00
2026-02-04T06:06:00Z,62.00,39.00
2026-02-04T06:07:00Z,62.00,39.00
2026-02-04T06:10:00Z,62.00,39.00
2026-02-04T06:15:00Z,62.00,39.00
2026-02-04T06:17:00Z,62.00,39.00
2026-02-04T06:19:00Z,62.00,40.00
2026-02-04T06:20:00Z,62.00,40.00
2026-02-04T06:22:00Z,62.00,40.00
2026-02-04T06:24:00Z,62.00,40.00
2026-02-04T06:32:00Z,62.00,40.00
2026-02-04T06:36:00Z,62.00,39.41
2026-02-04T06:40:00Z,62.00,40.00
2026-02-04T06:41:00Z,62.00,40.00
