# event_ticker=KXATPMATCH-25AUG10GRIMED
# final_score=6-4 7-6(3)
# score_resolution=6-4 7-6
# match_winner=Hamad Medjedovic
# fav_player=Hamad Medjedovic
# dog_player=Tallon Griekspoor
# kalshi_date=2025-08-10
timestamp,Hamad Medjedovic,Tallon Griekspoor
2025-08-10T11:55:00Z,,60.00
2025-08-10T13:38:00Z,,55.00
2025-08-10T13:59:00Z,,55.00
2025-08-10T14:02:00Z,,55.00
2025-08-10T14:18:00Z,,55.00
2025-08-10T15:36:00Z,,54.00
2025-08-10T16:38:00Z,,54.00
2025-08-10T16:48:00Z,,54.00
2025-08-10T16:49:00Z,,54.00
2025-08-10T17:02:00Z,,55.00
2025-08-10T17:37:00Z,46.00,55.00
2025-08-10T18:04:00Z,46.00,55.00
2025-08-10T18:05:00Z,46.00,55.00
2025-08-10T18:06:00Z,46.00,54.99
2025-08-10T18:24:00Z,46.00,55.00
2025-08-10T18:48:00Z,46.00,55.00
2025-08-10T19:11:00Z,46.00,55.00
2025-08-10T19:14:00Z,45.00,55.00
2025-08-10T19:16:00Z,45.00,54.00
2025-08-10T19:19:00Z,47.87,54.12
2025-08-10T19:24:00Z,47.87,55.00
2025-08-10T19:33:00Z,47.87,53.97
2025-08-10T19:42:00Z,47.87,52.68
2025-08-10T19:57:00Z,47.87,54.00
2025-08-10T20:15:00Z,48.00,54.00
2025-08-10T20:24:00Z,48.00,54.00
2025-08-10T20:26:00Z,48.00,54.00
2025-08-10T20:29:00Z,48.00,55.00
2025-08-10T20:33:00Z,48.79,55.00
2025-08-10T20:35:00Z,48.79,55.00
2025-08-10T20:43:00Z,48.79,55.00
2025-08-10T20:46:00Z,48.49,55.00
2025-08-10T20:52:00Z,48.49,55.00
2025-08-10T20:59:00Z,48.49,55.00
2025-08-10T21:05:00Z,46.00,60.00
2025-08-10T21:06:00Z,46.00,59.00
2025-08-10T21:07:00Z,46.00,56.00
2025-08-10T21:08:00Z,46.00,54.00
2025-08-10T21:09:00Z,47.09,54.00
2025-08-10T21:11:00Z,43.75,60.00
2025-08-10T21:12:00Z,43.75,56.61
2025-08-10T21:13:00Z,48.91,56.61
2025-08-10T21:14:00Z,50.00,54.04
2025-08-10T21:15:00Z,50.00,53.13
2025-08-10T21:16:00Z,50.00,55.00
2025-08-10T21:17:00Z,61.56,39.62
2025-08-10T21:19:00Z,61.56,34.98
2025-08-10T21:21:00Z,70.75,32.92
2025-08-10T21:22:00Z,74.28,28.05
2025-08-10T21:23:00Z,74.28,27.00
2025-08-10T21:24:00Z,72.00,28.26
2025-08-10T21:25:00Z,72.00,32.44
2025-08-10T21:26:00Z,72.00,32.97
2025-08-10T21:27:00Z,72.00,33.00
2025-08-10T21:30:00Z,65.54,36.49
2025-08-10T21:31:00Z,58.65,40.29
2025-08-10T21:32:00Z,58.65,32.00
2025-08-10T21:33:00Z,58.65,28.66
2025-08-10T21:34:00Z,58.65,30.84
2025-08-10T21:35:00Z,70.00,30.00
2025-08-10T21:36:00Z,75.81,30.00
2025-08-10T21:38:00Z,75.81,28.91
2025-08-10T21:41:00Z,70.33,31.80
2025-08-10T21:42:00Z,76.00,25.00
2025-08-10T21:43:00Z,76.00,22.02
2025-08-10T21:45:00Z,77.00,21.00
2025-08-10T21:47:00Z,77.00,27.00
2025-08-10T21:48:00Z,77.00,31.88
2025-08-10T21:49:00Z,77.00,27.48
2025-08-10T21:50:00Z,77.00,23.40
2025-08-10T21:51:00Z,78.00,22.00
2025-08-10T21:52:00Z,87.17,14.93
2025-08-10T21:53:00Z,87.17,7.60
2025-08-10T21:54:00Z,91.25,8.73
2025-08-10T21:55:00Z,94.00,7.00
2025-08-10T21:56:00Z,94.58,7.79
2025-08-10T21:57:00Z,95.98,7.79
2025-08-10T21:59:00Z,95.98,7.00
2025-08-10T22:00:00Z,95.98,5.46
2025-08-10T22:01:00Z,95.98,7.20
2025-08-10T22:02:00Z,93.00,10.00
2025-08-10T22:03:00Z,92.00,9.50
2025-08-10T22:04:00Z,92.00,9.00
2025-08-10T22:05:00Z,92.00,7.00
2025-08-10T22:06:00Z,94.00,7.00
2025-08-10T22:07:00Z,94.00,6.00
2025-08-10T22:08:00Z,94.00,6.00
2025-08-10T22:09:00Z,94.00,6.00
2025-08-10T22:10:00Z,94.00,6.00
2025-08-10T22:12:00Z,92.00,6.00
2025-08-10T22:13:00Z,92.00,7.00
2025-08-10T22:14:00Z,95.00,20.29
2025-08-10T22:15:00Z,95.00,22.52
2025-08-10T22:16:00Z,95.00,25.85
2025-08-10T22:17:00Z,95.00,32.81
2025-08-10T22:18:00Z,66.11,34.01
2025-08-10T22:19:00Z,68.00,34.98
2025-08-10T22:20:00Z,68.00,47.50
2025-08-10T22:21:00Z,69.33,47.50
2025-08-10T22:22:00Z,71.99,28.01
2025-08-10T22:23:00Z,74.00,27.74
2025-08-10T22:24:00Z,74.00,33.98
2025-08-10T22:25:00Z,74.00,37.57
2025-08-10T22:26:00Z,71.50,37.57
2025-08-10T22:27:00Z,71.50,45.93
2025-08-10T22:29:00Z,65.00,35.01
2025-08-10T22:30:00Z,65.00,45.94
2025-08-10T22:31:00Z,58.79,40.62
2025-08-10T22:32:00Z,65.11,32.03
2025-08-10T22:33:00Z,60.00,39.98
2025-08-10T22:34:00Z,64.00,54.85
2025-08-10T22:35:00Z,67.57,38.92
2025-08-10T22:36:00Z,64.25,42.00
2025-08-10T22:37:00Z,57.39,47.63
2025-08-10T22:38:00Z,69.12,30.61
2025-08-10T22:39:00Z,84.34,13.00
2025-08-10T22:40:00Z,90.87,4.89
2025-08-10T22:41:00Z,98.39,4.89
2025-08-10T22:42:00Z,98.32,1.48
2025-08-10T22:43:00Z,98.53,1.48
2025-08-10T22:44:00Z,98.51,1.48
