# event_ticker=KXATPCHALLENGERMATCH-26MAR14BLONAV
# final_score=3-6 6-3 7-6(3)
# score_resolution=3-6 6-3 7-6
# match_winner=Mariano Navone
# fav_player=Mariano Navone
# dog_player=Alexander Blockx
# kalshi_date=2026-03-14
timestamp,Mariano Navone,Alexander Blockx
2026-03-14T06:58:00Z,39.48,
2026-03-14T07:04:00Z,39.00,
2026-03-14T07:18:00Z,39.00,61.00
2026-03-14T07:31:00Z,40.00,61.00
2026-03-14T07:48:00Z,39.00,61.00
2026-03-14T08:20:00Z,39.00,61.00
2026-03-14T08:29:00Z,39.00,61.00
2026-03-14T09:18:00Z,39.00,61.00
2026-03-14T09:41:00Z,39.00,61.00
2026-03-14T09:42:00Z,41.00,61.00
2026-03-14T10:01:00Z,41.00,61.00
2026-03-14T10:15:00Z,41.00,61.00
2026-03-14T10:50:00Z,41.00,61.00
2026-03-14T11:04:00Z,41.00,61.00
2026-03-14T11:33:00Z,41.00,61.00
2026-03-14T11:34:00Z,41.00,61.00
2026-03-14T11:39:00Z,41.00,60.00
2026-03-14T12:10:00Z,41.00,60.00
2026-03-14T12:13:00Z,41.00,60.00
2026-03-14T12:14:00Z,41.00,60.00
2026-03-14T12:16:00Z,41.00,60.00
2026-03-14T12:18:00Z,41.00,60.00
2026-03-14T12:23:00Z,40.00,60.00
2026-03-14T12:24:00Z,39.00,60.00
2026-03-14T12:32:00Z,39.00,61.00
2026-03-14T12:35:00Z,39.00,61.09
2026-03-14T12:37:00Z,39.00,61.50
2026-03-14T12:39:00Z,39.00,62.00
2026-03-14T12:42:00Z,39.00,62.00
2026-03-14T12:48:00Z,38.00,62.01
2026-03-14T12:49:00Z,37.00,62.01
2026-03-14T12:50:00Z,37.00,62.01
2026-03-14T12:54:00Z,37.00,63.00
2026-03-14T12:59:00Z,37.00,63.00
2026-03-14T13:18:00Z,37.00,63.00
2026-03-14T13:24:00Z,37.00,64.00
2026-03-14T13:29:00Z,37.00,64.00
2026-03-14T13:36:00Z,38.00,63.00
