# event_ticker=KXATPMATCH-26MAR17ATMALT
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Terence Atmane
# fav_player=Daniel Altmaier
# dog_player=Terence Atmane
# kalshi_date=2026-03-17
timestamp,Daniel Altmaier,Terence Atmane
2026-03-20T05:19:00Z,33.00,
2026-03-20T05:36:00Z,33.00,69.00
2026-03-20T05:43:00Z,33.00,69.00
2026-03-20T05:49:00Z,33.00,69.00
2026-03-20T05:56:00Z,33.00,69.00
2026-03-20T06:24:00Z,33.00,69.00
2026-03-20T06:29:00Z,33.00,69.00
2026-03-20T06:31:00Z,33.00,69.00
2026-03-20T06:33:00Z,33.00,69.00
2026-03-20T06:39:00Z,33.00,69.00
2026-03-20T06:45:00Z,33.00,69.00
2026-03-20T07:06:00Z,33.00,69.00
2026-03-20T07:36:00Z,33.00,69.00
2026-03-20T07:50:00Z,33.00,69.00
2026-03-20T07:56:00Z,33.00,69.00
2026-03-20T08:01:00Z,33.00,69.00
2026-03-20T08:10:00Z,33.00,69.00
2026-03-20T08:25:00Z,33.00,69.00
2026-03-20T09:04:00Z,33.00,69.00
2026-03-20T09:27:00Z,33.00,69.00
2026-03-20T09:28:00Z,31.00,69.00
2026-03-20T09:48:00Z,31.00,69.00
2026-03-20T09:51:00Z,33.00,69.00
2026-03-20T09:53:00Z,33.00,69.00
2026-03-20T10:23:00Z,33.00,67.59
2026-03-20T10:34:00Z,33.00,67.59
2026-03-20T11:03:00Z,33.00,68.00
2026-03-20T11:08:00Z,32.00,68.00
2026-03-20T11:10:00Z,32.00,68.00
2026-03-20T11:13:00Z,32.00,68.00
2026-03-20T11:14:00Z,32.00,68.00
2026-03-20T11:19:00Z,32.00,68.00
2026-03-20T11:30:00Z,32.51,68.00
2026-03-20T11:33:00Z,33.00,68.00
2026-03-20T11:39:00Z,33.00,68.00
2026-03-20T11:50:00Z,33.00,68.00
2026-03-20T11:53:00Z,33.00,68.00
2026-03-20T12:05:00Z,33.00,68.00
2026-03-20T12:15:00Z,33.00,69.00
2026-03-20T12:28:00Z,32.00,69.00
2026-03-20T12:33:00Z,32.00,68.00
2026-03-20T12:36:00Z,32.00,69.00
2026-03-20T12:44:00Z,32.00,70.00
2026-03-20T12:46:00Z,32.00,70.00
2026-03-20T12:47:00Z,31.00,70.00
2026-03-20T12:48:00Z,30.00,70.00
2026-03-20T12:49:00Z,30.00,70.00
2026-03-20T12:50:00Z,30.00,70.00
2026-03-20T12:57:00Z,31.00,70.00
2026-03-20T13:00:00Z,31.00,70.00
2026-03-20T13:01:00Z,31.00,70.00
2026-03-20T13:02:00Z,31.00,69.00
2026-03-20T13:03:00Z,32.00,69.00
2026-03-20T13:06:00Z,32.00,69.00
2026-03-20T13:09:00Z,32.00,70.00
2026-03-20T13:12:00Z,32.00,69.00
2026-03-20T13:13:00Z,31.00,69.00
2026-03-20T13:14:00Z,32.00,69.96
2026-03-20T13:17:00Z,32.00,69.96
2026-03-20T13:18:00Z,32.00,69.96
2026-03-20T13:19:00Z,32.00,70.00
