# event_ticker=KXATPMATCH-25AUG07THOMAN
# final_score=6-2 6-2
# match_winner=Adrian Mannarino
# fav_player=Adrian Mannarino
# dog_player=Jordan Thompson
# kalshi_date=2025-08-07
timestamp,Adrian Mannarino,Jordan Thompson
2025-08-07T13:23:00Z,,47.00
2025-08-07T13:56:00Z,,47.00
2025-08-07T13:57:00Z,,47.00
2025-08-07T14:46:00Z,,45.00
2025-08-07T15:08:00Z,,45.00
2025-08-07T15:24:00Z,55.00,45.00
2025-08-07T15:25:00Z,55.00,45.00
2025-08-07T15:44:00Z,55.00,45.00
2025-08-07T15:50:00Z,55.00,45.00
2025-08-07T15:59:00Z,55.00,45.00
2025-08-07T16:16:00Z,55.00,45.00
2025-08-07T16:18:00Z,55.00,45.00
2025-08-07T16:57:00Z,55.00,45.00
2025-08-07T17:39:00Z,55.00,42.00
2025-08-07T17:53:00Z,58.00,42.00
2025-08-07T18:02:00Z,58.00,42.00
2025-08-07T18:06:00Z,58.00,42.00
2025-08-07T18:19:00Z,58.00,43.00
2025-08-07T18:21:00Z,58.00,43.00
2025-08-07T18:55:00Z,59.00,43.00
2025-08-07T19:09:00Z,59.00,43.00
2025-08-07T19:12:00Z,59.00,43.00
2025-08-07T19:14:00Z,59.00,43.00
2025-08-07T19:15:00Z,59.00,43.00
2025-08-07T19:21:00Z,58.00,43.00
2025-08-07T19:24:00Z,58.00,43.90
2025-08-07T19:29:00Z,58.00,42.00
2025-08-07T19:32:00Z,58.00,44.00
2025-08-07T19:37:00Z,58.00,44.00
2025-08-07T19:41:00Z,58.35,44.00
2025-08-07T19:56:00Z,58.00,44.00
2025-08-07T20:04:00Z,58.00,43.00
2025-08-07T20:07:00Z,58.00,43.00
2025-08-07T20:13:00Z,58.00,43.84
2025-08-07T20:17:00Z,58.00,44.00
2025-08-07T20:28:00Z,58.00,44.00
2025-08-07T20:35:00Z,58.00,44.00
2025-08-07T20:37:00Z,58.00,44.00
2025-08-07T20:39:00Z,58.00,44.00
2025-08-07T20:42:00Z,58.00,44.00
2025-08-07T20:44:00Z,58.00,44.00
2025-08-07T20:48:00Z,58.00,44.00
2025-08-07T20:49:00Z,57.82,44.00
2025-08-07T20:50:00Z,57.82,45.66
2025-08-07T20:52:00Z,57.82,44.00
2025-08-07T20:53:00Z,57.82,44.00
2025-08-07T20:54:00Z,57.82,44.00
2025-08-07T20:55:00Z,57.83,44.00
2025-08-07T20:56:00Z,57.83,44.00
2025-08-07T20:57:00Z,57.83,44.17
2025-08-07T20:59:00Z,56.12,42.29
2025-08-07T21:00:00Z,56.59,46.16
2025-08-07T21:01:00Z,56.00,46.07
2025-08-07T21:02:00Z,59.68,43.33
2025-08-07T21:03:00Z,56.54,43.33
2025-08-07T21:04:00Z,55.62,46.76
2025-08-07T21:06:00Z,55.62,43.00
2025-08-07T21:07:00Z,58.29,43.00
2025-08-07T21:08:00Z,58.29,42.00
2025-08-07T21:09:00Z,58.29,38.09
2025-08-07T21:10:00Z,58.29,37.22
2025-08-07T21:11:00Z,61.00,39.94
2025-08-07T21:12:00Z,61.00,41.00
2025-08-07T21:13:00Z,61.55,37.00
2025-08-07T21:14:00Z,61.55,34.04
2025-08-07T21:15:00Z,61.55,30.00
2025-08-07T21:16:00Z,72.57,28.00
2025-08-07T21:17:00Z,74.22,27.00
2025-08-07T21:19:00Z,74.22,26.00
2025-08-07T21:20:00Z,74.22,27.00
2025-08-07T21:22:00Z,74.22,26.65
2025-08-07T21:23:00Z,74.01,26.65
