# event_ticker=KXATPCHALLENGERMATCH-26MAY09HEMMAR
# final_score=6-2 2-6 6-1
# match_winner=Calvin Hemery
# fav_player=Calvin Hemery
# dog_player=Ivan Marrero Curbelo
# kalshi_date=2026-05-09
timestamp,Calvin Hemery,Ivan Marrero Curbelo
2026-05-09T04:28:00Z,,18.00
2026-05-09T05:05:00Z,,18.00
2026-05-09T05:52:00Z,,19.00
2026-05-09T06:00:00Z,83.00,19.00
2026-05-09T07:33:00Z,83.00,18.00
2026-05-09T07:34:00Z,83.00,18.00
2026-05-09T07:40:00Z,83.00,19.00
2026-05-09T08:11:00Z,83.00,19.00
2026-05-09T09:38:00Z,83.00,19.00
2026-05-09T10:15:00Z,83.00,19.00
2026-05-09T11:11:00Z,83.00,19.00
2026-05-09T11:18:00Z,83.00,19.00
2026-05-09T12:01:00Z,83.00,18.00
2026-05-09T12:20:00Z,83.00,18.00
2026-05-09T12:28:00Z,83.00,18.00
2026-05-09T12:38:00Z,83.00,18.00
2026-05-09T12:43:00Z,80.59,18.00
2026-05-09T12:44:00Z,80.00,18.00
2026-05-09T12:59:00Z,82.00,18.00
2026-05-09T13:51:00Z,83.00,18.00
2026-05-09T14:40:00Z,83.00,18.00
2026-05-09T14:58:00Z,83.00,18.00
2026-05-09T15:07:00Z,83.00,19.00
2026-05-09T15:15:00Z,82.00,20.00
2026-05-09T15:20:00Z,82.00,20.00
2026-05-09T15:28:00Z,82.00,20.00
2026-05-09T15:34:00Z,83.00,20.00
2026-05-09T15:50:00Z,83.00,20.00
2026-05-09T15:51:00Z,83.00,20.00
2026-05-09T15:55:00Z,83.00,20.85
2026-05-09T15:56:00Z,83.77,20.85
2026-05-09T15:57:00Z,83.77,23.33
2026-05-09T15:59:00Z,85.00,17.31
2026-05-09T16:00:00Z,71.31,28.80
2026-05-09T16:01:00Z,70.56,31.07
2026-05-09T16:02:00Z,84.00,31.07
2026-05-09T16:03:00Z,83.00,20.90
2026-05-09T16:04:00Z,83.00,18.03
2026-05-09T16:05:00Z,82.93,19.00
2026-05-09T16:06:00Z,82.94,19.42
2026-05-09T16:07:00Z,84.21,15.75
2026-05-09T16:08:00Z,88.00,13.31
