# event_ticker=KXATPMATCH-25NOV10SINAUG
# final_score=7-5 6-1
# match_winner=Jannik Sinner
# fav_player=Jannik Sinner
# dog_player=Felix Auger-Aliassime
# kalshi_date=2025-11-10
timestamp,Jannik Sinner,Felix Auger-Aliassime
2025-11-10T08:50:00Z,,10.00
2025-11-10T08:53:00Z,91.00,10.00
2025-11-10T08:54:00Z,91.00,10.00
2025-11-10T08:55:00Z,91.00,10.00
2025-11-10T08:59:00Z,91.00,10.00
2025-11-10T09:03:00Z,91.00,10.00
2025-11-10T09:04:00Z,91.00,10.00
2025-11-10T09:05:00Z,91.00,10.00
2025-11-10T09:17:00Z,91.00,10.00
2025-11-10T09:22:00Z,91.00,9.96
2025-11-10T09:23:00Z,91.00,10.00
2025-11-10T09:33:00Z,91.00,10.00
2025-11-10T09:37:00Z,91.00,10.00
2025-11-10T09:44:00Z,91.00,10.00
2025-11-10T09:45:00Z,91.00,10.00
2025-11-10T09:46:00Z,91.00,10.00
2025-11-10T09:47:00Z,91.00,10.00
2025-11-10T09:48:00Z,91.00,10.00
2025-11-10T09:51:00Z,91.00,10.00
2025-11-10T09:53:00Z,91.00,10.00
2025-11-10T09:54:00Z,91.00,10.00
2025-11-10T09:55:00Z,91.00,10.00
2025-11-10T09:58:00Z,91.00,10.00
2025-11-10T10:01:00Z,91.00,10.66
2025-11-10T10:06:00Z,91.00,10.00
2025-11-10T10:12:00Z,91.00,10.00
2025-11-10T10:13:00Z,91.00,10.00
2025-11-10T10:18:00Z,91.00,10.00
2025-11-10T10:19:00Z,91.00,11.00
2025-11-10T10:23:00Z,91.00,11.00
2025-11-10T10:25:00Z,91.00,11.00
2025-11-10T10:34:00Z,91.00,11.00
2025-11-10T10:39:00Z,91.00,11.00
2025-11-10T10:46:00Z,91.00,11.00
2025-11-10T10:50:00Z,91.00,11.00
2025-11-10T10:54:00Z,91.00,11.00
2025-11-10T11:01:00Z,91.00,10.62
2025-11-10T11:05:00Z,91.00,10.62
2025-11-10T11:07:00Z,91.00,11.00
2025-11-10T11:14:00Z,91.00,10.00
2025-11-10T11:15:00Z,90.00,10.00
2025-11-10T11:16:00Z,91.00,11.00
2025-11-10T11:22:00Z,91.00,11.00
2025-11-10T11:23:00Z,91.00,11.00
2025-11-10T11:25:00Z,91.00,11.00
2025-11-10T11:26:00Z,91.00,11.00
2025-11-10T11:27:00Z,91.00,11.00
2025-11-10T11:29:00Z,91.00,11.00
2025-11-10T11:30:00Z,91.00,11.00
2025-11-10T11:38:00Z,91.00,11.00
2025-11-10T11:40:00Z,91.00,11.00
2025-11-10T11:41:00Z,91.00,11.00
2025-11-10T11:42:00Z,91.00,11.00
2025-11-10T11:46:00Z,91.00,11.00
2025-11-10T11:48:00Z,91.00,11.00
2025-11-10T11:50:00Z,91.00,11.00
2025-11-10T11:51:00Z,91.00,11.00
