# event_ticker=KXATPCHALLENGERMATCH-26APR30DAMBRU
# final_score=6-3 6-1
# score_resolution=3-6 1-6
# match_winner=Miguel Damas
# fav_player=Mika Brunold
# dog_player=Miguel Damas
# kalshi_date=2026-04-30
timestamp,Miguel Damas,Mika Brunold
2026-04-30T00:00:00Z,48.00,
2026-04-30T00:25:00Z,48.00,54.00
2026-04-30T00:30:00Z,48.00,54.00
2026-04-30T02:06:00Z,48.00,54.00
2026-04-30T02:37:00Z,48.00,54.00
2026-04-30T02:38:00Z,48.00,54.00
2026-04-30T02:50:00Z,48.00,54.00
2026-04-30T03:13:00Z,48.00,54.00
2026-04-30T03:29:00Z,48.00,54.00
2026-04-30T03:51:00Z,48.00,54.00
2026-04-30T04:12:00Z,48.00,54.00
2026-04-30T04:19:00Z,48.00,54.00
2026-04-30T04:30:00Z,49.00,54.00
2026-04-30T04:32:00Z,47.00,54.00
2026-04-30T04:34:00Z,48.00,54.00
2026-04-30T04:50:00Z,49.00,54.00
2026-04-30T04:59:00Z,49.00,54.00
2026-04-30T05:02:00Z,49.00,52.11
2026-04-30T05:08:00Z,49.00,52.11
2026-04-30T05:11:00Z,49.00,52.11
2026-04-30T05:15:00Z,48.90,52.11
2026-04-30T05:16:00Z,50.00,52.11
2026-04-30T05:23:00Z,50.00,52.11
2026-04-30T05:27:00Z,50.00,52.11
2026-04-30T05:28:00Z,50.00,52.11
2026-04-30T05:34:00Z,50.00,52.11
2026-04-30T05:35:00Z,50.00,52.11
2026-04-30T05:48:00Z,50.00,52.11
2026-04-30T05:58:00Z,50.00,52.11
2026-04-30T06:10:00Z,50.00,52.11
2026-04-30T06:25:00Z,50.00,52.11
2026-04-30T06:27:00Z,50.00,52.11
2026-04-30T06:33:00Z,50.00,52.11
2026-04-30T06:35:00Z,50.00,52.11
2026-04-30T06:43:00Z,51.00,52.11
2026-04-30T06:49:00Z,51.00,52.11
2026-04-30T06:51:00Z,51.00,52.00
2026-04-30T06:53:00Z,51.00,52.00
2026-04-30T06:55:00Z,51.00,52.00
2026-04-30T09:02:00Z,51.31,51.00
2026-04-30T09:03:00Z,51.00,50.56
2026-04-30T09:05:00Z,51.00,50.56
2026-04-30T09:07:00Z,51.00,51.00
2026-04-30T09:08:00Z,51.00,52.00
2026-04-30T09:10:00Z,51.00,51.00
2026-04-30T09:11:00Z,51.00,51.00
2026-04-30T09:13:00Z,51.89,51.00
2026-04-30T09:15:00Z,51.00,51.00
2026-04-30T09:19:00Z,51.00,51.00
2026-04-30T09:20:00Z,51.00,51.00
2026-04-30T09:22:00Z,51.00,51.00
2026-04-30T09:23:00Z,51.00,51.00
2026-04-30T09:33:00Z,50.00,51.00
2026-04-30T09:36:00Z,50.00,51.00
2026-04-30T09:38:00Z,50.00,51.00
2026-04-30T09:41:00Z,50.00,51.00
2026-04-30T09:43:00Z,51.00,51.00
2026-04-30T09:52:00Z,51.00,51.00
2026-04-30T09:53:00Z,51.00,51.00
2026-04-30T09:56:00Z,49.00,51.00
2026-04-30T10:01:00Z,51.00,51.00
2026-04-30T10:02:00Z,51.00,51.00
2026-04-30T10:03:00Z,51.00,51.00
2026-04-30T10:04:00Z,51.00,51.00
2026-04-30T10:05:00Z,51.00,51.00
2026-04-30T10:06:00Z,51.00,51.00
2026-04-30T10:17:00Z,49.00,51.00
2026-04-30T10:25:00Z,51.00,51.00
2026-04-30T10:26:00Z,51.00,51.00
2026-04-30T10:27:00Z,51.00,51.00
2026-04-30T10:28:00Z,51.47,51.00
2026-04-30T10:30:00Z,51.00,51.00
2026-04-30T10:31:00Z,51.00,51.00
2026-04-30T10:33:00Z,51.45,46.84
2026-04-30T10:34:00Z,52.96,46.84
2026-04-30T10:37:00Z,53.55,46.84
2026-04-30T10:38:00Z,53.77,47.00
2026-04-30T10:39:00Z,54.00,47.00
2026-04-30T10:40:00Z,54.00,48.00
2026-04-30T10:41:00Z,54.11,45.15
2026-04-30T10:42:00Z,54.77,47.34
2026-04-30T10:43:00Z,54.96,47.00
2026-04-30T10:44:00Z,53.13,48.00
