# event_ticker=KXATPCHALLENGERMATCH-26FEB17BOUCOP
# final_score=7-5 0-6 7-5
# match_winner=Arthur Bouquier
# fav_player=Arthur Bouquier
# dog_player=Kimmer Coppejans
# kalshi_date=2026-02-17
timestamp,Arthur Bouquier,Kimmer Coppejans
2026-02-17T03:33:00Z,58.00,
2026-02-17T03:47:00Z,58.00,
2026-02-17T04:21:00Z,58.00,
2026-02-17T04:26:00Z,58.00,
2026-02-17T04:30:00Z,58.00,
2026-02-17T04:39:00Z,58.00,
2026-02-17T04:51:00Z,58.00,45.00
2026-02-17T05:34:00Z,58.00,45.00
2026-02-17T05:52:00Z,57.00,45.00
2026-02-17T06:09:00Z,54.00,45.00
2026-02-17T06:40:00Z,54.00,48.00
2026-02-17T06:44:00Z,55.00,48.00
2026-02-17T07:38:00Z,55.00,48.00
2026-02-17T08:37:00Z,53.00,48.00
2026-02-17T09:00:00Z,57.00,48.00
2026-02-17T09:21:00Z,58.00,48.00
2026-02-17T09:45:00Z,58.00,44.00
2026-02-17T10:17:00Z,58.00,44.00
2026-02-17T10:40:00Z,58.00,42.00
2026-02-17T11:19:00Z,59.00,44.00
2026-02-17T11:21:00Z,59.00,43.00
2026-02-17T11:22:00Z,59.00,43.00
2026-02-17T11:35:00Z,59.00,43.00
2026-02-17T11:40:00Z,59.00,43.00
2026-02-17T11:42:00Z,59.00,41.00
2026-02-17T11:47:00Z,59.00,41.00
2026-02-17T11:49:00Z,59.00,41.00
2026-02-17T11:50:00Z,59.00,41.00
2026-02-17T11:58:00Z,59.00,41.00
2026-02-17T12:02:00Z,59.00,41.00
2026-02-17T12:04:00Z,59.00,41.00
2026-02-17T12:05:00Z,59.00,42.00
2026-02-17T12:07:00Z,59.00,42.00
2026-02-17T12:09:00Z,59.00,42.00
2026-02-17T12:14:00Z,59.00,42.00
2026-02-17T12:16:00Z,59.00,42.00
2026-02-17T12:20:00Z,59.68,42.00
2026-02-17T12:21:00Z,59.00,42.00
2026-02-17T12:45:00Z,59.00,42.00
2026-02-17T12:47:00Z,59.00,42.00
2026-02-17T12:49:00Z,59.00,42.00
2026-02-17T12:50:00Z,59.00,42.00
2026-02-17T12:51:00Z,59.00,42.00
2026-02-17T12:52:00Z,59.00,42.00
2026-02-17T12:53:00Z,59.00,42.00
2026-02-17T12:55:00Z,59.00,42.00
2026-02-17T12:59:00Z,59.00,42.00
2026-02-17T13:01:00Z,59.00,42.00
2026-02-17T13:02:00Z,59.35,42.00
2026-02-17T13:08:00Z,59.00,42.00
2026-02-17T13:10:00Z,59.21,42.00
2026-02-17T13:15:00Z,59.00,42.00
2026-02-17T13:18:00Z,59.00,42.00
2026-02-17T13:20:00Z,59.00,42.00
2026-02-17T13:21:00Z,59.00,42.00
2026-02-17T13:25:00Z,59.00,42.00
2026-02-17T13:27:00Z,59.00,42.00
2026-02-17T13:28:00Z,59.00,42.00
2026-02-17T13:32:00Z,59.00,42.00
2026-02-17T13:34:00Z,59.00,42.00
2026-02-17T13:36:00Z,59.01,42.00
2026-02-17T13:41:00Z,59.03,42.00
2026-02-17T13:42:00Z,59.00,42.00
2026-02-17T13:44:00Z,59.00,42.00
2026-02-17T13:47:00Z,59.00,42.00
2026-02-17T13:48:00Z,59.00,43.50
2026-02-17T13:49:00Z,60.00,43.50
2026-02-17T13:51:00Z,60.69,42.00
2026-02-17T13:52:00Z,60.00,42.00
2026-02-17T13:53:00Z,60.00,42.00
2026-02-17T13:54:00Z,60.00,43.00
2026-02-17T13:55:00Z,60.00,41.00
2026-02-17T13:56:00Z,60.00,41.00
2026-02-17T13:57:00Z,58.89,41.55
2026-02-17T13:58:00Z,57.11,44.00
2026-02-17T13:59:00Z,49.58,49.05
2026-02-17T14:00:00Z,49.88,48.06
2026-02-17T14:01:00Z,59.24,45.00
2026-02-17T14:02:00Z,60.00,42.00
2026-02-17T14:03:00Z,60.00,40.98
2026-02-17T14:04:00Z,60.00,42.00
2026-02-17T14:05:00Z,60.00,55.00
2026-02-17T14:06:00Z,60.00,56.00
2026-02-17T14:07:00Z,47.55,56.00
2026-02-17T14:08:00Z,43.71,58.23
2026-02-17T14:09:00Z,37.00,65.00
2026-02-17T14:10:00Z,37.00,65.17
2026-02-17T14:11:00Z,35.94,68.39
2026-02-17T14:12:00Z,35.91,68.00
2026-02-17T14:13:00Z,35.87,66.87
2026-02-17T14:14:00Z,36.00,62.47
2026-02-17T14:15:00Z,33.82,68.72
2026-02-17T14:16:00Z,30.00,69.83
2026-02-17T14:17:00Z,28.27,71.30
2026-02-17T14:18:00Z,30.65,72.00
2026-02-17T14:19:00Z,26.05,72.00
2026-02-17T14:20:00Z,32.73,70.09
2026-02-17T14:21:00Z,35.00,69.00
2026-02-17T14:22:00Z,32.13,70.22
2026-02-17T14:23:00Z,32.13,70.00
2026-02-17T14:24:00Z,32.66,71.00
2026-02-17T14:25:00Z,31.00,70.27
2026-02-17T14:26:00Z,30.97,72.90
2026-02-17T14:27:00Z,32.81,70.00
2026-02-17T14:28:00Z,32.87,70.00
2026-02-17T14:29:00Z,43.37,64.59
2026-02-17T14:30:00Z,52.37,50.80
2026-02-17T14:31:00Z,57.35,42.34
2026-02-17T14:32:00Z,60.28,38.63
2026-02-17T14:33:00Z,64.96,34.95
2026-02-17T14:34:00Z,64.72,38.00
2026-02-17T14:35:00Z,65.00,37.86
2026-02-17T14:36:00Z,68.77,32.75
2026-02-17T14:37:00Z,63.05,38.10
2026-02-17T14:38:00Z,64.74,28.81
2026-02-17T14:39:00Z,80.03,20.57
2026-02-17T14:40:00Z,82.20,18.77
2026-02-17T14:41:00Z,83.60,20.89
2026-02-17T14:42:00Z,79.42,20.41
2026-02-17T14:43:00Z,77.00,23.43
2026-02-17T14:44:00Z,76.91,27.46
