# event_ticker=KXATPCHALLENGERMATCH-26MAR05XILMRV
# final_score=6-3 6-3
# match_winner=Ioannis Xilas
# fav_player=Ioannis Xilas
# dog_player=Maxim Mrva
# kalshi_date=2026-03-05
timestamp,Ioannis Xilas,Maxim Mrva
2026-03-05T05:03:00Z,41.00,
2026-03-05T06:04:00Z,41.00,60.00
2026-03-05T06:16:00Z,41.00,60.00
2026-03-05T06:18:00Z,42.00,60.00
2026-03-05T06:28:00Z,42.00,60.00
2026-03-05T06:57:00Z,42.00,60.00
2026-03-05T07:01:00Z,43.00,60.00
2026-03-05T07:02:00Z,42.00,59.00
2026-03-05T07:36:00Z,43.00,59.00
2026-03-05T07:45:00Z,43.00,59.00
2026-03-05T07:49:00Z,43.00,59.00
2026-03-05T10:01:00Z,41.29,59.00
2026-03-05T10:02:00Z,41.29,59.00
2026-03-05T10:03:00Z,41.29,60.51
2026-03-05T10:10:00Z,39.88,60.51
2026-03-05T10:13:00Z,39.88,63.00
2026-03-05T10:16:00Z,39.88,62.00
2026-03-05T10:17:00Z,39.00,62.00
2026-03-05T10:29:00Z,39.00,62.00
2026-03-05T10:35:00Z,38.25,62.00
2026-03-05T10:36:00Z,39.00,62.00
2026-03-05T10:37:00Z,39.00,63.41
2026-03-05T10:40:00Z,39.00,64.00
2026-03-05T10:41:00Z,39.00,64.00
2026-03-05T10:42:00Z,39.00,64.00
2026-03-05T10:44:00Z,39.00,62.00
2026-03-05T10:45:00Z,40.00,62.00
2026-03-05T10:46:00Z,40.00,63.00
2026-03-05T10:47:00Z,44.02,58.00
2026-03-05T10:48:00Z,46.00,56.00
2026-03-05T10:49:00Z,46.00,56.92
2026-03-05T10:50:00Z,44.39,58.00
2026-03-05T10:51:00Z,45.00,53.20
2026-03-05T10:52:00Z,50.00,52.00
2026-03-05T10:53:00Z,56.06,43.62
2026-03-05T10:54:00Z,58.70,38.18
2026-03-05T10:55:00Z,58.42,43.00
2026-03-05T10:57:00Z,56.00,43.67
2026-03-05T10:58:00Z,50.09,46.24
2026-03-05T11:00:00Z,43.00,58.00
2026-03-05T11:01:00Z,47.77,53.28
2026-03-05T11:02:00Z,51.00,49.80
2026-03-05T11:03:00Z,57.25,44.15
2026-03-05T11:04:00Z,59.72,41.00
2026-03-05T11:05:00Z,65.08,41.00
2026-03-05T11:06:00Z,68.99,33.38
2026-03-05T11:07:00Z,67.00,32.00
2026-03-05T11:08:00Z,70.93,29.73
2026-03-05T11:09:00Z,71.94,28.19
2026-03-05T11:10:00Z,70.58,28.19
2026-03-05T11:11:00Z,73.00,29.59
2026-03-05T11:12:00Z,73.00,35.00
2026-03-05T11:13:00Z,71.84,28.75
2026-03-05T11:14:00Z,75.73,25.00
2026-03-05T11:15:00Z,76.49,25.00
2026-03-05T11:16:00Z,78.52,23.00
2026-03-05T11:17:00Z,77.15,23.00
2026-03-05T11:18:00Z,76.00,25.27
2026-03-05T11:19:00Z,74.02,26.00
2026-03-05T11:20:00Z,74.02,27.00
2026-03-05T11:21:00Z,73.00,27.00
2026-03-05T11:22:00Z,73.00,26.97
2026-03-05T11:23:00Z,73.00,26.19
2026-03-05T11:24:00Z,74.00,27.00
2026-03-05T11:25:00Z,72.89,29.00
2026-03-05T11:26:00Z,70.69,31.00
2026-03-05T11:27:00Z,70.69,30.04
2026-03-05T11:28:00Z,70.04,31.05
2026-03-05T11:29:00Z,66.00,34.00
2026-03-05T11:30:00Z,67.00,35.00
2026-03-05T11:31:00Z,66.00,34.30
2026-03-05T11:32:00Z,68.46,32.85
2026-03-05T11:33:00Z,67.68,33.30
2026-03-05T11:34:00Z,69.00,31.00
2026-03-05T11:35:00Z,69.52,31.00
2026-03-05T11:36:00Z,72.00,28.00
2026-03-05T11:37:00Z,73.00,28.92
2026-03-05T11:38:00Z,72.78,31.22
2026-03-05T11:39:00Z,72.78,28.00
2026-03-05T11:40:00Z,73.05,25.86
2026-03-05T11:41:00Z,81.78,20.11
2026-03-05T11:42:00Z,83.18,16.72
2026-03-05T11:43:00Z,83.52,16.09
2026-03-05T11:44:00Z,80.95,21.65
2026-03-05T11:45:00Z,74.00,27.74
2026-03-05T11:46:00Z,67.90,30.06
2026-03-05T11:47:00Z,68.98,31.62
2026-03-05T11:48:00Z,74.97,24.08
2026-03-05T11:49:00Z,69.14,29.03
2026-03-05T11:50:00Z,67.00,35.00
2026-03-05T11:51:00Z,67.00,34.12
2026-03-05T11:52:00Z,70.09,29.94
2026-03-05T11:53:00Z,74.00,26.64
2026-03-05T11:54:00Z,76.01,27.68
2026-03-05T11:55:00Z,68.85,32.10
2026-03-05T11:56:00Z,67.00,35.00
2026-03-05T11:57:00Z,65.47,34.33
2026-03-05T11:58:00Z,62.00,42.10
2026-03-05T11:59:00Z,60.02,44.31
2026-03-05T12:00:00Z,63.00,38.00
2026-03-05T12:01:00Z,69.05,29.25
2026-03-05T12:02:00Z,75.31,24.78
2026-03-05T12:03:00Z,80.67,19.37
2026-03-05T12:04:00Z,74.82,32.96
2026-03-05T12:05:00Z,72.95,28.96
2026-03-05T12:06:00Z,76.39,17.50
2026-03-05T12:07:00Z,86.00,14.94
2026-03-05T12:08:00Z,84.96,14.30
2026-03-05T12:09:00Z,87.45,16.17
2026-03-05T12:10:00Z,92.87,7.57
2026-03-05T12:11:00Z,93.67,6.26
2026-03-05T12:12:00Z,95.37,4.78
2026-03-05T12:13:00Z,98.71,2.18
2026-03-05T12:14:00Z,97.00,1.53
2026-03-05T12:15:00Z,95.31,5.39
2026-03-05T12:16:00Z,98.97,1.00
