# event_ticker=KXATPCHALLENGERMATCH-26MAY04HEMDOU
# final_score=7-6(3) 6-3
# score_resolution=7-6 6-3
# match_winner=Calvin Hemery
# fav_player=Calvin Hemery
# dog_player=Aziz Dougaz
# kalshi_date=2026-05-04
timestamp,Calvin Hemery,Aziz Dougaz
2026-05-04T07:02:00Z,84.00,
2026-05-04T08:46:00Z,84.00,42.00
2026-05-04T08:47:00Z,84.00,38.80
2026-05-04T11:37:00Z,82.00,34.60
2026-05-04T11:44:00Z,82.00,39.00
2026-05-04T11:58:00Z,67.00,39.00
2026-05-04T13:33:00Z,67.00,39.00
2026-05-04T14:28:00Z,73.00,39.00
2026-05-04T14:35:00Z,68.00,39.00
2026-05-04T14:36:00Z,67.00,39.00
2026-05-04T14:44:00Z,66.00,39.00
2026-05-04T14:58:00Z,66.00,39.00
2026-05-04T15:03:00Z,66.00,39.00
2026-05-04T16:43:00Z,66.00,39.00
2026-05-04T16:53:00Z,67.00,39.00
2026-05-04T17:13:00Z,68.00,39.00
2026-05-04T17:15:00Z,67.00,39.00
2026-05-04T17:16:00Z,67.00,38.00
2026-05-04T17:17:00Z,67.00,38.00
2026-05-04T17:19:00Z,67.00,38.00
2026-05-04T17:22:00Z,65.00,38.00
2026-05-04T17:26:00Z,65.15,38.00
2026-05-04T17:27:00Z,67.00,38.00
2026-05-04T17:28:00Z,67.00,38.00
2026-05-04T17:30:00Z,68.00,38.00
2026-05-04T17:32:00Z,68.00,33.00
2026-05-04T17:33:00Z,68.00,34.00
2026-05-04T17:34:00Z,64.00,35.00
2026-05-04T17:35:00Z,58.68,36.00
2026-05-04T17:36:00Z,57.29,40.19
2026-05-04T17:37:00Z,67.24,42.00
2026-05-04T17:38:00Z,65.00,43.01
2026-05-04T17:39:00Z,66.18,43.01
2026-05-04T17:40:00Z,68.00,45.00
2026-05-04T17:41:00Z,67.00,45.00
2026-05-04T17:42:00Z,66.00,45.40
2026-05-04T17:43:00Z,61.82,38.18
2026-05-04T17:44:00Z,64.00,38.41
2026-05-04T17:45:00Z,63.94,38.64
2026-05-04T17:46:00Z,63.27,39.00
2026-05-04T17:47:00Z,62.75,38.91
2026-05-04T17:48:00Z,61.00,40.24
2026-05-04T17:49:00Z,60.22,41.77
2026-05-04T17:50:00Z,60.22,41.00
2026-05-04T17:51:00Z,60.01,40.94
2026-05-04T17:52:00Z,62.10,40.29
2026-05-04T17:53:00Z,59.41,41.02
2026-05-04T17:54:00Z,60.94,42.02
2026-05-04T17:55:00Z,60.42,41.00
2026-05-04T17:56:00Z,61.92,39.31
2026-05-04T17:57:00Z,58.64,41.00
2026-05-04T17:58:00Z,58.60,42.38
2026-05-04T17:59:00Z,59.00,42.00
2026-05-04T18:00:00Z,59.00,42.00
2026-05-04T18:01:00Z,58.64,44.58
2026-05-04T18:02:00Z,60.43,42.00
2026-05-04T18:03:00Z,62.20,38.08
2026-05-04T18:04:00Z,62.86,38.00
2026-05-04T18:05:00Z,63.00,39.67
2026-05-04T18:06:00Z,59.00,40.58
2026-05-04T18:07:00Z,58.72,43.97
2026-05-04T18:08:00Z,58.89,43.00
2026-05-04T18:09:00Z,59.04,42.00
2026-05-04T18:10:00Z,58.00,45.51
2026-05-04T18:11:00Z,59.15,48.47
2026-05-04T18:12:00Z,46.27,54.35
2026-05-04T18:13:00Z,53.85,51.94
2026-05-04T18:14:00Z,53.99,47.09
2026-05-04T18:15:00Z,56.22,43.01
