# event_ticker=KXATPMATCH-26APR24NAKBLO
# final_score=3-6 6-3 6-4
# score_resolution=6-3 3-6 4-6
# match_winner=Alexander Blockx
# fav_player=Brandon Nakashima
# dog_player=Alexander Blockx
# kalshi_date=2026-04-24
timestamp,Brandon Nakashima,Alexander Blockx
2026-04-25T00:56:00Z,45.00,57.00
2026-04-25T00:57:00Z,43.00,57.00
2026-04-25T01:09:00Z,43.00,57.00
2026-04-25T01:25:00Z,45.00,57.00
2026-04-25T01:26:00Z,45.00,57.00
2026-04-25T01:27:00Z,45.00,57.00
2026-04-25T01:35:00Z,45.00,57.00
2026-04-25T01:40:00Z,45.00,57.00
2026-04-25T01:44:00Z,45.00,56.00
2026-04-25T01:55:00Z,45.00,57.00
2026-04-25T01:57:00Z,45.00,57.00
2026-04-25T01:58:00Z,45.00,56.00
2026-04-25T02:03:00Z,45.00,57.94
2026-04-25T02:04:00Z,45.00,58.00
2026-04-25T02:18:00Z,44.00,58.00
2026-04-25T02:22:00Z,43.00,58.00
2026-04-25T02:28:00Z,41.00,58.00
2026-04-25T02:44:00Z,41.00,59.00
2026-04-25T03:00:00Z,42.00,59.00
2026-04-25T03:06:00Z,42.00,59.00
2026-04-25T03:07:00Z,42.00,59.00
2026-04-25T03:11:00Z,42.00,59.00
2026-04-25T03:15:00Z,42.00,59.00
2026-04-25T03:16:00Z,42.00,59.00
2026-04-25T03:21:00Z,42.00,59.00
2026-04-25T03:27:00Z,42.00,59.00
2026-04-25T03:30:00Z,42.00,59.00
2026-04-25T03:36:00Z,42.00,59.00
2026-04-25T03:40:00Z,42.00,59.00
2026-04-25T03:48:00Z,42.00,59.00
2026-04-25T03:50:00Z,42.00,59.00
2026-04-25T03:55:00Z,42.00,59.00
2026-04-25T03:57:00Z,42.00,59.00
2026-04-25T04:05:00Z,42.00,59.00
2026-04-25T04:17:00Z,42.00,59.00
2026-04-25T04:20:00Z,42.00,59.00
2026-04-25T04:26:00Z,42.00,59.00
2026-04-25T04:27:00Z,42.00,59.00
2026-04-25T04:29:00Z,42.00,59.00
2026-04-25T04:30:00Z,42.00,59.00
2026-04-25T04:31:00Z,42.00,59.00
