# event_ticker=KXATPMATCH-25JUL21OPECAS
# final_score=7-6(4) 6-7(5) 6-3
# score_resolution=6-7 7-6 3-6
# match_winner=Reilly Opelka
# fav_player=Murphy Cassone
# dog_player=Reilly Opelka
# kalshi_date=2025-07-21
timestamp,Murphy Cassone,Reilly Opelka
2025-07-21T12:01:00Z,,74.00
2025-07-21T12:13:00Z,,72.00
2025-07-21T12:16:00Z,30.00,63.00
2025-07-21T12:17:00Z,30.00,72.00
2025-07-21T14:54:00Z,30.00,72.00
2025-07-21T14:55:00Z,30.00,72.00
2025-07-21T15:34:00Z,30.00,71.00
2025-07-21T17:12:00Z,30.00,71.88
2025-07-21T17:23:00Z,30.00,73.00
2025-07-21T17:27:00Z,30.00,73.00
2025-07-21T17:50:00Z,30.00,73.00
2025-07-21T18:27:00Z,30.00,73.00
2025-07-21T18:41:00Z,30.00,71.00
2025-07-21T19:00:00Z,30.00,71.00
2025-07-21T19:04:00Z,30.00,71.00
2025-07-21T19:07:00Z,30.00,71.00
2025-07-21T19:08:00Z,29.00,73.16
2025-07-21T19:09:00Z,29.00,74.00
2025-07-21T19:10:00Z,29.00,74.00
2025-07-21T19:11:00Z,33.00,74.41
2025-07-21T19:13:00Z,31.95,74.41
2025-07-21T19:14:00Z,27.51,73.22
2025-07-21T19:15:00Z,23.00,79.00
2025-07-21T19:16:00Z,23.00,75.15
2025-07-21T19:17:00Z,23.00,72.94
2025-07-21T19:18:00Z,31.85,64.00
2025-07-21T19:20:00Z,29.96,68.66
2025-07-21T19:21:00Z,29.96,74.00
2025-07-21T19:22:00Z,28.00,75.00
2025-07-21T19:23:00Z,25.00,75.00
2025-07-21T19:25:00Z,31.47,72.00
2025-07-21T19:26:00Z,30.00,72.00
2025-07-21T19:27:00Z,30.00,75.00
2025-07-21T19:30:00Z,29.00,71.00
2025-07-21T19:31:00Z,30.00,71.00
2025-07-21T19:32:00Z,30.00,79.37
2025-07-21T19:33:00Z,28.00,74.00
2025-07-21T19:34:00Z,28.80,74.00
2025-07-21T19:35:00Z,28.80,70.00
2025-07-21T19:36:00Z,28.80,69.00
2025-07-21T19:37:00Z,28.80,70.99
2025-07-21T19:38:00Z,34.52,67.00
2025-07-21T19:39:00Z,38.36,64.59
2025-07-21T19:40:00Z,38.36,67.07
2025-07-21T19:41:00Z,35.00,68.00
2025-07-21T19:42:00Z,35.00,68.00
2025-07-21T19:43:00Z,38.00,65.00
2025-07-21T19:44:00Z,37.00,66.00
2025-07-21T19:45:00Z,36.00,67.00
2025-07-21T19:46:00Z,34.00,69.00
2025-07-21T19:47:00Z,14.97,69.00
2025-07-21T19:48:00Z,33.00,69.00
