# event_ticker=KXATPCHALLENGERMATCH-26MAY05ENGSAI
# final_score=6-7(2) 6-2 6-2
# score_resolution=7-6 2-6 2-6
# match_winner=Nikolas Sanchez Izquierdo
# fav_player=Justin Engel
# dog_player=Nikolas Sanchez Izquierdo
# kalshi_date=2026-05-05
timestamp,Justin Engel,Nikolas Sanchez Izquierdo
2026-05-05T10:44:00Z,,61.00
2026-05-05T11:56:00Z,42.00,60.00
2026-05-05T13:16:00Z,41.00,60.00
2026-05-05T13:31:00Z,41.00,60.00
2026-05-05T13:46:00Z,41.00,62.00
2026-05-05T13:51:00Z,41.00,62.00
2026-05-05T14:00:00Z,41.00,62.00
2026-05-05T14:21:00Z,41.00,62.00
2026-05-05T14:22:00Z,41.00,62.00
2026-05-05T14:24:00Z,41.00,62.00
2026-05-05T14:47:00Z,41.00,62.00
2026-05-05T14:48:00Z,39.00,62.00
2026-05-05T14:51:00Z,39.00,62.00
2026-05-05T15:05:00Z,39.00,62.00
2026-05-05T15:12:00Z,39.00,62.00
2026-05-05T15:20:00Z,40.00,62.00
2026-05-05T15:29:00Z,40.00,62.00
2026-05-05T15:37:00Z,40.00,62.00
2026-05-05T15:55:00Z,40.00,62.00
2026-05-05T15:56:00Z,41.00,62.00
2026-05-05T15:57:00Z,41.00,62.00
2026-05-05T15:58:00Z,41.00,62.00
2026-05-05T16:02:00Z,41.00,62.00
2026-05-05T16:05:00Z,41.00,62.00
2026-05-05T16:09:00Z,41.00,62.00
2026-05-05T16:18:00Z,41.00,62.00
2026-05-05T16:24:00Z,40.00,62.00
2026-05-05T16:25:00Z,40.00,62.00
2026-05-05T16:26:00Z,40.00,62.00
2026-05-05T16:27:00Z,37.75,62.00
2026-05-05T16:28:00Z,39.71,61.84
2026-05-05T16:29:00Z,40.40,60.62
2026-05-05T16:30:00Z,33.30,66.87
2026-05-05T16:31:00Z,31.19,70.99
2026-05-05T16:32:00Z,34.03,69.00
2026-05-05T16:33:00Z,35.00,66.72
2026-05-05T16:34:00Z,32.60,70.00
2026-05-05T16:35:00Z,28.00,72.00
2026-05-05T16:36:00Z,28.00,74.00
2026-05-05T16:37:00Z,29.54,73.00
2026-05-05T16:38:00Z,23.69,74.27
2026-05-05T16:39:00Z,27.97,76.00
2026-05-05T16:40:00Z,29.00,72.00
2026-05-05T16:41:00Z,29.00,72.00
2026-05-05T16:42:00Z,29.00,75.82
2026-05-05T16:43:00Z,24.00,77.00
2026-05-05T16:44:00Z,24.88,77.00
2026-05-05T16:45:00Z,21.23,79.00
2026-05-05T16:46:00Z,22.19,79.00
2026-05-05T16:47:00Z,25.04,75.00
2026-05-05T16:48:00Z,25.00,75.00
2026-05-05T16:49:00Z,23.00,77.00
2026-05-05T16:50:00Z,24.30,77.97
2026-05-05T16:51:00Z,23.00,78.51
2026-05-05T16:52:00Z,23.36,77.00
2026-05-05T16:53:00Z,23.86,77.75
2026-05-05T16:54:00Z,25.00,75.97
2026-05-05T16:55:00Z,25.00,76.00
2026-05-05T16:56:00Z,24.00,78.00
2026-05-05T16:57:00Z,20.00,80.70
2026-05-05T16:58:00Z,20.00,81.00
2026-05-05T16:59:00Z,21.00,80.26
2026-05-05T17:00:00Z,21.00,80.21
2026-05-05T17:01:00Z,20.11,80.00
2026-05-05T17:02:00Z,20.39,80.00
