# event_ticker=KXATPCHALLENGERMATCH-26MAR30CECROM
# final_score=7-5 6-1
# score_resolution=5-7 1-6
# match_winner=Marco Cecchinato
# fav_player=Filippo Romano
# dog_player=Marco Cecchinato
# kalshi_date=2026-03-30
timestamp,Filippo Romano,Marco Cecchinato
2026-03-30T02:01:00Z,,77.00
2026-03-30T02:08:00Z,22.00,77.00
2026-03-30T02:52:00Z,21.00,77.00
2026-03-30T03:07:00Z,21.00,79.00
2026-03-30T03:38:00Z,21.00,79.00
2026-03-30T03:41:00Z,21.00,79.00
2026-03-30T04:51:00Z,21.00,78.00
2026-03-30T05:23:00Z,21.00,80.00
2026-03-30T05:34:00Z,21.00,80.00
2026-03-30T05:42:00Z,21.00,80.00
2026-03-30T05:59:00Z,21.00,80.00
2026-03-30T06:46:00Z,21.00,80.00
2026-03-30T07:05:00Z,22.00,80.00
2026-03-30T07:17:00Z,22.00,80.00
2026-03-30T07:50:00Z,22.00,80.00
2026-03-30T08:01:00Z,22.00,80.00
2026-03-30T09:41:00Z,21.00,80.00
2026-03-30T09:44:00Z,21.00,80.00
2026-03-30T09:57:00Z,21.00,80.00
2026-03-30T10:01:00Z,21.00,81.00
2026-03-30T10:38:00Z,21.00,81.00
2026-03-30T11:08:00Z,21.00,81.00
2026-03-30T11:14:00Z,21.00,81.00
2026-03-30T11:30:00Z,21.00,81.00
2026-03-30T11:47:00Z,21.00,81.00
2026-03-30T11:50:00Z,21.00,81.00
2026-03-30T11:58:00Z,21.00,81.00
2026-03-30T11:59:00Z,21.00,81.00
2026-03-30T12:02:00Z,21.00,81.19
2026-03-30T12:04:00Z,19.64,81.19
2026-03-30T12:05:00Z,19.88,82.86
2026-03-30T12:06:00Z,20.73,80.00
2026-03-30T12:07:00Z,18.85,80.00
2026-03-30T12:08:00Z,17.00,82.99
2026-03-30T12:09:00Z,19.30,80.00
2026-03-30T12:10:00Z,19.30,81.00
2026-03-30T12:11:00Z,20.59,79.78
2026-03-30T12:12:00Z,24.00,76.76
2026-03-30T12:13:00Z,22.00,77.00
2026-03-30T12:14:00Z,22.91,76.88
2026-03-30T12:15:00Z,23.85,76.99
2026-03-30T12:16:00Z,21.00,78.00
2026-03-30T12:17:00Z,21.00,80.00
2026-03-30T12:18:00Z,18.00,81.00
2026-03-30T12:19:00Z,17.87,82.00
2026-03-30T12:20:00Z,15.96,86.90
2026-03-30T12:21:00Z,10.47,86.90
2026-03-30T12:22:00Z,9.60,91.87
2026-03-30T12:24:00Z,10.97,91.87
2026-03-30T12:25:00Z,11.25,89.00
2026-03-30T12:26:00Z,11.25,90.00
2026-03-30T12:27:00Z,9.00,93.00
2026-03-30T12:28:00Z,10.09,93.00
2026-03-30T12:29:00Z,12.92,87.00
2026-03-30T12:30:00Z,12.87,89.92
2026-03-30T12:31:00Z,13.00,88.98
2026-03-30T12:32:00Z,15.00,88.98
2026-03-30T12:33:00Z,13.00,86.09
2026-03-30T12:34:00Z,18.04,81.05
2026-03-30T12:35:00Z,22.78,78.45
2026-03-30T12:36:00Z,20.00,79.33
2026-03-30T12:37:00Z,22.89,73.11
2026-03-30T12:38:00Z,28.70,69.37
2026-03-30T12:39:00Z,33.60,67.92
2026-03-30T12:40:00Z,41.61,63.41
2026-03-30T12:41:00Z,35.74,65.86
2026-03-30T12:42:00Z,35.18,65.66
2026-03-30T12:43:00Z,43.22,57.79
2026-03-30T12:44:00Z,49.93,50.00
2026-03-30T12:45:00Z,46.43,56.53
2026-03-30T12:46:00Z,46.43,67.90
2026-03-30T12:47:00Z,35.00,65.99
2026-03-30T12:48:00Z,29.10,72.12
2026-03-30T12:49:00Z,29.10,76.00
2026-03-30T12:50:00Z,25.99,76.00
2026-03-30T12:51:00Z,23.53,76.91
2026-03-30T12:52:00Z,21.20,77.97
2026-03-30T12:53:00Z,23.68,77.97
2026-03-30T12:54:00Z,24.00,74.94
2026-03-30T12:55:00Z,22.35,73.00
2026-03-30T12:56:00Z,17.08,86.53
2026-03-30T12:57:00Z,11.25,90.09
2026-03-30T12:58:00Z,10.57,89.50
2026-03-30T12:59:00Z,13.45,88.72
2026-03-30T13:00:00Z,15.06,85.00
2026-03-30T13:01:00Z,16.58,83.77
2026-03-30T13:02:00Z,12.73,85.90
2026-03-30T13:03:00Z,17.82,85.00
2026-03-30T13:04:00Z,22.52,78.97
2026-03-30T13:05:00Z,21.16,79.33
2026-03-30T13:06:00Z,11.19,86.04
2026-03-30T13:07:00Z,12.36,88.03
2026-03-30T13:08:00Z,14.18,87.23
2026-03-30T13:09:00Z,12.23,89.00
2026-03-30T13:10:00Z,9.86,90.00
2026-03-30T13:11:00Z,9.14,90.00
2026-03-30T13:12:00Z,7.41,92.87
2026-03-30T13:13:00Z,8.00,93.96
2026-03-30T13:14:00Z,7.46,92.31
2026-03-30T13:15:00Z,3.74,96.51
2026-03-30T13:16:00Z,4.71,97.00
2026-03-30T13:17:00Z,4.55,93.89
2026-03-30T13:18:00Z,2.86,98.98
2026-03-30T13:19:00Z,1.17,99.00
2026-03-30T13:20:00Z,1.00,99.00
2026-03-30T13:22:00Z,1.00,99.00
2026-03-30T13:23:00Z,1.00,99.00
2026-03-30T13:26:00Z,1.00,99.00
2026-03-30T13:30:00Z,1.00,99.00
