# event_ticker=KXATPCHALLENGERMATCH-26MAY07MILYUN
# final_score=6-4 6-3
# match_winner=Yunchaokete Bu
# fav_player=Yunchaokete Bu
# dog_player=Ognjen Milic
# kalshi_date=2026-05-07
timestamp,Ognjen Milic,Yunchaokete Bu
2026-05-07T00:32:00Z,20.00,
2026-05-07T00:59:00Z,20.00,81.00
2026-05-07T01:05:00Z,20.00,82.69
2026-05-07T01:19:00Z,20.00,82.69
2026-05-07T01:49:00Z,20.00,82.00
2026-05-07T02:14:00Z,20.00,83.00
2026-05-07T02:32:00Z,20.00,83.00
2026-05-07T02:37:00Z,19.00,83.00
2026-05-07T02:59:00Z,19.00,83.00
2026-05-07T03:21:00Z,19.00,83.00
2026-05-07T04:52:00Z,18.00,83.00
2026-05-07T05:16:00Z,19.00,83.00
2026-05-07T05:21:00Z,19.00,83.00
2026-05-07T05:23:00Z,19.00,83.00
2026-05-07T05:31:00Z,19.00,83.00
2026-05-07T05:39:00Z,19.00,83.00
2026-05-07T06:15:00Z,18.00,83.00
2026-05-07T06:16:00Z,18.00,83.00
2026-05-07T06:18:00Z,18.00,83.00
2026-05-07T06:28:00Z,18.00,83.00
2026-05-07T06:32:00Z,18.00,83.00
2026-05-07T06:36:00Z,18.00,83.00
2026-05-07T06:37:00Z,18.00,83.00
2026-05-07T06:39:00Z,18.00,83.00
2026-05-07T06:40:00Z,18.00,83.00
2026-05-07T06:48:00Z,18.00,83.00
2026-05-07T06:49:00Z,18.00,84.00
2026-05-07T06:50:00Z,18.00,84.00
2026-05-07T07:00:00Z,18.00,84.00
2026-05-07T09:01:00Z,4.81,95.53
2026-05-07T09:02:00Z,4.81,97.00
2026-05-07T09:03:00Z,3.82,97.00
2026-05-07T09:04:00Z,4.00,97.00
2026-05-07T09:05:00Z,2.60,97.00
2026-05-07T09:06:00Z,2.67,98.00
2026-05-07T09:07:00Z,2.00,98.00
2026-05-07T09:08:00Z,3.00,98.00
2026-05-07T09:09:00Z,2.97,97.64
2026-05-07T09:10:00Z,3.00,97.64
2026-05-07T09:11:00Z,3.00,97.00
2026-05-07T09:12:00Z,2.14,98.95
2026-05-07T09:13:00Z,3.00,99.00
2026-05-07T09:14:00Z,3.00,98.00
2026-05-07T09:15:00Z,3.00,98.00
2026-05-07T09:17:00Z,3.09,98.00
2026-05-07T09:18:00Z,2.77,99.00
2026-05-07T09:19:00Z,1.00,99.00
2026-05-07T09:20:00Z,1.00,99.00
