# event_ticker=KXATPCHALLENGERMATCH-26MAY29NEUBER
# final_score=6-4 7-6(3)
# score_resolution=6-4 7-6
# match_winner=Lukas Neumayer
# fav_player=Lukas Neumayer
# dog_player=Remy Bertola
# kalshi_date=2026-05-29
timestamp,Lukas Neumayer,Remy Bertola
2026-05-28T21:49:00Z,81.00,
2026-05-28T23:42:00Z,81.00,19.50
2026-05-29T00:06:00Z,81.00,21.00
2026-05-29T00:20:00Z,81.00,21.00
2026-05-29T00:37:00Z,81.00,21.00
2026-05-29T01:25:00Z,81.00,21.00
2026-05-29T02:49:00Z,81.00,21.00
2026-05-29T04:01:00Z,81.00,21.00
2026-05-29T04:04:00Z,81.00,21.00
2026-05-29T04:25:00Z,81.00,21.00
2026-05-29T05:04:00Z,81.00,18.00
2026-05-29T05:14:00Z,81.00,18.00
2026-05-29T05:22:00Z,81.00,20.00
2026-05-29T05:35:00Z,81.00,20.00
2026-05-29T05:41:00Z,81.00,20.00
2026-05-29T05:59:00Z,81.00,20.00
2026-05-29T06:33:00Z,81.00,20.00
2026-05-29T06:42:00Z,81.00,20.00
2026-05-29T06:47:00Z,81.00,20.00
2026-05-29T07:14:00Z,82.00,20.00
2026-05-29T07:33:00Z,82.00,20.00
2026-05-29T07:35:00Z,82.00,20.00
2026-05-29T07:42:00Z,82.00,20.00
2026-05-29T07:44:00Z,82.00,20.00
2026-05-29T08:11:00Z,82.00,20.00
2026-05-29T08:30:00Z,79.00,20.00
2026-05-29T08:50:00Z,79.00,20.00
2026-05-29T08:52:00Z,81.00,20.00
2026-05-29T08:59:00Z,81.00,20.00
2026-05-29T09:04:00Z,81.00,21.99
2026-05-29T09:09:00Z,81.00,22.00
2026-05-29T09:11:00Z,81.00,19.00
2026-05-29T09:12:00Z,78.00,24.00
2026-05-29T09:13:00Z,75.00,25.00
2026-05-29T09:14:00Z,77.00,23.22
2026-05-29T09:15:00Z,79.00,21.00
2026-05-29T09:16:00Z,79.00,21.50
2026-05-29T09:17:00Z,79.00,23.78
2026-05-29T09:18:00Z,77.00,23.78
2026-05-29T09:19:00Z,83.26,20.82
2026-05-29T09:20:00Z,83.26,20.00
2026-05-29T09:21:00Z,83.26,18.07
2026-05-29T09:22:00Z,83.26,18.00
2026-05-29T09:23:00Z,82.00,20.86
2026-05-29T09:24:00Z,85.70,20.86
2026-05-29T09:26:00Z,85.70,13.00
2026-05-29T09:27:00Z,87.00,13.00
2026-05-29T09:29:00Z,88.63,12.00
2026-05-29T09:30:00Z,87.88,13.00
2026-05-29T09:31:00Z,87.00,13.00
2026-05-29T09:32:00Z,87.03,12.00
2026-05-29T09:33:00Z,88.00,11.00
2026-05-29T09:34:00Z,88.00,10.00
