# event_ticker=KXATPMATCH-26MAY08ALTZVE
# final_score=7-5 6-3
# score_resolution=5-7 3-6
# match_winner=Alexander Zverev
# fav_player=Daniel Altmaier
# dog_player=Alexander Zverev
# kalshi_date=2026-05-08
timestamp,Daniel Altmaier,Alexander Zverev
2026-05-08T02:08:00Z,9.00,92.00
2026-05-08T02:09:00Z,9.00,92.00
2026-05-08T02:11:00Z,9.00,92.00
2026-05-08T02:13:00Z,8.00,92.00
2026-05-08T02:14:00Z,8.00,91.03
2026-05-08T02:16:00Z,9.00,91.00
2026-05-08T02:17:00Z,10.00,91.00
2026-05-08T02:23:00Z,10.00,92.00
2026-05-08T02:28:00Z,10.00,92.00
2026-05-08T02:33:00Z,10.00,92.00
2026-05-08T02:46:00Z,10.00,90.14
2026-05-08T02:54:00Z,10.00,91.00
2026-05-08T03:09:00Z,10.00,91.00
2026-05-08T03:14:00Z,10.00,91.00
2026-05-08T03:18:00Z,10.00,91.00
2026-05-08T03:27:00Z,10.00,91.00
2026-05-08T03:29:00Z,10.00,91.00
2026-05-08T03:31:00Z,10.00,91.00
2026-05-08T03:34:00Z,10.00,91.00
2026-05-08T03:36:00Z,10.00,91.00
2026-05-08T03:40:00Z,9.00,91.00
2026-05-08T03:43:00Z,10.00,91.00
2026-05-08T03:45:00Z,10.00,91.00
2026-05-08T03:50:00Z,10.00,91.00
2026-05-08T04:03:00Z,10.00,91.00
2026-05-08T04:05:00Z,10.00,91.00
2026-05-08T04:06:00Z,10.00,91.00
2026-05-08T04:11:00Z,10.00,91.00
2026-05-08T04:14:00Z,10.00,91.00
2026-05-08T04:18:00Z,10.00,91.00
2026-05-08T04:20:00Z,10.00,91.00
2026-05-08T04:21:00Z,10.00,91.00
2026-05-08T04:22:00Z,10.00,91.00
2026-05-08T04:23:00Z,10.00,91.00
2026-05-08T04:24:00Z,10.00,91.00
2026-05-08T04:25:00Z,10.00,91.00
2026-05-08T04:28:00Z,10.00,91.00
2026-05-08T04:30:00Z,10.00,91.00
2026-05-08T04:31:00Z,10.00,91.00
2026-05-08T04:38:00Z,10.00,91.00
2026-05-08T04:39:00Z,10.00,91.00
