# event_ticker=KXATPMATCH-26APR02SAKMAR
# final_score=7-6(3) 7-5
# score_resolution=7-6 7-5
# match_winner=Fabian Marozsan
# fav_player=Fabian Marozsan
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-04-02
timestamp,Fabian Marozsan,Stefanos Sakellaridis
2026-04-02T21:41:00Z,70.76,29.92
2026-04-02T21:42:00Z,70.00,29.00
2026-04-02T21:43:00Z,70.99,29.73
2026-04-02T21:44:00Z,70.27,29.94
2026-04-02T21:45:00Z,70.78,29.00
2026-04-02T21:46:00Z,71.00,29.42
2026-04-02T21:47:00Z,71.00,29.50
2026-04-02T21:48:00Z,71.00,30.00
2026-04-02T21:49:00Z,70.03,29.20
2026-04-02T21:50:00Z,70.24,29.88
2026-04-02T21:51:00Z,70.87,29.74
2026-04-02T21:52:00Z,70.87,29.90
2026-04-02T21:53:00Z,70.25,29.00
2026-04-02T21:54:00Z,71.00,29.37
2026-04-02T21:55:00Z,70.33,29.00
2026-04-02T21:56:00Z,70.55,28.67
2026-04-02T21:57:00Z,70.15,30.00
2026-04-02T21:58:00Z,70.26,29.00
2026-04-02T21:59:00Z,70.18,29.00
2026-04-02T22:00:00Z,69.46,29.02
2026-04-02T22:01:00Z,70.33,29.35
2026-04-02T22:02:00Z,70.34,29.00
2026-04-02T22:03:00Z,71.00,30.00
2026-04-02T22:04:00Z,70.00,30.00
2026-04-02T22:05:00Z,71.00,29.10
2026-04-02T22:06:00Z,70.00,30.00
2026-04-02T22:07:00Z,70.03,29.00
2026-04-02T22:08:00Z,70.05,29.69
2026-04-02T22:09:00Z,71.85,29.50
2026-04-02T22:10:00Z,72.00,29.17
2026-04-02T22:11:00Z,71.74,29.56
2026-04-02T22:12:00Z,70.00,29.91
2026-04-02T22:13:00Z,70.26,29.91
2026-04-02T22:14:00Z,71.18,29.09
2026-04-02T22:15:00Z,70.00,29.00
2026-04-02T22:16:00Z,72.00,29.09
2026-04-02T22:17:00Z,72.00,29.09
2026-04-02T22:18:00Z,72.00,30.00
2026-04-02T22:19:00Z,70.00,30.00
2026-04-02T22:20:00Z,72.00,29.00
2026-04-02T22:21:00Z,71.12,29.91
2026-04-02T22:22:00Z,71.12,29.36
2026-04-02T22:23:00Z,71.12,29.53
2026-04-02T22:24:00Z,72.00,29.97
2026-04-02T22:25:00Z,70.59,29.00
2026-04-02T22:26:00Z,71.00,29.00
2026-04-02T22:27:00Z,70.55,29.38
2026-04-02T22:28:00Z,70.04,30.00
2026-04-02T22:29:00Z,70.04,29.40
2026-04-02T22:30:00Z,70.14,29.71
2026-04-02T22:31:00Z,70.67,30.00
2026-04-02T22:32:00Z,70.00,30.00
2026-04-02T22:33:00Z,70.00,29.00
2026-04-02T22:34:00Z,70.36,28.00
2026-04-02T22:35:00Z,72.00,30.00
2026-04-02T22:36:00Z,71.26,30.00
2026-04-02T22:37:00Z,72.00,30.00
2026-04-02T22:38:00Z,72.00,30.00
2026-04-02T22:39:00Z,71.80,29.23
2026-04-02T22:40:00Z,72.00,30.00
2026-04-02T22:41:00Z,71.05,28.44
2026-04-02T22:42:00Z,70.80,29.00
2026-04-02T22:43:00Z,71.00,28.00
2026-04-02T22:44:00Z,72.00,28.31
2026-04-02T22:45:00Z,72.00,28.00
2026-04-02T22:46:00Z,71.00,29.00
2026-04-02T22:47:00Z,71.48,29.00
2026-04-02T22:48:00Z,72.00,28.00
2026-04-02T22:49:00Z,72.00,28.34
2026-04-02T22:50:00Z,71.80,28.06
2026-04-02T22:51:00Z,72.00,28.00
2026-04-02T22:52:00Z,71.36,28.00
2026-04-02T22:53:00Z,70.91,28.00
2026-04-02T22:54:00Z,71.17,29.00
2026-04-02T22:55:00Z,71.39,29.00
2026-04-02T22:56:00Z,71.00,29.00
2026-04-02T22:57:00Z,71.23,28.94
2026-04-02T22:58:00Z,72.00,28.01
2026-04-02T22:59:00Z,72.00,28.00
2026-04-02T23:00:00Z,72.00,28.00
2026-04-02T23:01:00Z,71.14,28.82
2026-04-02T23:03:00Z,71.33,27.08
2026-04-02T23:04:00Z,71.25,27.08
