# event_ticker=KXATPMATCH-26MAY11TIAPEL
# final_score=7-6(8) 6-1
# score_resolution=7-6 6-1
# match_winner=Andrea Pellegrino
# fav_player=Andrea Pellegrino
# dog_player=Frances Tiafoe
# kalshi_date=2026-05-11
timestamp,Frances Tiafoe,Andrea Pellegrino
2026-05-10T23:35:00Z,70.00,
2026-05-10T23:56:00Z,70.00,31.00
2026-05-10T23:57:00Z,70.00,31.00
2026-05-11T00:00:00Z,70.00,31.00
2026-05-11T00:03:00Z,70.00,31.00
2026-05-11T00:04:00Z,70.00,31.00
2026-05-11T00:11:00Z,70.00,31.00
2026-05-11T00:14:00Z,70.00,31.00
2026-05-11T00:25:00Z,70.00,31.00
2026-05-11T00:27:00Z,70.00,31.00
2026-05-11T00:29:00Z,70.00,31.00
2026-05-11T00:32:00Z,70.00,31.00
2026-05-11T00:34:00Z,70.00,31.00
2026-05-11T00:39:00Z,70.00,31.00
2026-05-11T00:44:00Z,70.00,31.00
2026-05-11T00:55:00Z,70.00,31.00
2026-05-11T01:00:00Z,70.00,31.00
2026-05-11T01:06:00Z,70.00,31.00
2026-05-11T01:10:00Z,70.00,31.00
2026-05-11T01:11:00Z,70.00,31.00
2026-05-11T01:14:00Z,70.00,31.00
2026-05-11T01:17:00Z,70.00,31.00
2026-05-11T01:21:00Z,70.00,31.00
2026-05-11T01:22:00Z,70.00,31.00
2026-05-11T01:23:00Z,70.00,31.00
2026-05-11T01:29:00Z,70.00,31.00
2026-05-11T01:50:00Z,70.00,31.00
2026-05-11T01:59:00Z,70.00,31.00
2026-05-11T02:01:00Z,70.00,31.00
2026-05-11T02:05:00Z,70.00,31.00
2026-05-11T02:08:00Z,70.00,31.00
2026-05-11T02:11:00Z,70.00,31.00
2026-05-11T02:12:00Z,70.00,31.00
2026-05-11T02:13:00Z,70.00,31.00
2026-05-11T02:15:00Z,70.00,31.00
2026-05-11T02:19:00Z,70.00,31.00
2026-05-11T02:20:00Z,70.00,31.00
2026-05-11T02:21:00Z,70.00,31.00
2026-05-11T02:22:00Z,70.00,31.00
2026-05-11T02:23:00Z,70.00,31.00
2026-05-11T02:24:00Z,70.00,31.00
2026-05-11T02:28:00Z,70.00,31.00
2026-05-11T02:30:00Z,70.00,31.00
2026-05-11T02:31:00Z,70.00,31.00
2026-05-11T02:32:00Z,70.00,31.00
2026-05-11T02:33:00Z,70.00,31.00
2026-05-11T02:34:00Z,70.00,31.00
2026-05-11T02:35:00Z,70.00,31.00
2026-05-11T02:37:00Z,70.00,31.00
2026-05-11T02:38:00Z,70.00,31.00
2026-05-11T02:41:00Z,70.00,31.00
2026-05-11T02:42:00Z,70.00,31.00
2026-05-11T02:45:00Z,70.00,31.00
2026-05-11T02:46:00Z,70.00,31.00
2026-05-11T02:47:00Z,70.00,31.00
2026-05-11T02:48:00Z,70.00,31.00
2026-05-11T02:51:00Z,70.00,31.00
2026-05-11T02:52:00Z,70.00,31.00
2026-05-11T02:55:00Z,70.00,31.00
2026-05-11T02:57:00Z,70.00,31.00
2026-05-11T03:01:00Z,70.00,31.00
2026-05-11T03:02:00Z,70.00,31.00
2026-05-11T03:04:00Z,70.00,31.00
2026-05-11T03:06:00Z,70.00,31.00
2026-05-11T03:11:00Z,70.00,31.00
2026-05-11T03:12:00Z,70.00,31.00
2026-05-11T03:15:00Z,69.00,31.00
2026-05-11T03:16:00Z,69.00,31.00
2026-05-11T03:18:00Z,70.00,31.00
2026-05-11T03:21:00Z,70.00,31.00
