# event_ticker=KXATPCHALLENGERMATCH-26MAY05SMIYUN
# final_score=6-4 7-5
# score_resolution=4-6 5-7
# match_winner=Yunchaokete Bu
# fav_player=Keegan Smith
# dog_player=Yunchaokete Bu
# kalshi_date=2026-05-05
timestamp,Keegan Smith,Yunchaokete Bu
2026-05-04T21:30:00Z,24.00,
2026-05-04T21:37:00Z,24.00,
2026-05-04T21:52:00Z,24.00,77.00
2026-05-04T23:29:00Z,24.00,77.00
2026-05-04T23:34:00Z,24.00,77.00
2026-05-05T00:20:00Z,24.00,77.00
2026-05-05T00:35:00Z,24.00,77.00
2026-05-05T01:02:00Z,24.00,77.00
2026-05-05T01:16:00Z,24.00,77.00
2026-05-05T02:11:00Z,24.00,77.00
2026-05-05T02:30:00Z,24.00,77.00
2026-05-05T03:05:00Z,24.00,77.00
2026-05-05T03:17:00Z,23.00,77.00
2026-05-05T03:26:00Z,24.00,77.00
2026-05-05T03:33:00Z,24.00,77.00
2026-05-05T04:35:00Z,24.00,76.00
2026-05-05T04:38:00Z,24.00,76.20
2026-05-05T04:44:00Z,24.00,76.00
2026-05-05T04:50:00Z,24.00,76.03
2026-05-05T04:52:00Z,24.00,76.03
2026-05-05T04:54:00Z,24.00,77.00
2026-05-05T04:59:00Z,24.00,77.00
2026-05-05T05:04:00Z,24.00,77.00
2026-05-05T05:07:00Z,24.00,77.00
2026-05-05T05:18:00Z,24.00,77.00
2026-05-05T05:35:00Z,24.00,77.00
2026-05-05T05:50:00Z,23.50,77.00
2026-05-05T05:52:00Z,24.00,77.00
2026-05-05T06:09:00Z,24.00,77.00
2026-05-05T06:11:00Z,24.00,77.00
2026-05-05T06:20:00Z,24.00,77.34
2026-05-05T06:29:00Z,24.00,77.34
2026-05-05T06:33:00Z,24.00,77.00
2026-05-05T06:40:00Z,25.00,77.00
2026-05-05T06:46:00Z,24.00,77.00
2026-05-05T06:53:00Z,25.00,77.00
2026-05-05T06:54:00Z,25.00,78.00
2026-05-05T06:56:00Z,25.00,78.00
2026-05-05T06:57:00Z,25.00,78.00
2026-05-05T06:59:00Z,23.00,78.00
2026-05-05T07:07:00Z,23.00,78.00
2026-05-05T07:08:00Z,23.00,78.00
2026-05-05T07:11:00Z,23.00,78.00
2026-05-05T07:24:00Z,23.00,78.00
2026-05-05T07:41:00Z,23.00,79.00
2026-05-05T07:44:00Z,23.00,79.00
2026-05-05T08:01:00Z,23.00,79.00
2026-05-05T08:04:00Z,23.00,79.00
2026-05-05T08:06:00Z,23.00,79.00
2026-05-05T08:07:00Z,23.00,79.00
2026-05-05T08:08:00Z,23.00,79.00
2026-05-05T08:12:00Z,23.00,79.00
2026-05-05T08:14:00Z,23.00,79.00
2026-05-05T08:15:00Z,23.00,79.00
