# event_ticker=KXATPCHALLENGERMATCH-26APR27DHABEL
# final_score=7-5 4-6 7-6(8)
# score_resolution=7-5 4-6 7-6
# match_winner=Manas Dhamne
# fav_player=Manas Dhamne
# dog_player=Nikita Belozertsev
# kalshi_date=2026-04-27
timestamp,Manas Dhamne,Nikita Belozertsev
2026-04-27T02:34:00Z,,36.00
2026-04-27T05:12:00Z,66.00,36.00
2026-04-27T05:38:00Z,66.00,34.00
2026-04-27T06:15:00Z,66.00,34.00
2026-04-27T06:52:00Z,66.00,35.00
2026-04-27T06:59:00Z,66.00,34.00
2026-04-27T07:34:00Z,66.61,34.00
2026-04-27T09:51:00Z,66.61,33.00
2026-04-27T10:37:00Z,66.61,32.00
2026-04-27T10:49:00Z,66.61,32.98
2026-04-27T10:54:00Z,71.00,30.00
2026-04-27T10:55:00Z,71.00,33.65
2026-04-27T10:56:00Z,65.78,34.64
2026-04-27T10:57:00Z,65.00,35.00
2026-04-27T10:58:00Z,62.60,37.07
2026-04-27T10:59:00Z,59.77,38.68
2026-04-27T11:00:00Z,56.43,44.91
2026-04-27T11:01:00Z,56.43,51.00
2026-04-27T11:02:00Z,59.00,51.00
2026-04-27T11:03:00Z,53.00,49.70
2026-04-27T11:05:00Z,48.02,51.90
2026-04-27T11:06:00Z,49.00,55.71
2026-04-27T11:07:00Z,49.00,57.00
2026-04-27T11:08:00Z,43.00,57.00
2026-04-27T11:09:00Z,43.00,57.33
2026-04-27T11:10:00Z,33.55,63.31
2026-04-27T11:11:00Z,33.55,67.00
2026-04-27T11:12:00Z,34.00,63.66
2026-04-27T11:13:00Z,34.00,67.90
2026-04-27T11:14:00Z,34.00,71.00
2026-04-27T11:15:00Z,35.00,70.00
2026-04-27T11:16:00Z,36.02,67.00
2026-04-27T11:17:00Z,36.79,64.00
2026-04-27T11:18:00Z,36.79,62.00
2026-04-27T11:19:00Z,39.00,63.00
2026-04-27T11:20:00Z,39.83,60.00
2026-04-27T11:21:00Z,39.83,62.82
2026-04-27T11:22:00Z,37.71,62.82
2026-04-27T11:23:00Z,37.71,61.64
