# event_ticker=KXATPCHALLENGERMATCH-26MAR03GULMRV
# final_score=4-6 7-6(6) 6-1
# score_resolution=4-6 7-6 6-1
# match_winner=Maxim Mrva
# fav_player=Maxim Mrva
# dog_player=Svyatoslav Gulin
# kalshi_date=2026-03-03
timestamp,Maxim Mrva,Svyatoslav Gulin
2026-03-03T14:04:00Z,27.59,69.35
2026-03-03T14:05:00Z,32.33,71.49
2026-03-03T14:06:00Z,28.94,71.29
2026-03-03T14:07:00Z,32.93,70.01
2026-03-03T14:08:00Z,29.14,73.47
2026-03-03T14:09:00Z,12.40,87.00
2026-03-03T14:10:00Z,12.41,88.79
2026-03-03T14:11:00Z,16.87,85.02
2026-03-03T14:12:00Z,8.85,87.60
2026-03-03T14:13:00Z,9.16,91.80
2026-03-03T14:14:00Z,7.59,91.84
2026-03-03T14:15:00Z,13.01,86.01
2026-03-03T14:16:00Z,8.36,88.82
2026-03-03T14:17:00Z,11.40,92.43
2026-03-03T14:18:00Z,16.13,89.32
2026-03-03T14:19:00Z,15.77,84.94
2026-03-03T14:20:00Z,10.00,93.29
2026-03-03T14:21:00Z,6.83,93.62
2026-03-03T14:22:00Z,11.12,92.67
2026-03-03T14:23:00Z,11.00,90.82
2026-03-03T14:24:00Z,8.26,91.55
2026-03-03T14:25:00Z,3.52,96.53
2026-03-03T14:26:00Z,9.35,90.36
2026-03-03T14:27:00Z,20.86,79.64
2026-03-03T14:28:00Z,35.54,62.69
2026-03-03T14:29:00Z,40.99,58.60
2026-03-03T14:30:00Z,25.36,76.75
2026-03-03T14:31:00Z,9.62,89.74
2026-03-03T14:32:00Z,12.78,89.15
2026-03-03T14:33:00Z,14.02,89.60
2026-03-03T14:34:00Z,13.23,90.63
2026-03-03T14:35:00Z,19.47,82.96
2026-03-03T14:36:00Z,39.47,65.99
2026-03-03T14:37:00Z,45.16,54.95
2026-03-03T14:38:00Z,57.66,39.42
2026-03-03T14:39:00Z,56.52,46.52
2026-03-03T14:40:00Z,51.04,50.39
2026-03-03T14:41:00Z,42.66,62.45
2026-03-03T14:42:00Z,43.97,60.11
2026-03-03T14:43:00Z,36.71,68.08
2026-03-03T14:44:00Z,44.05,59.40
2026-03-03T14:45:00Z,32.48,65.60
2026-03-03T14:46:00Z,39.30,65.53
2026-03-03T14:47:00Z,54.35,44.77
2026-03-03T14:48:00Z,53.75,43.60
2026-03-03T14:49:00Z,54.31,45.01
2026-03-03T14:50:00Z,55.66,47.00
2026-03-03T14:51:00Z,55.77,47.00
2026-03-03T14:52:00Z,59.14,46.70
2026-03-03T14:53:00Z,67.44,30.40
2026-03-03T14:54:00Z,73.53,24.05
2026-03-03T14:55:00Z,77.09,21.72
2026-03-03T14:56:00Z,78.62,23.05
2026-03-03T14:57:00Z,79.64,21.50
2026-03-03T14:58:00Z,63.28,31.15
2026-03-03T14:59:00Z,75.46,21.99
2026-03-03T15:00:00Z,82.35,18.03
2026-03-03T15:01:00Z,79.02,14.51
2026-03-03T15:02:00Z,76.65,25.11
2026-03-03T15:03:00Z,74.39,26.85
2026-03-03T15:04:00Z,81.78,22.31
2026-03-03T15:05:00Z,85.54,18.34
2026-03-03T15:06:00Z,90.22,11.61
2026-03-03T15:07:00Z,92.49,8.53
2026-03-03T15:08:00Z,95.78,3.76
2026-03-03T15:09:00Z,94.77,3.67
2026-03-03T15:10:00Z,96.77,3.43
2026-03-03T15:11:00Z,98.13,1.10
2026-03-03T15:12:00Z,96.57,3.60
2026-03-03T15:13:00Z,97.93,2.13
2026-03-03T15:14:00Z,99.00,2.27
2026-03-03T15:15:00Z,99.00,2.27
2026-03-03T15:16:00Z,99.00,1.00
2026-03-03T15:17:00Z,99.00,1.00
