# event_ticker=KXATPMATCH-25JUL21DROGAR
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Titouan Droguet
# fav_player=Cristian Garin
# dog_player=Titouan Droguet
# kalshi_date=2025-07-21
timestamp,Cristian Garin,Titouan Droguet
2025-07-21T05:00:00Z,60.00,44.00
2025-07-21T05:21:00Z,64.00,44.00
2025-07-21T05:26:00Z,64.00,44.00
2025-07-21T05:41:00Z,64.00,44.00
2025-07-21T05:43:00Z,64.00,44.00
2025-07-21T05:56:00Z,64.00,44.00
2025-07-21T06:12:00Z,64.00,44.00
2025-07-21T06:16:00Z,60.00,46.33
2025-07-21T06:20:00Z,64.00,46.33
2025-07-21T06:36:00Z,64.00,46.33
2025-07-21T06:55:00Z,64.00,46.33
2025-07-21T06:57:00Z,68.82,46.33
2025-07-21T07:00:00Z,70.00,46.33
2025-07-21T12:01:00Z,61.00,46.33
2025-07-21T12:06:00Z,61.00,46.33
2025-07-21T12:53:00Z,61.00,46.33
2025-07-21T12:55:00Z,59.00,46.33
2025-07-21T13:19:00Z,58.00,46.33
2025-07-21T14:09:00Z,59.41,46.33
2025-07-21T14:33:00Z,58.00,46.33
2025-07-21T15:21:00Z,58.00,42.00
2025-07-21T16:20:00Z,57.00,42.00
2025-07-21T16:36:00Z,57.00,43.00
2025-07-21T16:43:00Z,59.00,43.00
2025-07-21T16:49:00Z,59.00,43.00
2025-07-21T16:51:00Z,59.00,43.00
2025-07-21T16:53:00Z,58.65,46.00
2025-07-21T16:56:00Z,54.61,45.00
2025-07-21T17:01:00Z,65.00,39.00
2025-07-21T17:02:00Z,61.90,39.00
2025-07-21T17:03:00Z,60.60,43.00
2025-07-21T17:04:00Z,60.60,50.21
2025-07-21T17:05:00Z,60.60,52.00
2025-07-21T17:07:00Z,44.82,52.00
2025-07-21T17:09:00Z,38.00,52.00
2025-07-21T17:10:00Z,37.37,63.00
2025-07-21T17:11:00Z,40.94,66.00
2025-07-21T17:12:00Z,41.00,66.00
2025-07-21T17:13:00Z,40.23,61.06
2025-07-21T17:14:00Z,40.23,56.03
2025-07-21T17:15:00Z,40.23,61.00
2025-07-21T17:16:00Z,32.93,67.13
2025-07-21T17:17:00Z,32.00,69.00
2025-07-21T17:18:00Z,33.31,69.00
2025-07-21T17:19:00Z,37.00,65.00
2025-07-21T17:21:00Z,40.00,60.00
2025-07-21T17:22:00Z,35.00,60.00
2025-07-21T17:23:00Z,38.19,62.00
2025-07-21T17:24:00Z,33.00,67.00
2025-07-21T17:25:00Z,33.00,65.50
2025-07-21T17:26:00Z,45.00,65.11
2025-07-21T17:27:00Z,45.00,71.60
2025-07-21T17:29:00Z,31.55,70.00
2025-07-21T17:30:00Z,31.29,70.24
2025-07-21T17:31:00Z,32.00,70.00
2025-07-21T17:32:00Z,30.00,69.00
2025-07-21T17:33:00Z,27.00,75.13
2025-07-21T17:34:00Z,27.00,81.46
2025-07-21T17:35:00Z,16.89,85.00
2025-07-21T17:36:00Z,13.07,85.00
2025-07-21T17:37:00Z,13.07,87.00
2025-07-21T17:38:00Z,14.02,85.00
2025-07-21T17:39:00Z,14.02,86.00
2025-07-21T17:40:00Z,15.99,86.21
2025-07-21T17:41:00Z,15.13,86.21
2025-07-21T17:42:00Z,14.03,87.98
2025-07-21T17:43:00Z,12.98,87.00
2025-07-21T17:44:00Z,15.00,85.47
2025-07-21T17:45:00Z,15.00,86.00
2025-07-21T17:46:00Z,15.00,86.00
2025-07-21T17:47:00Z,15.00,86.00
2025-07-21T17:48:00Z,15.00,86.91
2025-07-21T17:49:00Z,15.00,86.91
2025-07-21T17:50:00Z,14.00,86.91
2025-07-21T17:51:00Z,12.00,90.66
2025-07-21T17:52:00Z,9.00,91.42
2025-07-21T17:53:00Z,5.00,92.00
2025-07-21T17:54:00Z,5.00,88.00
2025-07-21T17:55:00Z,12.30,89.30
2025-07-21T17:56:00Z,12.30,89.15
2025-07-21T17:57:00Z,9.00,89.15
2025-07-21T17:58:00Z,7.58,94.44
2025-07-21T17:59:00Z,5.26,95.59
2025-07-21T18:00:00Z,5.26,96.81
2025-07-21T18:01:00Z,2.98,98.74
2025-07-21T18:02:00Z,2.63,97.32
2025-07-21T18:03:00Z,2.63,97.00
2025-07-21T18:04:00Z,1.24,99.00
2025-07-21T18:05:00Z,1.24,99.00
