# event_ticker=KXATPCHALLENGERMATCH-26APR22CADVAS
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Jacopo Vasami
# fav_player=Gianluca Cadenasso
# dog_player=Jacopo Vasami
# kalshi_date=2026-04-22
timestamp,Gianluca Cadenasso,Jacopo Vasami
2026-04-22T02:46:00Z,54.00,
2026-04-22T02:59:00Z,54.00,49.00
2026-04-22T03:25:00Z,54.00,49.00
2026-04-22T04:44:00Z,55.00,49.00
2026-04-22T04:46:00Z,56.00,49.00
2026-04-22T05:32:00Z,56.00,44.00
2026-04-22T06:10:00Z,56.00,46.19
2026-04-22T06:11:00Z,56.00,46.00
2026-04-22T06:33:00Z,56.00,46.51
2026-04-22T06:41:00Z,56.00,47.00
2026-04-22T06:51:00Z,54.00,47.00
2026-04-22T07:23:00Z,54.00,47.00
2026-04-22T07:31:00Z,54.00,47.00
2026-04-22T08:08:00Z,54.00,47.00
2026-04-22T08:25:00Z,54.00,47.00
2026-04-22T08:28:00Z,53.00,47.00
2026-04-22T08:30:00Z,53.00,47.00
2026-04-22T08:32:00Z,53.00,47.68
2026-04-22T08:46:00Z,53.00,48.00
2026-04-22T08:50:00Z,53.00,48.00
2026-04-22T09:04:00Z,53.00,48.99
2026-04-22T09:27:00Z,53.00,48.99
2026-04-22T09:46:00Z,53.00,49.00
2026-04-22T09:48:00Z,53.00,49.00
2026-04-22T10:32:00Z,53.00,49.00
2026-04-22T10:40:00Z,53.00,46.90
2026-04-22T10:51:00Z,53.00,48.00
2026-04-22T11:01:00Z,53.00,49.72
2026-04-22T11:21:00Z,54.00,49.72
2026-04-22T11:48:00Z,53.58,49.72
2026-04-22T11:49:00Z,53.58,48.00
2026-04-22T11:57:00Z,53.86,48.00
2026-04-22T11:59:00Z,53.69,48.00
2026-04-22T12:04:00Z,54.00,48.00
2026-04-22T12:10:00Z,54.00,48.00
2026-04-22T12:13:00Z,54.00,48.00
2026-04-22T12:16:00Z,54.00,47.00
2026-04-22T12:25:00Z,54.00,48.95
2026-04-22T12:29:00Z,54.00,48.95
2026-04-22T12:41:00Z,54.00,48.00
2026-04-22T12:53:00Z,54.00,48.88
2026-04-22T12:55:00Z,54.00,48.88
2026-04-22T12:56:00Z,54.00,48.88
2026-04-22T12:59:00Z,54.00,48.88
2026-04-22T13:00:00Z,54.00,47.00
2026-04-22T13:10:00Z,54.00,47.00
2026-04-22T13:11:00Z,54.00,47.00
2026-04-22T13:13:00Z,54.00,47.00
2026-04-22T13:19:00Z,54.00,47.00
2026-04-22T13:20:00Z,54.00,47.00
2026-04-22T13:22:00Z,54.00,47.00
2026-04-22T13:27:00Z,54.00,47.00
2026-04-22T13:28:00Z,53.00,47.00
2026-04-22T13:31:00Z,53.00,47.00
2026-04-22T13:33:00Z,54.00,47.00
2026-04-22T13:34:00Z,54.00,47.00
2026-04-22T13:37:00Z,54.00,47.00
2026-04-22T13:43:00Z,54.00,47.00
2026-04-22T13:44:00Z,54.00,48.58
2026-04-22T13:45:00Z,54.00,48.58
2026-04-22T13:49:00Z,53.05,48.58
2026-04-22T13:51:00Z,53.00,48.58
2026-04-22T13:56:00Z,53.00,48.00
2026-04-22T13:57:00Z,54.00,48.00
2026-04-22T14:03:00Z,54.00,48.00
2026-04-22T14:05:00Z,54.00,48.00
2026-04-22T14:06:00Z,54.00,48.00
2026-04-22T14:07:00Z,54.00,48.00
2026-04-22T14:10:00Z,54.00,48.00
2026-04-22T14:11:00Z,54.00,48.72
2026-04-22T14:12:00Z,54.00,48.72
2026-04-22T14:13:00Z,54.00,48.72
2026-04-22T14:14:00Z,54.00,48.72
2026-04-22T14:15:00Z,54.00,47.83
2026-04-22T14:16:00Z,53.00,47.01
2026-04-22T14:17:00Z,49.54,51.08
2026-04-22T14:18:00Z,51.06,49.11
2026-04-22T14:19:00Z,51.20,49.45
2026-04-22T14:20:00Z,52.63,49.97
2026-04-22T14:21:00Z,38.40,55.73
2026-04-22T14:22:00Z,40.41,63.00
