# event_ticker=KXATPCHALLENGERMATCH-26APR07HAYZHU
# final_score=6-1 6-4
# score_resolution=1-6 4-6
# match_winner=Beibit Zhukayev
# fav_player=Alejandro Hayen
# dog_player=Beibit Zhukayev
# kalshi_date=2026-04-07
timestamp,Alejandro Hayen,Beibit Zhukayev
2026-04-07T09:35:00Z,,80.00
2026-04-07T10:37:00Z,,83.00
2026-04-07T11:43:00Z,21.00,83.00
2026-04-07T12:24:00Z,21.00,83.00
2026-04-07T12:50:00Z,21.00,83.00
2026-04-07T14:11:00Z,21.00,82.00
2026-04-07T14:21:00Z,21.00,79.00
2026-04-07T15:43:00Z,21.00,79.00
2026-04-07T15:58:00Z,21.00,80.00
2026-04-07T16:12:00Z,21.00,80.00
2026-04-07T16:14:00Z,21.00,80.00
2026-04-07T16:27:00Z,20.00,80.00
2026-04-07T16:31:00Z,20.97,80.00
2026-04-07T16:34:00Z,20.97,80.00
2026-04-07T16:37:00Z,20.97,80.00
2026-04-07T16:38:00Z,20.97,81.00
2026-04-07T16:42:00Z,20.97,81.00
2026-04-07T16:51:00Z,20.97,81.00
2026-04-07T16:52:00Z,20.87,81.00
2026-04-07T16:53:00Z,20.87,82.00
2026-04-07T16:55:00Z,20.87,82.00
2026-04-07T16:59:00Z,21.00,82.00
2026-04-07T17:03:00Z,20.62,82.00
2026-04-07T17:08:00Z,20.14,82.00
2026-04-07T17:09:00Z,20.00,82.00
2026-04-07T17:10:00Z,20.00,82.00
2026-04-07T17:11:00Z,20.32,81.00
2026-04-07T17:12:00Z,20.32,82.57
2026-04-07T17:13:00Z,20.32,84.00
2026-04-07T17:15:00Z,15.00,84.33
2026-04-07T17:16:00Z,9.70,88.00
2026-04-07T17:18:00Z,6.16,94.00
2026-04-07T17:19:00Z,7.00,94.00
2026-04-07T17:20:00Z,7.00,94.00
2026-04-07T17:21:00Z,7.81,93.00
2026-04-07T17:22:00Z,7.98,93.00
2026-04-07T17:23:00Z,7.74,91.08
2026-04-07T17:24:00Z,9.71,91.13
2026-04-07T17:25:00Z,11.61,88.85
2026-04-07T17:26:00Z,13.22,87.83
2026-04-07T17:27:00Z,11.40,88.57
2026-04-07T17:28:00Z,8.67,90.30
2026-04-07T17:29:00Z,9.44,91.00
2026-04-07T17:30:00Z,8.00,93.00
2026-04-07T17:31:00Z,7.90,93.74
2026-04-07T17:32:00Z,5.00,94.98
2026-04-07T17:33:00Z,7.53,94.68
2026-04-07T17:34:00Z,8.24,93.00
2026-04-07T17:35:00Z,7.00,93.17
2026-04-07T17:36:00Z,6.40,95.00
2026-04-07T17:37:00Z,6.38,95.00
2026-04-07T17:38:00Z,5.38,95.15
2026-04-07T17:39:00Z,7.63,93.00
2026-04-07T17:40:00Z,5.61,96.68
2026-04-07T17:41:00Z,5.43,95.01
2026-04-07T17:42:00Z,7.93,93.63
2026-04-07T17:43:00Z,7.57,93.63
2026-04-07T17:44:00Z,7.74,93.98
2026-04-07T17:45:00Z,9.99,90.73
2026-04-07T17:46:00Z,13.60,88.33
2026-04-07T17:47:00Z,12.54,88.27
2026-04-07T17:48:00Z,16.95,84.00
2026-04-07T17:49:00Z,17.18,84.00
2026-04-07T17:50:00Z,18.09,83.49
2026-04-07T17:51:00Z,18.45,81.73
2026-04-07T17:52:00Z,14.27,85.47
2026-04-07T17:53:00Z,9.93,90.57
2026-04-07T17:54:00Z,10.49,91.00
2026-04-07T17:55:00Z,8.79,90.24
2026-04-07T17:56:00Z,9.36,92.50
2026-04-07T17:57:00Z,8.31,92.05
2026-04-07T17:58:00Z,7.41,92.37
2026-04-07T17:59:00Z,11.72,89.99
2026-04-07T18:00:00Z,12.04,89.00
2026-04-07T18:01:00Z,11.23,88.47
2026-04-07T18:02:00Z,10.66,89.50
2026-04-07T18:03:00Z,7.88,92.50
2026-04-07T18:04:00Z,5.26,95.26
2026-04-07T18:05:00Z,2.98,97.02
2026-04-07T18:06:00Z,2.98,97.89
2026-04-07T18:07:00Z,3.94,97.00
2026-04-07T18:08:00Z,1.79,97.79
2026-04-07T18:09:00Z,1.03,99.00
2026-04-07T18:10:00Z,1.01,99.00
2026-04-07T18:11:00Z,1.00,98.28
2026-04-07T18:12:00Z,1.00,98.98
2026-04-07T18:13:00Z,1.00,98.37
2026-04-07T18:14:00Z,2.32,97.95
2026-04-07T18:15:00Z,2.01,99.00
2026-04-07T18:16:00Z,1.34,99.00
2026-04-07T18:17:00Z,1.34,99.00
2026-04-07T18:18:00Z,1.34,99.00
2026-04-07T18:20:00Z,1.34,99.00
