# event_ticker=KXATPCHALLENGERMATCH-26MAY05RAPSCH
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Max Schoenhaus
# fav_player=Daniele Rapagnetta
# dog_player=Max Schoenhaus
# kalshi_date=2026-05-05
timestamp,Daniele Rapagnetta,Max Schoenhaus
2026-05-05T02:18:00Z,31.00,
2026-05-05T04:03:00Z,29.00,71.00
2026-05-05T04:35:00Z,29.00,71.00
2026-05-05T05:09:00Z,29.00,71.00
2026-05-05T05:35:00Z,29.00,67.00
2026-05-05T06:12:00Z,33.00,67.00
2026-05-05T10:46:00Z,33.00,67.00
2026-05-05T10:48:00Z,33.00,67.00
2026-05-05T10:49:00Z,35.98,67.00
2026-05-05T10:53:00Z,35.98,72.24
2026-05-05T10:54:00Z,35.98,72.43
2026-05-05T10:55:00Z,35.98,72.82
2026-05-05T10:57:00Z,34.00,72.82
2026-05-05T10:58:00Z,34.00,67.00
2026-05-05T10:59:00Z,31.00,67.00
2026-05-05T11:00:00Z,31.00,67.00
2026-05-05T11:01:00Z,27.00,67.00
2026-05-05T11:02:00Z,27.00,69.00
2026-05-05T11:03:00Z,27.00,69.83
2026-05-05T11:04:00Z,27.00,69.26
2026-05-05T11:05:00Z,27.00,68.00
2026-05-05T11:06:00Z,30.00,71.00
2026-05-05T11:07:00Z,32.33,69.00
2026-05-05T11:08:00Z,36.00,65.41
2026-05-05T11:09:00Z,36.00,69.00
2026-05-05T11:10:00Z,30.00,71.02
2026-05-05T11:11:00Z,30.00,75.51
2026-05-05T11:12:00Z,23.00,76.88
2026-05-05T11:13:00Z,30.00,76.88
2026-05-05T11:14:00Z,30.00,69.00
2026-05-05T11:15:00Z,27.00,73.00
2026-05-05T11:16:00Z,29.00,72.11
2026-05-05T11:17:00Z,19.02,81.11
2026-05-05T11:18:00Z,17.00,84.00
2026-05-05T11:19:00Z,14.00,86.38
2026-05-05T11:20:00Z,14.00,86.00
2026-05-05T11:21:00Z,16.00,86.00
2026-05-05T11:22:00Z,13.00,86.00
2026-05-05T11:23:00Z,15.00,86.00
2026-05-05T11:24:00Z,15.00,86.00
2026-05-05T11:25:00Z,17.00,85.00
2026-05-05T11:26:00Z,12.00,86.44
2026-05-05T11:27:00Z,12.00,87.00
2026-05-05T11:28:00Z,14.00,88.00
2026-05-05T11:29:00Z,14.00,88.00
2026-05-05T11:30:00Z,13.00,87.18
2026-05-05T11:31:00Z,12.53,87.69
2026-05-05T11:32:00Z,15.00,86.64
2026-05-05T11:33:00Z,10.99,89.78
2026-05-05T11:34:00Z,17.00,84.91
2026-05-05T11:35:00Z,21.86,74.49
2026-05-05T11:36:00Z,23.00,83.06
2026-05-05T11:37:00Z,18.15,82.33
2026-05-05T11:38:00Z,18.15,79.00
2026-05-05T11:39:00Z,14.00,84.25
2026-05-05T11:40:00Z,15.83,84.00
2026-05-05T11:41:00Z,14.00,88.87
2026-05-05T11:42:00Z,14.00,85.00
2026-05-05T11:43:00Z,14.00,87.00
2026-05-05T11:44:00Z,4.46,90.91
2026-05-05T11:45:00Z,11.00,87.64
2026-05-05T11:46:00Z,15.98,83.69
2026-05-05T11:48:00Z,15.00,85.00
2026-05-05T11:49:00Z,14.00,85.00
2026-05-05T11:51:00Z,19.00,85.00
2026-05-05T11:52:00Z,19.67,80.37
2026-05-05T11:53:00Z,21.53,79.30
2026-05-05T11:54:00Z,21.53,84.96
2026-05-05T11:55:00Z,21.53,91.92
2026-05-05T11:56:00Z,4.88,91.92
2026-05-05T11:57:00Z,5.40,95.44
2026-05-05T11:58:00Z,8.00,91.92
2026-05-05T11:59:00Z,5.65,95.11
2026-05-05T12:00:00Z,2.20,98.39
2026-05-05T12:01:00Z,3.00,99.00
2026-05-05T12:02:00Z,1.07,99.00
2026-05-05T12:03:00Z,1.07,99.00
