# event_ticker=KXATPCHALLENGERMATCH-26APR06PERKOZ
# final_score=6-3 6-1
# score_resolution=3-6 1-6
# match_winner=Stefan Kozlov
# fav_player=Raphael Perot
# dog_player=Stefan Kozlov
# kalshi_date=2026-04-06
timestamp,Raphael Perot,Stefan Kozlov
2026-04-06T10:15:00Z,,56.00
2026-04-06T11:56:00Z,,61.00
2026-04-06T13:26:00Z,,61.00
2026-04-06T14:08:00Z,,58.00
2026-04-06T14:53:00Z,,58.00
2026-04-06T15:06:00Z,,61.00
2026-04-06T15:09:00Z,,61.00
2026-04-06T15:28:00Z,44.00,61.00
2026-04-06T15:33:00Z,39.03,61.00
2026-04-06T15:52:00Z,39.03,61.00
2026-04-06T16:17:00Z,39.03,61.00
2026-04-06T16:25:00Z,39.03,61.00
2026-04-06T16:26:00Z,42.00,61.00
2026-04-06T16:28:00Z,42.00,61.00
2026-04-06T16:29:00Z,42.00,61.00
2026-04-06T17:04:00Z,42.00,61.00
2026-04-06T17:09:00Z,42.00,61.00
2026-04-06T17:55:00Z,40.00,61.00
2026-04-06T19:03:00Z,40.00,61.00
2026-04-06T19:04:00Z,40.00,60.66
2026-04-06T19:06:00Z,40.00,61.00
2026-04-06T19:11:00Z,40.00,61.00
2026-04-06T19:13:00Z,40.00,61.00
2026-04-06T19:22:00Z,40.00,61.00
2026-04-06T19:41:00Z,40.00,61.00
2026-04-06T19:52:00Z,42.07,61.00
2026-04-06T20:02:00Z,42.07,59.00
2026-04-06T20:05:00Z,42.07,59.00
2026-04-06T20:16:00Z,42.07,59.00
2026-04-06T20:27:00Z,42.00,59.68
2026-04-06T20:30:00Z,42.00,60.00
2026-04-06T20:32:00Z,42.00,60.00
2026-04-06T20:38:00Z,42.00,60.00
2026-04-06T20:48:00Z,42.00,60.59
2026-04-06T20:51:00Z,40.00,60.97
2026-04-06T20:52:00Z,39.00,61.00
2026-04-06T20:54:00Z,39.00,60.00
2026-04-06T20:56:00Z,40.00,60.00
2026-04-06T20:58:00Z,40.00,60.00
2026-04-06T21:00:00Z,40.00,60.00
2026-04-06T21:01:00Z,40.00,60.00
2026-04-06T21:02:00Z,40.00,60.00
2026-04-06T21:05:00Z,40.00,61.11
2026-04-06T21:09:00Z,40.00,61.00
2026-04-06T21:11:00Z,40.00,60.00
2026-04-06T21:12:00Z,40.00,60.13
2026-04-06T21:13:00Z,40.00,61.00
2026-04-06T21:15:00Z,40.00,61.00
2026-04-06T21:18:00Z,40.00,61.00
2026-04-06T21:19:00Z,40.00,61.00
2026-04-06T21:20:00Z,40.00,61.00
2026-04-06T21:22:00Z,39.00,61.00
2026-04-06T21:24:00Z,39.00,61.00
2026-04-06T21:26:00Z,40.00,61.00
2026-04-06T21:28:00Z,40.00,61.00
2026-04-06T21:29:00Z,40.00,61.00
2026-04-06T21:30:00Z,40.00,61.00
2026-04-06T21:31:00Z,40.00,61.00
2026-04-06T21:33:00Z,40.00,61.00
2026-04-06T21:34:00Z,40.00,61.00
2026-04-06T21:35:00Z,40.00,61.00
2026-04-06T21:36:00Z,40.00,61.19
2026-04-06T21:41:00Z,40.00,61.00
2026-04-06T21:44:00Z,40.00,61.00
2026-04-06T21:45:00Z,40.00,61.00
2026-04-06T21:46:00Z,40.00,61.00
2026-04-06T21:47:00Z,40.00,61.00
2026-04-06T21:49:00Z,40.00,61.85
2026-04-06T21:54:00Z,40.00,61.85
2026-04-06T21:56:00Z,40.00,62.00
2026-04-06T21:57:00Z,39.42,62.00
2026-04-06T21:58:00Z,39.42,62.22
2026-04-06T21:59:00Z,39.42,61.65
2026-04-06T22:00:00Z,40.00,62.31
2026-04-06T22:01:00Z,40.00,62.65
