# event_ticker=KXATPMATCH-25OCT04DAVARN
# final_score=6-4 6-4
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Matteo Arnaldi
# kalshi_date=2025-10-04
timestamp,Alejandro Davidovich Fokina,Matteo Arnaldi
2025-10-03T21:30:00Z,,35.00
2025-10-03T21:45:00Z,66.00,35.00
2025-10-03T22:18:00Z,66.00,34.00
2025-10-03T22:19:00Z,66.00,34.00
2025-10-03T22:28:00Z,66.00,34.00
2025-10-03T22:43:00Z,66.00,34.00
2025-10-03T23:37:00Z,66.00,35.00
2025-10-04T00:14:00Z,66.00,34.00
2025-10-04T00:33:00Z,66.00,34.00
2025-10-04T00:36:00Z,66.00,34.00
2025-10-04T01:10:00Z,66.00,35.00
2025-10-04T01:11:00Z,66.00,35.00
2025-10-04T02:36:00Z,66.00,35.00
2025-10-04T02:42:00Z,66.00,35.00
2025-10-04T03:10:00Z,66.00,35.00
2025-10-04T03:22:00Z,66.00,35.00
2025-10-04T03:40:00Z,66.00,35.00
2025-10-04T04:10:00Z,66.00,35.00
2025-10-04T04:38:00Z,66.00,35.00
2025-10-04T04:45:00Z,66.00,35.00
2025-10-04T04:47:00Z,67.00,35.00
2025-10-04T04:53:00Z,67.00,35.00
2025-10-04T05:06:00Z,67.00,35.00
2025-10-04T05:09:00Z,67.00,35.00
2025-10-04T05:28:00Z,67.00,35.00
2025-10-04T05:36:00Z,67.00,35.00
2025-10-04T05:40:00Z,67.00,35.00
2025-10-04T05:42:00Z,67.00,35.00
2025-10-04T05:44:00Z,67.00,35.00
2025-10-04T05:46:00Z,67.00,35.00
2025-10-04T05:59:00Z,67.00,34.00
2025-10-04T06:02:00Z,67.00,34.00
2025-10-04T06:07:00Z,67.00,34.00
2025-10-04T06:11:00Z,67.00,34.00
2025-10-04T06:13:00Z,67.00,34.00
2025-10-04T06:15:00Z,67.00,34.00
2025-10-04T06:30:00Z,67.00,34.00
2025-10-04T06:32:00Z,67.00,34.00
2025-10-04T06:33:00Z,67.00,34.00
2025-10-04T06:34:00Z,67.00,34.00
2025-10-04T06:37:00Z,67.00,34.31
2025-10-04T06:38:00Z,67.00,35.00
2025-10-04T06:40:00Z,67.00,35.00
2025-10-04T06:44:00Z,67.00,35.00
2025-10-04T06:46:00Z,67.00,34.00
2025-10-04T06:56:00Z,67.00,34.00
2025-10-04T06:58:00Z,67.00,34.00
2025-10-04T07:03:00Z,67.00,34.00
2025-10-04T07:04:00Z,67.00,35.00
2025-10-04T07:05:00Z,67.00,35.00
2025-10-04T07:12:00Z,67.00,35.00
2025-10-04T07:15:00Z,67.00,35.00
2025-10-04T07:18:00Z,67.00,35.00
2025-10-04T07:23:00Z,67.00,33.00
2025-10-04T07:36:00Z,67.00,34.00
2025-10-04T07:47:00Z,68.00,34.00
2025-10-04T07:48:00Z,68.00,34.00
2025-10-04T07:50:00Z,68.00,34.00
2025-10-04T08:01:00Z,69.00,34.00
2025-10-04T08:04:00Z,69.36,34.00
2025-10-04T08:09:00Z,70.00,34.00
2025-10-04T08:10:00Z,67.00,34.00
2025-10-04T08:11:00Z,67.00,34.00
2025-10-04T08:12:00Z,69.00,34.00
2025-10-04T08:13:00Z,69.00,34.00
2025-10-04T08:14:00Z,69.00,34.00
2025-10-04T08:15:00Z,69.00,33.86
2025-10-04T08:16:00Z,69.00,34.00
2025-10-04T08:17:00Z,69.00,33.00
2025-10-04T08:18:00Z,69.00,34.00
2025-10-04T08:19:00Z,65.00,36.30
2025-10-04T08:20:00Z,65.00,36.00
2025-10-04T08:22:00Z,67.45,36.00
2025-10-04T08:23:00Z,67.74,34.00
2025-10-04T08:24:00Z,65.00,34.30
2025-10-04T08:25:00Z,69.00,32.16
2025-10-04T08:26:00Z,69.00,29.04
2025-10-04T08:27:00Z,69.00,33.00
2025-10-04T08:28:00Z,69.00,33.39
2025-10-04T08:29:00Z,69.00,38.00
2025-10-04T08:30:00Z,62.00,39.67
2025-10-04T08:31:00Z,60.75,40.87
2025-10-04T08:32:00Z,60.75,34.03
2025-10-04T08:33:00Z,68.00,32.00
2025-10-04T08:34:00Z,69.00,34.52
2025-10-04T08:35:00Z,67.00,33.00
2025-10-04T08:36:00Z,75.03,28.49
2025-10-04T08:37:00Z,78.46,21.00
2025-10-04T08:38:00Z,78.46,21.00
2025-10-04T08:39:00Z,79.97,21.83
2025-10-04T08:40:00Z,82.00,21.83
2025-10-04T08:41:00Z,81.98,20.00
2025-10-04T08:42:00Z,81.98,19.00
2025-10-04T08:43:00Z,83.00,19.00
2025-10-04T08:44:00Z,83.00,17.00
2025-10-04T08:45:00Z,83.00,18.00
2025-10-04T08:48:00Z,83.00,19.00
2025-10-04T08:50:00Z,86.00,17.00
2025-10-04T08:52:00Z,83.00,19.12
