# event_ticker=KXATPCHALLENGERMATCH-26MAY26ELLZIN
# final_score=6-4 5-7 6-3
# score_resolution=4-6 7-5 3-6
# match_winner=Tyler Zink
# fav_player=Blake Ellis
# dog_player=Tyler Zink
# kalshi_date=2026-05-26
timestamp,Blake Ellis,Tyler Zink
2026-05-26T04:48:00Z,44.00,
2026-05-26T06:05:00Z,40.00,
2026-05-26T11:48:00Z,40.00,64.00
2026-05-26T11:52:00Z,35.00,64.00
2026-05-26T12:04:00Z,35.00,64.60
2026-05-26T12:39:00Z,36.00,64.60
2026-05-26T13:00:00Z,36.00,65.00
2026-05-26T13:09:00Z,36.00,65.00
2026-05-26T13:10:00Z,36.00,65.00
2026-05-26T13:32:00Z,36.00,65.00
2026-05-26T13:49:00Z,36.00,65.00
2026-05-26T14:41:00Z,36.00,65.00
2026-05-26T14:56:00Z,36.00,65.00
2026-05-26T14:57:00Z,36.00,65.59
2026-05-26T14:58:00Z,37.00,65.59
2026-05-26T15:06:00Z,37.00,65.10
2026-05-26T15:07:00Z,33.03,65.10
2026-05-26T15:09:00Z,33.03,66.00
2026-05-26T15:13:00Z,33.03,66.00
2026-05-26T15:14:00Z,33.77,67.00
2026-05-26T15:16:00Z,30.00,70.00
2026-05-26T15:17:00Z,33.45,67.26
2026-05-26T15:19:00Z,41.80,58.94
2026-05-26T15:20:00Z,46.69,53.65
2026-05-26T15:21:00Z,39.32,57.49
2026-05-26T15:22:00Z,36.00,62.59
2026-05-26T15:23:00Z,36.00,65.00
2026-05-26T15:24:00Z,36.00,65.00
2026-05-26T15:25:00Z,37.44,63.00
2026-05-26T15:26:00Z,37.07,64.64
2026-05-26T15:28:00Z,35.80,65.00
2026-05-26T15:29:00Z,38.00,62.00
2026-05-26T15:30:00Z,37.00,63.00
2026-05-26T15:31:00Z,39.68,59.00
2026-05-26T15:32:00Z,45.57,55.96
2026-05-26T15:33:00Z,38.22,59.46
2026-05-26T15:34:00Z,35.00,65.00
2026-05-26T15:35:00Z,35.00,66.00
2026-05-26T15:36:00Z,36.89,64.99
2026-05-26T15:37:00Z,39.00,62.00
2026-05-26T15:38:00Z,39.00,61.00
2026-05-26T15:39:00Z,39.00,63.95
2026-05-26T15:40:00Z,35.00,65.00
2026-05-26T15:41:00Z,35.00,64.69
2026-05-26T15:42:00Z,35.00,65.00
2026-05-26T15:43:00Z,35.56,64.41
2026-05-26T15:44:00Z,38.87,63.01
2026-05-26T15:45:00Z,38.00,62.00
2026-05-26T15:46:00Z,42.02,58.37
