# event_ticker=KXATPCHALLENGERMATCH-26APR11BELPRI
# final_score=7-6(1) 6-4
# score_resolution=7-6 6-4
# match_winner=Dino Prizmic
# fav_player=Dino Prizmic
# dog_player=Mattia Bellucci
# kalshi_date=2026-04-11
timestamp,Dino Prizmic,Mattia Bellucci
2026-04-10T23:48:00Z,72.00,
2026-04-10T23:52:00Z,72.00,
2026-04-11T01:08:00Z,71.00,
2026-04-11T01:17:00Z,71.00,31.00
2026-04-11T01:46:00Z,71.00,31.00
2026-04-11T02:03:00Z,71.00,31.00
2026-04-11T02:13:00Z,71.00,31.00
2026-04-11T02:36:00Z,71.00,30.00
2026-04-11T03:07:00Z,71.00,30.00
2026-04-11T03:34:00Z,71.00,30.00
2026-04-11T03:39:00Z,71.00,30.00
2026-04-11T04:09:00Z,71.00,30.00
2026-04-11T04:13:00Z,71.00,30.00
2026-04-11T04:22:00Z,71.00,30.00
2026-04-11T04:28:00Z,71.00,30.00
2026-04-11T04:30:00Z,71.00,30.00
2026-04-11T04:31:00Z,71.00,30.00
2026-04-11T04:37:00Z,71.00,30.00
2026-04-11T04:42:00Z,70.00,30.00
2026-04-11T04:43:00Z,70.00,31.00
2026-04-11T04:44:00Z,70.00,31.00
2026-04-11T04:45:00Z,70.00,31.00
2026-04-11T04:59:00Z,70.00,31.00
2026-04-11T05:00:00Z,70.00,31.00
2026-04-11T05:01:00Z,70.00,31.00
2026-04-11T05:05:00Z,70.00,31.00
2026-04-11T05:06:00Z,70.00,31.00
2026-04-11T05:10:00Z,70.37,31.00
2026-04-11T05:16:00Z,71.00,31.00
2026-04-11T05:20:00Z,71.00,31.00
2026-04-11T05:21:00Z,71.00,31.00
2026-04-11T05:36:00Z,71.00,31.00
2026-04-11T05:48:00Z,70.00,31.00
2026-04-11T05:52:00Z,70.00,31.00
2026-04-11T06:25:00Z,70.00,30.00
2026-04-11T06:29:00Z,70.00,30.00
2026-04-11T06:38:00Z,70.00,31.00
2026-04-11T06:40:00Z,70.00,31.00
2026-04-11T07:23:00Z,71.00,31.00
2026-04-11T07:47:00Z,71.89,31.00
2026-04-11T07:48:00Z,72.00,31.00
2026-04-11T07:49:00Z,72.00,31.00
2026-04-11T07:52:00Z,72.00,31.00
2026-04-11T08:20:00Z,72.00,31.00
2026-04-11T08:29:00Z,72.00,31.00
2026-04-11T08:36:00Z,72.00,31.00
2026-04-11T08:42:00Z,72.00,31.00
2026-04-11T08:48:00Z,72.00,31.00
2026-04-11T08:51:00Z,72.00,30.00
2026-04-11T09:09:00Z,72.00,30.00
2026-04-11T09:24:00Z,72.00,31.00
2026-04-11T09:56:00Z,72.00,31.00
2026-04-11T09:58:00Z,72.00,31.00
2026-04-11T10:02:00Z,72.00,31.00
2026-04-11T10:09:00Z,72.00,31.00
2026-04-11T10:23:00Z,72.00,30.00
2026-04-11T10:31:00Z,72.00,30.00
2026-04-11T10:33:00Z,72.00,30.00
2026-04-11T10:34:00Z,72.00,30.00
2026-04-11T10:44:00Z,72.00,31.00
2026-04-11T10:46:00Z,72.00,29.00
2026-04-11T10:49:00Z,72.00,30.00
2026-04-11T10:50:00Z,72.00,30.00
2026-04-11T10:51:00Z,72.00,31.64
2026-04-11T10:52:00Z,71.25,31.00
2026-04-11T10:53:00Z,71.25,31.00
2026-04-11T10:54:00Z,72.00,31.00
2026-04-11T10:55:00Z,71.95,30.96
2026-04-11T10:56:00Z,70.00,31.40
2026-04-11T10:57:00Z,69.00,30.34
2026-04-11T10:58:00Z,72.50,29.00
2026-04-11T10:59:00Z,72.50,27.42
2026-04-11T11:00:00Z,73.73,27.47
2026-04-11T11:01:00Z,76.83,23.22
2026-04-11T11:02:00Z,79.95,25.64
2026-04-11T11:03:00Z,73.00,26.73
2026-04-11T11:04:00Z,70.84,31.24
2026-04-11T11:05:00Z,69.00,31.24
2026-04-11T11:06:00Z,70.00,31.17
2026-04-11T11:07:00Z,72.93,29.48
2026-04-11T11:08:00Z,70.00,28.59
2026-04-11T11:09:00Z,73.00,28.00
2026-04-11T11:10:00Z,73.00,28.17
2026-04-11T11:11:00Z,73.00,31.13
2026-04-11T11:12:00Z,68.00,33.02
2026-04-11T11:13:00Z,64.68,35.50
2026-04-11T11:14:00Z,62.97,37.79
2026-04-11T11:15:00Z,57.91,41.11
2026-04-11T11:16:00Z,60.20,46.95
2026-04-11T11:17:00Z,53.00,48.02
2026-04-11T11:18:00Z,51.00,49.19
2026-04-11T11:19:00Z,57.22,45.06
2026-04-11T11:20:00Z,61.44,45.06
2026-04-11T11:21:00Z,65.12,34.77
