# event_ticker=KXATPCHALLENGERMATCH-26APR11HEIBOS
# final_score=7-6(1) 6-2
# score_resolution=6-7 2-6
# match_winner=Gustavo Heide
# fav_player=Pedro Boscardin Dias
# dog_player=Gustavo Heide
# kalshi_date=2026-04-11
timestamp,Pedro Boscardin Dias,Gustavo Heide
2026-04-11T04:14:00Z,,75.00
2026-04-11T05:20:00Z,,74.00
2026-04-11T05:40:00Z,27.00,74.00
2026-04-11T05:41:00Z,27.00,74.00
2026-04-11T06:02:00Z,27.00,74.00
2026-04-11T06:14:00Z,27.00,74.00
2026-04-11T06:20:00Z,27.00,74.00
2026-04-11T06:41:00Z,27.00,74.00
2026-04-11T06:43:00Z,27.00,74.00
2026-04-11T07:28:00Z,27.00,73.45
2026-04-11T08:46:00Z,27.00,75.00
2026-04-11T09:03:00Z,27.00,75.00
2026-04-11T09:23:00Z,27.00,75.00
2026-04-11T10:20:00Z,27.00,75.00
2026-04-11T10:39:00Z,27.00,75.00
2026-04-11T11:04:00Z,27.00,75.00
2026-04-11T11:47:00Z,27.00,75.00
2026-04-11T11:53:00Z,27.00,75.00
2026-04-11T12:11:00Z,27.00,75.00
2026-04-11T12:18:00Z,27.00,75.00
2026-04-11T12:28:00Z,26.00,75.00
2026-04-11T12:44:00Z,26.00,76.00
2026-04-11T12:53:00Z,25.00,76.00
2026-04-11T12:56:00Z,25.00,76.00
2026-04-11T13:00:00Z,26.00,76.00
2026-04-11T13:05:00Z,26.00,76.00
2026-04-11T13:39:00Z,26.00,76.00
2026-04-11T13:49:00Z,24.98,76.00
2026-04-11T13:51:00Z,26.00,76.00
2026-04-11T13:57:00Z,26.00,76.00
2026-04-11T14:03:00Z,26.00,76.00
2026-04-11T14:18:00Z,26.00,76.00
2026-04-11T14:19:00Z,26.00,76.00
2026-04-11T14:23:00Z,26.00,76.00
2026-04-11T14:25:00Z,26.00,76.00
2026-04-11T14:33:00Z,26.00,76.00
2026-04-11T14:42:00Z,26.00,76.96
2026-04-11T14:49:00Z,26.00,76.96
2026-04-11T14:55:00Z,25.78,76.00
2026-04-11T14:58:00Z,25.78,77.00
2026-04-11T15:02:00Z,24.00,75.00
2026-04-11T15:05:00Z,24.00,76.00
2026-04-11T15:07:00Z,24.00,76.00
2026-04-11T15:09:00Z,24.00,76.00
2026-04-11T15:13:00Z,24.00,76.00
2026-04-11T15:17:00Z,24.00,76.53
2026-04-11T15:19:00Z,24.00,76.00
2026-04-11T15:20:00Z,26.00,76.00
2026-04-11T15:26:00Z,26.84,76.16
2026-04-11T15:27:00Z,26.00,76.16
2026-04-11T15:28:00Z,26.00,76.00
2026-04-11T15:29:00Z,26.00,76.59
2026-04-11T15:35:00Z,26.00,76.00
2026-04-11T15:37:00Z,26.00,76.00
2026-04-11T15:38:00Z,26.00,76.00
2026-04-11T15:41:00Z,26.00,76.00
2026-04-11T15:43:00Z,26.00,76.00
2026-04-11T15:44:00Z,26.00,76.00
2026-04-11T15:46:00Z,26.00,76.00
