# event_ticker=KXATPCHALLENGERMATCH-26MAR02TRUJOH
# final_score=6-4 4-6 6-4
# score_resolution=4-6 6-4 4-6
# match_winner=Marco Trungelliti
# fav_player=Garrett Johns
# dog_player=Marco Trungelliti
# kalshi_date=2026-03-02
timestamp,Garrett Johns,Marco Trungelliti
2026-03-02T03:37:00Z,19.00,
2026-03-02T04:48:00Z,19.00,82.00
2026-03-02T06:16:00Z,19.00,83.61
2026-03-02T06:33:00Z,19.00,83.61
2026-03-02T06:56:00Z,19.00,83.61
2026-03-02T07:28:00Z,19.00,83.61
2026-03-02T09:19:00Z,15.00,83.61
2026-03-02T09:33:00Z,15.00,85.00
2026-03-02T11:07:00Z,15.00,84.97
2026-03-02T11:17:00Z,15.00,85.00
2026-03-02T11:45:00Z,15.00,86.00
2026-03-02T11:46:00Z,15.00,86.00
2026-03-02T11:50:00Z,16.00,86.00
2026-03-02T11:53:00Z,15.20,86.00
2026-03-02T11:54:00Z,16.00,86.00
2026-03-02T11:57:00Z,16.00,86.00
2026-03-02T11:58:00Z,14.00,86.00
2026-03-02T11:59:00Z,13.93,87.00
2026-03-02T12:00:00Z,13.93,87.00
2026-03-02T12:01:00Z,14.13,87.00
2026-03-02T12:02:00Z,14.00,87.83
2026-03-02T12:03:00Z,13.10,89.00
2026-03-02T12:04:00Z,14.00,89.00
2026-03-02T12:05:00Z,13.16,87.45
2026-03-02T12:06:00Z,11.09,92.87
2026-03-02T12:07:00Z,10.34,90.65
2026-03-02T12:08:00Z,10.55,91.48
2026-03-02T12:09:00Z,11.88,91.48
2026-03-02T12:10:00Z,13.00,86.92
2026-03-02T12:12:00Z,16.00,85.91
2026-03-02T12:13:00Z,18.85,81.00
2026-03-02T12:14:00Z,21.31,79.10
2026-03-02T12:15:00Z,20.06,79.10
2026-03-02T12:16:00Z,22.00,83.14
2026-03-02T12:18:00Z,17.15,83.14
2026-03-02T12:20:00Z,17.15,86.17
2026-03-02T12:21:00Z,18.68,82.00
2026-03-02T12:22:00Z,19.46,82.93
2026-03-02T12:23:00Z,19.46,80.00
2026-03-02T12:24:00Z,16.99,80.79
2026-03-02T12:25:00Z,17.00,83.06
2026-03-02T12:26:00Z,17.00,84.13
2026-03-02T12:27:00Z,17.00,85.00
2026-03-02T12:28:00Z,19.88,85.00
2026-03-02T12:29:00Z,21.01,79.00
2026-03-02T12:30:00Z,21.01,81.33
2026-03-02T12:31:00Z,19.00,81.33
2026-03-02T12:32:00Z,19.00,81.00
2026-03-02T12:33:00Z,17.00,81.00
2026-03-02T12:34:00Z,10.00,90.00
2026-03-02T12:35:00Z,9.21,90.00
2026-03-02T12:36:00Z,9.21,91.00
2026-03-02T12:37:00Z,6.74,92.89
2026-03-02T12:38:00Z,6.74,94.00
2026-03-02T12:39:00Z,8.00,94.00
2026-03-02T12:40:00Z,8.00,94.00
2026-03-02T12:41:00Z,8.00,94.00
2026-03-02T12:42:00Z,9.00,92.00
2026-03-02T12:43:00Z,9.00,93.01
2026-03-02T12:45:00Z,13.00,89.00
2026-03-02T12:46:00Z,15.25,89.00
2026-03-02T12:47:00Z,17.47,84.53
2026-03-02T12:48:00Z,17.35,82.81
2026-03-02T12:49:00Z,14.47,84.35
2026-03-02T12:50:00Z,15.55,83.85
2026-03-02T12:51:00Z,16.01,86.00
2026-03-02T12:52:00Z,16.00,85.00
2026-03-02T12:53:00Z,17.72,83.82
2026-03-02T12:54:00Z,18.85,82.00
2026-03-02T12:55:00Z,18.12,82.78
2026-03-02T12:56:00Z,20.00,81.00
2026-03-02T12:57:00Z,20.16,82.00
2026-03-02T12:58:00Z,18.00,82.70
2026-03-02T12:59:00Z,18.00,82.54
2026-03-02T13:00:00Z,21.19,82.54
2026-03-02T13:01:00Z,18.10,83.60
2026-03-02T13:02:00Z,22.75,79.90
2026-03-02T13:03:00Z,20.00,77.20
2026-03-02T13:04:00Z,22.60,78.91
2026-03-02T13:05:00Z,21.32,79.00
2026-03-02T13:06:00Z,21.00,79.00
2026-03-02T13:07:00Z,21.54,79.00
2026-03-02T13:08:00Z,21.00,80.00
2026-03-02T13:09:00Z,21.56,80.00
2026-03-02T13:10:00Z,20.49,81.00
2026-03-02T13:11:00Z,23.42,76.00
2026-03-02T13:12:00Z,27.06,74.87
2026-03-02T13:13:00Z,23.98,77.30
2026-03-02T13:14:00Z,24.00,77.00
2026-03-02T13:15:00Z,23.62,78.50
2026-03-02T13:16:00Z,22.91,76.36
2026-03-02T13:17:00Z,29.48,75.00
2026-03-02T13:18:00Z,27.97,72.00
2026-03-02T13:19:00Z,28.98,72.01
2026-03-02T13:20:00Z,26.67,73.00
