# event_ticker=KXATPCHALLENGERMATCH-26MAY12TORFER
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Juan Bautista Torres
# fav_player=Bruno Fernandez
# dog_player=Juan Bautista Torres
# kalshi_date=2026-05-12
timestamp,Juan Bautista Torres,Bruno Fernandez
2026-05-12T09:53:00Z,,18.00
2026-05-12T10:23:00Z,,16.00
2026-05-12T12:09:00Z,84.28,16.00
2026-05-12T14:00:00Z,85.00,16.00
2026-05-12T15:26:00Z,85.00,16.00
2026-05-12T16:04:00Z,86.00,16.00
2026-05-12T16:09:00Z,86.00,16.00
2026-05-12T16:15:00Z,86.00,15.00
2026-05-12T16:19:00Z,86.00,15.00
2026-05-12T16:36:00Z,86.00,15.00
2026-05-12T17:00:00Z,86.00,15.00
2026-05-12T17:02:00Z,86.00,15.00
2026-05-12T17:11:00Z,86.00,15.00
2026-05-12T17:12:00Z,86.00,15.00
2026-05-12T17:17:00Z,86.00,15.00
2026-05-12T17:24:00Z,86.00,15.00
2026-05-12T17:26:00Z,86.00,15.00
2026-05-12T17:29:00Z,86.00,15.00
2026-05-12T17:30:00Z,85.00,15.00
2026-05-12T17:41:00Z,85.00,17.00
2026-05-12T17:47:00Z,86.00,17.00
2026-05-12T17:49:00Z,86.00,19.26
2026-05-12T17:50:00Z,86.00,19.78
2026-05-12T17:51:00Z,83.00,19.78
2026-05-12T17:52:00Z,83.98,19.98
2026-05-12T17:53:00Z,81.00,20.00
2026-05-12T17:54:00Z,78.90,21.88
2026-05-12T17:55:00Z,78.87,22.37
2026-05-12T17:56:00Z,73.52,25.99
2026-05-12T17:57:00Z,74.17,25.90
2026-05-12T17:58:00Z,80.00,20.01
2026-05-12T17:59:00Z,79.51,22.05
2026-05-12T18:00:00Z,79.00,23.00
2026-05-12T18:01:00Z,78.00,23.00
2026-05-12T18:02:00Z,77.00,23.36
2026-05-12T18:03:00Z,78.00,22.37
2026-05-12T18:04:00Z,76.01,24.85
2026-05-12T18:05:00Z,78.11,22.00
2026-05-12T18:06:00Z,81.29,16.00
2026-05-12T18:07:00Z,83.90,14.37
2026-05-12T18:08:00Z,85.55,17.00
2026-05-12T18:09:00Z,85.55,20.55
2026-05-12T18:10:00Z,76.00,26.00
2026-05-12T18:11:00Z,76.00,26.00
2026-05-12T18:12:00Z,73.51,29.00
2026-05-12T18:13:00Z,69.59,28.56
2026-05-12T18:14:00Z,75.28,25.24
2026-05-12T18:15:00Z,76.07,22.91
2026-05-12T18:16:00Z,77.00,22.43
2026-05-12T18:17:00Z,77.00,24.86
2026-05-12T18:18:00Z,75.00,26.97
2026-05-12T18:19:00Z,75.00,27.00
2026-05-12T18:20:00Z,72.08,30.62
2026-05-12T18:21:00Z,69.55,28.00
2026-05-12T18:22:00Z,74.54,26.57
2026-05-12T18:23:00Z,68.00,31.77
2026-05-12T18:24:00Z,72.25,29.44
2026-05-12T18:25:00Z,75.89,26.13
2026-05-12T18:26:00Z,75.52,26.30
2026-05-12T18:27:00Z,73.29,29.73
2026-05-12T18:28:00Z,69.03,33.00
2026-05-12T18:29:00Z,72.64,27.93
2026-05-12T18:30:00Z,70.98,32.34
2026-05-12T18:31:00Z,63.63,37.47
2026-05-12T18:32:00Z,58.68,43.63
2026-05-12T18:33:00Z,59.88,41.31
2026-05-12T18:34:00Z,62.09,41.04
2026-05-12T18:35:00Z,67.29,32.00
2026-05-12T18:36:00Z,72.00,29.00
2026-05-12T18:37:00Z,74.84,26.35
2026-05-12T18:38:00Z,76.00,23.93
2026-05-12T18:39:00Z,77.97,23.44
2026-05-12T18:40:00Z,80.73,21.15
2026-05-12T18:41:00Z,77.96,24.60
2026-05-12T18:42:00Z,77.75,24.05
2026-05-12T18:43:00Z,78.16,22.06
2026-05-12T18:44:00Z,84.32,15.85
2026-05-12T18:45:00Z,90.10,10.91
2026-05-12T18:46:00Z,90.14,10.60
2026-05-12T18:47:00Z,88.25,10.98
2026-05-12T18:48:00Z,88.56,13.41
2026-05-12T18:49:00Z,92.34,8.13
2026-05-12T18:50:00Z,93.52,7.90
2026-05-12T18:51:00Z,93.00,8.37
2026-05-12T18:52:00Z,93.00,7.98
2026-05-12T18:53:00Z,92.02,8.27
2026-05-12T18:54:00Z,93.00,7.97
2026-05-12T18:55:00Z,93.66,5.56
2026-05-12T18:56:00Z,94.67,4.76
2026-05-12T18:57:00Z,96.02,4.90
2026-05-12T18:58:00Z,94.66,6.00
2026-05-12T18:59:00Z,95.62,4.47
2026-05-12T19:00:00Z,95.02,5.70
2026-05-12T19:01:00Z,95.36,5.45
2026-05-12T19:02:00Z,92.48,8.42
2026-05-12T19:03:00Z,91.07,9.02
2026-05-12T19:04:00Z,93.14,7.36
2026-05-12T19:05:00Z,95.91,5.74
2026-05-12T19:06:00Z,96.00,4.78
2026-05-12T19:07:00Z,97.00,3.13
2026-05-12T19:08:00Z,97.00,3.85
2026-05-12T19:09:00Z,97.67,3.57
2026-05-12T19:10:00Z,96.76,3.41
2026-05-12T19:11:00Z,93.90,5.21
2026-05-12T19:12:00Z,92.38,9.26
2026-05-12T19:13:00Z,89.55,10.97
2026-05-12T19:14:00Z,90.28,10.56
2026-05-12T19:15:00Z,94.66,9.33
2026-05-12T19:16:00Z,96.00,3.99
2026-05-12T19:17:00Z,96.65,3.84
2026-05-12T19:18:00Z,97.83,1.37
2026-05-12T19:19:00Z,97.88,2.73
2026-05-12T19:20:00Z,97.00,3.26
2026-05-12T19:21:00Z,97.91,3.05
2026-05-12T19:22:00Z,96.16,4.97
2026-05-12T19:23:00Z,95.02,6.94
2026-05-12T19:24:00Z,95.85,6.77
2026-05-12T19:25:00Z,90.37,10.13
2026-05-12T19:26:00Z,92.40,8.82
2026-05-12T19:27:00Z,98.06,3.25
2026-05-12T19:28:00Z,98.73,3.10
2026-05-12T19:29:00Z,98.99,1.95
2026-05-12T19:30:00Z,99.00,1.00
2026-05-12T19:31:00Z,99.00,1.00
2026-05-12T19:32:00Z,99.00,1.00
