# event_ticker=KXATPMATCH-26JAN13DARTAB
# final_score=1-6 7-5 6-3
# score_resolution=6-1 5-7 3-6
# match_winner=Luciano Darderi
# fav_player=Alejandro Tabilo
# dog_player=Luciano Darderi
# kalshi_date=2026-01-13
timestamp,Alejandro Tabilo,Luciano Darderi
2026-01-13T14:31:00Z,,41.00
2026-01-13T15:21:00Z,61.38,41.00
2026-01-13T16:23:00Z,61.00,41.00
2026-01-13T16:59:00Z,61.00,41.00
2026-01-13T17:46:00Z,61.00,41.00
2026-01-13T17:52:00Z,61.00,41.00
2026-01-13T18:17:00Z,61.00,41.00
2026-01-13T18:42:00Z,61.00,41.00
2026-01-13T19:15:00Z,61.00,41.00
2026-01-13T19:27:00Z,61.00,41.00
2026-01-13T19:39:00Z,59.00,41.00
2026-01-13T19:57:00Z,60.00,41.00
2026-01-13T20:34:00Z,60.22,41.00
2026-01-13T20:39:00Z,60.22,41.00
2026-01-13T20:57:00Z,61.00,41.00
2026-01-13T21:15:00Z,61.00,40.00
2026-01-13T21:18:00Z,61.00,40.00
2026-01-13T21:30:00Z,61.00,40.00
2026-01-13T21:37:00Z,61.00,40.00
2026-01-13T21:41:00Z,61.00,40.00
2026-01-13T21:59:00Z,61.00,40.00
2026-01-13T22:11:00Z,61.00,40.00
2026-01-13T22:16:00Z,61.00,39.00
2026-01-13T22:17:00Z,61.00,40.00
2026-01-13T22:18:00Z,61.00,40.00
2026-01-13T22:21:00Z,61.00,40.00
2026-01-13T22:23:00Z,61.00,40.00
2026-01-13T22:27:00Z,61.00,40.00
2026-01-13T22:29:00Z,61.00,40.00
2026-01-13T22:32:00Z,61.00,40.00
2026-01-13T22:37:00Z,61.00,40.00
2026-01-13T22:47:00Z,61.00,40.00
2026-01-13T22:53:00Z,61.00,40.00
2026-01-13T22:58:00Z,61.00,40.00
2026-01-13T23:03:00Z,61.00,40.00
2026-01-13T23:08:00Z,61.00,40.00
2026-01-13T23:12:00Z,61.00,40.00
2026-01-13T23:13:00Z,61.00,40.00
2026-01-13T23:23:00Z,61.00,40.00
2026-01-13T23:33:00Z,61.00,40.00
2026-01-13T23:35:00Z,61.00,40.00
2026-01-13T23:42:00Z,61.00,40.00
2026-01-13T23:48:00Z,61.00,40.00
2026-01-13T23:52:00Z,60.00,40.00
2026-01-13T23:54:00Z,61.00,40.00
2026-01-13T23:55:00Z,60.00,40.00
2026-01-13T23:58:00Z,60.00,40.00
2026-01-14T00:03:00Z,60.00,40.00
2026-01-14T00:09:00Z,60.00,40.00
2026-01-14T00:12:00Z,60.00,41.00
2026-01-14T00:13:00Z,60.00,41.00
2026-01-14T00:16:00Z,60.00,41.00
2026-01-14T00:18:00Z,60.00,41.00
2026-01-14T00:23:00Z,60.00,41.00
2026-01-14T00:26:00Z,59.00,41.00
2026-01-14T00:28:00Z,59.00,41.00
2026-01-14T00:32:00Z,59.00,41.00
2026-01-14T00:33:00Z,59.00,41.00
2026-01-14T00:35:00Z,60.00,41.00
2026-01-14T00:36:00Z,60.00,41.00
2026-01-14T00:37:00Z,60.00,41.00
2026-01-14T00:39:00Z,60.00,41.00
2026-01-14T00:41:00Z,57.12,43.94
2026-01-14T00:42:00Z,57.12,42.00
2026-01-14T00:43:00Z,57.12,43.04
2026-01-14T00:44:00Z,61.00,40.27
2026-01-14T00:46:00Z,61.00,42.00
2026-01-14T00:47:00Z,59.00,41.00
2026-01-14T00:48:00Z,59.00,40.83
2026-01-14T00:50:00Z,63.89,40.83
2026-01-14T00:52:00Z,65.14,40.83
2026-01-14T00:53:00Z,66.10,34.00
2026-01-14T00:54:00Z,73.67,26.15
2026-01-14T00:55:00Z,77.16,22.34
2026-01-14T00:56:00Z,77.16,23.94
2026-01-14T00:57:00Z,81.00,20.00
2026-01-14T00:58:00Z,81.00,20.00
2026-01-14T00:59:00Z,81.00,20.00
2026-01-14T01:00:00Z,82.23,20.00
2026-01-14T01:01:00Z,86.00,14.00
2026-01-14T01:02:00Z,86.00,13.00
2026-01-14T01:03:00Z,86.00,13.00
2026-01-14T01:04:00Z,86.00,13.00
2026-01-14T01:05:00Z,87.00,13.00
2026-01-14T01:06:00Z,86.11,13.00
2026-01-14T01:07:00Z,86.00,14.00
2026-01-14T01:08:00Z,87.03,15.00
2026-01-14T01:09:00Z,84.00,15.00
2026-01-14T01:10:00Z,82.00,18.00
2026-01-14T01:11:00Z,82.00,18.76
2026-01-14T01:12:00Z,82.00,16.00
2026-01-14T01:13:00Z,87.66,10.65
