# event_ticker=KXATPMATCH-25SEP19BASMED
# final_score=6-2 6-3
# match_winner=Daniil Medvedev
# fav_player=Daniil Medvedev
# dog_player=Nishesh Basavareddy
# kalshi_date=2025-09-19
timestamp,Daniil Medvedev,Nishesh Basavareddy
2025-09-19T17:53:00Z,70.00,
2025-09-19T18:04:00Z,70.00,
2025-09-19T18:13:00Z,70.00,33.02
2025-09-19T18:17:00Z,69.00,33.02
2025-09-19T18:34:00Z,69.00,30.00
2025-09-19T18:35:00Z,69.00,30.00
2025-09-19T18:46:00Z,69.00,31.00
2025-09-19T18:47:00Z,69.00,30.00
2025-09-19T18:48:00Z,69.00,31.00
2025-09-19T19:58:00Z,69.00,32.00
2025-09-19T20:13:00Z,69.00,32.00
2025-09-19T20:32:00Z,69.00,32.00
2025-09-19T20:41:00Z,69.00,32.00
2025-09-19T20:47:00Z,69.00,32.00
2025-09-19T20:50:00Z,69.33,32.00
2025-09-19T20:52:00Z,70.00,32.00
2025-09-19T20:56:00Z,70.00,32.00
2025-09-19T20:58:00Z,70.00,32.00
2025-09-19T20:59:00Z,70.00,32.00
2025-09-19T21:00:00Z,70.00,32.00
2025-09-19T21:02:00Z,70.00,31.00
2025-09-19T21:11:00Z,70.00,31.00
2025-09-19T21:21:00Z,69.00,31.00
2025-09-19T21:23:00Z,69.00,31.00
2025-09-19T21:25:00Z,69.00,31.93
2025-09-19T21:37:00Z,69.00,31.93
2025-09-19T21:39:00Z,69.00,31.93
2025-09-19T21:51:00Z,67.00,32.40
2025-09-19T22:01:00Z,69.00,32.40
2025-09-19T22:03:00Z,69.00,32.40
2025-09-19T22:21:00Z,69.00,32.40
2025-09-19T22:24:00Z,69.00,33.00
2025-09-19T22:27:00Z,69.00,33.00
2025-09-19T22:31:00Z,69.00,33.00
2025-09-19T22:32:00Z,67.00,33.00
2025-09-19T22:53:00Z,69.00,33.00
2025-09-19T22:56:00Z,69.00,33.00
2025-09-19T23:12:00Z,69.00,33.00
2025-09-19T23:22:00Z,69.00,33.00
2025-09-19T23:59:00Z,69.00,33.00
2025-09-20T00:03:00Z,69.00,33.00
2025-09-20T00:04:00Z,69.00,33.00
2025-09-20T00:11:00Z,69.00,33.00
2025-09-20T00:18:00Z,69.00,33.00
2025-09-20T00:34:00Z,69.00,33.00
2025-09-20T00:50:00Z,69.00,33.00
2025-09-20T00:56:00Z,69.00,33.00
2025-09-20T01:03:00Z,69.00,33.00
2025-09-20T01:09:00Z,69.00,33.00
2025-09-20T01:13:00Z,69.00,33.00
2025-09-20T01:18:00Z,68.00,33.00
2025-09-20T01:23:00Z,69.00,33.00
2025-09-20T01:35:00Z,69.00,30.60
2025-09-20T01:37:00Z,69.00,30.60
2025-09-20T01:47:00Z,69.00,32.00
2025-09-20T01:52:00Z,69.87,32.00
2025-09-20T01:54:00Z,69.00,32.00
2025-09-20T02:02:00Z,69.96,32.00
2025-09-20T02:03:00Z,70.00,32.00
2025-09-20T02:05:00Z,70.00,32.00
2025-09-20T02:10:00Z,70.00,32.00
2025-09-20T02:16:00Z,70.00,32.00
2025-09-20T02:22:00Z,70.00,32.00
2025-09-20T02:23:00Z,70.00,32.00
2025-09-20T02:26:00Z,70.00,32.00
2025-09-20T02:32:00Z,70.00,32.00
2025-09-20T02:38:00Z,70.00,32.00
2025-09-20T02:41:00Z,70.00,31.50
2025-09-20T02:45:00Z,70.00,32.00
2025-09-20T02:46:00Z,69.68,32.00
2025-09-20T02:47:00Z,70.00,32.00
2025-09-20T02:56:00Z,70.00,32.00
2025-09-20T02:57:00Z,70.00,32.00
2025-09-20T02:58:00Z,70.00,32.00
2025-09-20T02:59:00Z,70.00,31.00
2025-09-20T03:03:00Z,70.00,31.00
2025-09-20T03:06:00Z,70.00,31.00
2025-09-20T03:08:00Z,70.00,31.00
2025-09-20T03:12:00Z,70.00,31.00
2025-09-20T03:17:00Z,70.00,30.00
2025-09-20T03:18:00Z,70.00,31.87
2025-09-20T03:19:00Z,70.00,31.86
2025-09-20T03:20:00Z,70.00,32.00
2025-09-20T03:21:00Z,70.00,32.00
2025-09-20T03:22:00Z,70.00,31.20
2025-09-20T03:24:00Z,70.00,31.20
2025-09-20T03:25:00Z,70.00,31.20
2025-09-20T03:26:00Z,70.00,31.28
2025-09-20T03:27:00Z,70.00,31.28
2025-09-20T03:28:00Z,70.00,31.28
2025-09-20T03:29:00Z,70.00,31.00
2025-09-20T03:30:00Z,70.00,31.00
2025-09-20T03:32:00Z,71.00,30.00
2025-09-20T03:33:00Z,71.00,30.00
2025-09-20T03:34:00Z,71.00,30.00
2025-09-20T03:35:00Z,71.95,30.00
2025-09-20T03:37:00Z,71.95,30.36
2025-09-20T03:38:00Z,72.93,30.36
2025-09-20T03:39:00Z,73.00,30.00
2025-09-20T03:40:00Z,73.03,30.00
2025-09-20T03:41:00Z,73.00,30.00
2025-09-20T03:42:00Z,73.93,30.00
2025-09-20T03:43:00Z,72.03,27.16
2025-09-20T03:44:00Z,71.00,29.00
2025-09-20T03:45:00Z,73.00,28.00
2025-09-20T03:46:00Z,76.94,27.00
2025-09-20T03:47:00Z,76.76,27.00
2025-09-20T03:48:00Z,71.00,28.16
2025-09-20T03:49:00Z,71.00,30.00
2025-09-20T03:50:00Z,72.66,29.00
2025-09-20T03:51:00Z,70.91,31.00
2025-09-20T03:52:00Z,73.24,28.00
2025-09-20T03:53:00Z,74.00,27.53
