# event_ticker=KXATPCHALLENGERMATCH-26APR20GIUFEN
# final_score=7-6(4) 6-2
# score_resolution=7-6 6-2
# match_winner=Massimo Giunta
# fav_player=Massimo Giunta
# dog_player=Andrew Fenty
# kalshi_date=2026-04-20
timestamp,Massimo Giunta,Andrew Fenty
2026-04-21T03:10:00Z,68.00,30.00
2026-04-21T03:11:00Z,68.00,33.00
2026-04-21T03:12:00Z,65.00,33.00
2026-04-21T03:14:00Z,65.00,34.00
2026-04-21T03:15:00Z,65.00,34.00
2026-04-21T03:16:00Z,65.00,30.00
2026-04-21T03:17:00Z,65.00,30.00
2026-04-21T03:18:00Z,65.00,34.47
2026-04-21T03:20:00Z,65.00,35.00
2026-04-21T03:21:00Z,65.00,31.00
2026-04-21T03:22:00Z,68.00,31.00
2026-04-21T03:23:00Z,68.00,31.00
2026-04-21T03:24:00Z,68.00,32.19
2026-04-21T03:25:00Z,68.00,34.39
2026-04-21T03:26:00Z,68.00,35.00
2026-04-21T03:27:00Z,68.00,34.00
2026-04-21T03:28:00Z,68.00,34.00
2026-04-21T03:29:00Z,68.00,34.00
2026-04-21T03:30:00Z,68.84,34.00
2026-04-21T03:31:00Z,68.84,33.99
2026-04-21T03:32:00Z,71.00,33.00
2026-04-21T03:33:00Z,71.00,34.00
2026-04-21T03:34:00Z,69.00,34.00
2026-04-21T03:35:00Z,69.00,33.00
2026-04-21T03:36:00Z,69.00,33.00
2026-04-21T03:37:00Z,69.00,31.00
2026-04-21T03:38:00Z,71.00,31.00
2026-04-21T03:39:00Z,70.21,31.00
2026-04-21T03:40:00Z,67.02,32.00
2026-04-21T03:41:00Z,67.02,32.00
2026-04-21T03:42:00Z,67.02,32.00
2026-04-21T03:43:00Z,67.02,31.45
2026-04-21T03:44:00Z,67.02,30.00
2026-04-21T03:45:00Z,66.63,30.14
2026-04-21T03:46:00Z,70.00,30.14
2026-04-21T03:48:00Z,70.00,30.75
2026-04-21T03:49:00Z,68.96,32.00
