# event_ticker=KXATPCHALLENGERMATCH-26APR02HEIPRA
# final_score=6-4 6-3
# match_winner=Gustavo Heide
# fav_player=Gustavo Heide
# dog_player=Juan Carlos Prado Angelo
# kalshi_date=2026-04-02
timestamp,Gustavo Heide,Juan Carlos Prado Angelo
2026-04-02T05:45:00Z,,29.00
2026-04-02T09:43:00Z,,32.00
2026-04-02T10:19:00Z,71.00,32.00
2026-04-02T11:03:00Z,71.00,32.00
2026-04-02T11:04:00Z,71.00,32.00
2026-04-02T11:19:00Z,71.00,29.00
2026-04-02T11:28:00Z,71.00,32.00
2026-04-02T12:32:00Z,71.00,32.00
2026-04-02T13:11:00Z,71.00,32.00
2026-04-02T13:17:00Z,71.00,32.00
2026-04-02T13:33:00Z,71.00,32.00
2026-04-02T13:51:00Z,71.00,29.00
2026-04-02T13:53:00Z,71.00,29.00
2026-04-02T14:06:00Z,71.00,32.00
2026-04-02T14:07:00Z,71.00,32.00
2026-04-02T14:09:00Z,68.00,32.00
2026-04-02T14:15:00Z,68.00,32.00
2026-04-02T14:16:00Z,71.00,32.00
2026-04-02T14:17:00Z,71.00,31.00
2026-04-02T14:20:00Z,71.00,32.00
2026-04-02T14:27:00Z,71.00,32.00
2026-04-02T14:29:00Z,71.00,32.00
2026-04-02T14:32:00Z,71.00,32.00
2026-04-02T14:33:00Z,71.00,32.00
2026-04-02T14:34:00Z,71.00,32.00
2026-04-02T14:38:00Z,71.00,32.00
2026-04-02T14:41:00Z,71.00,32.00
2026-04-02T14:42:00Z,70.00,32.00
2026-04-02T14:44:00Z,70.00,32.00
2026-04-02T15:04:00Z,70.00,32.00
2026-04-02T15:06:00Z,70.00,32.00
2026-04-02T15:07:00Z,70.00,32.00
2026-04-02T15:12:00Z,70.00,32.00
2026-04-02T15:14:00Z,70.00,29.00
2026-04-02T15:19:00Z,71.00,32.00
2026-04-02T15:20:00Z,71.00,32.00
2026-04-02T15:21:00Z,71.00,32.07
2026-04-02T15:25:00Z,69.18,32.07
2026-04-02T15:26:00Z,70.00,32.07
2026-04-02T15:27:00Z,71.70,32.07
2026-04-02T15:37:00Z,71.70,31.00
2026-04-02T15:38:00Z,71.67,31.00
2026-04-02T15:46:00Z,68.32,31.00
2026-04-02T15:51:00Z,68.32,31.00
2026-04-02T15:53:00Z,68.32,31.00
2026-04-02T16:03:00Z,68.32,31.00
2026-04-02T16:04:00Z,68.32,31.00
2026-04-02T16:06:00Z,70.58,31.00
2026-04-02T16:14:00Z,70.58,31.32
2026-04-02T16:20:00Z,70.58,32.00
2026-04-02T16:21:00Z,70.58,30.00
2026-04-02T16:23:00Z,71.00,30.00
2026-04-02T16:28:00Z,71.00,30.00
2026-04-02T16:31:00Z,71.00,30.00
2026-04-02T16:32:00Z,71.00,30.00
2026-04-02T16:33:00Z,71.00,30.00
2026-04-02T16:34:00Z,71.00,30.00
2026-04-02T16:35:00Z,71.00,30.00
2026-04-02T16:36:00Z,71.00,30.00
2026-04-02T16:37:00Z,71.01,30.00
2026-04-02T16:38:00Z,71.01,30.00
2026-04-02T16:39:00Z,73.00,27.31
2026-04-02T16:40:00Z,75.10,25.33
2026-04-02T16:41:00Z,74.08,25.35
2026-04-02T16:42:00Z,74.00,26.27
2026-04-02T16:43:00Z,74.00,26.49
2026-04-02T16:44:00Z,73.13,27.00
2026-04-02T16:45:00Z,72.02,26.29
2026-04-02T16:46:00Z,72.78,28.96
2026-04-02T16:47:00Z,73.00,29.06
2026-04-02T16:48:00Z,70.29,30.30
2026-04-02T16:49:00Z,72.66,28.00
2026-04-02T16:50:00Z,73.67,26.73
2026-04-02T16:51:00Z,73.67,26.00
2026-04-02T16:52:00Z,75.00,26.00
2026-04-02T16:53:00Z,73.18,25.59
2026-04-02T16:54:00Z,74.00,28.79
2026-04-02T16:55:00Z,72.00,29.57
2026-04-02T16:56:00Z,72.00,29.00
2026-04-02T16:57:00Z,74.87,26.60
2026-04-02T16:58:00Z,73.03,27.57
2026-04-02T16:59:00Z,74.48,25.00
2026-04-02T17:00:00Z,74.00,26.00
2026-04-02T17:01:00Z,76.22,24.94
2026-04-02T17:02:00Z,76.00,23.02
2026-04-02T17:03:00Z,76.19,22.18
2026-04-02T17:04:00Z,78.99,24.02
2026-04-02T17:05:00Z,72.10,27.96
2026-04-02T17:06:00Z,70.45,30.28
2026-04-02T17:07:00Z,72.74,28.17
2026-04-02T17:08:00Z,74.00,24.96
2026-04-02T17:09:00Z,76.00,24.98
2026-04-02T17:10:00Z,76.00,25.00
2026-04-02T17:11:00Z,76.61,22.52
2026-04-02T17:12:00Z,81.57,18.24
2026-04-02T17:13:00Z,86.86,14.59
2026-04-02T17:14:00Z,82.30,22.44
2026-04-02T17:15:00Z,75.68,25.97
2026-04-02T17:16:00Z,74.56,24.39
2026-04-02T17:17:00Z,72.50,29.03
2026-04-02T17:18:00Z,71.16,29.50
2026-04-02T17:19:00Z,75.16,26.64
2026-04-02T17:20:00Z,72.41,27.90
2026-04-02T17:21:00Z,74.68,25.36
2026-04-02T17:22:00Z,76.00,24.94
2026-04-02T17:23:00Z,73.22,26.55
2026-04-02T17:24:00Z,72.93,29.68
2026-04-02T17:25:00Z,69.79,31.44
2026-04-02T17:26:00Z,70.71,31.73
2026-04-02T17:27:00Z,72.94,26.55
2026-04-02T17:28:00Z,84.44,18.19
2026-04-02T17:29:00Z,88.10,11.94
2026-04-02T17:30:00Z,88.68,11.98
2026-04-02T17:31:00Z,88.68,11.92
2026-04-02T17:32:00Z,88.80,11.79
2026-04-02T17:33:00Z,88.60,12.00
2026-04-02T17:34:00Z,88.97,12.29
2026-04-02T17:35:00Z,90.74,10.45
2026-04-02T17:36:00Z,91.66,8.61
2026-04-02T17:37:00Z,91.00,9.57
2026-04-02T17:38:00Z,92.64,9.30
2026-04-02T17:39:00Z,91.00,9.64
2026-04-02T17:40:00Z,88.86,11.94
2026-04-02T17:41:00Z,92.54,10.34
2026-04-02T17:42:00Z,93.39,6.92
2026-04-02T17:43:00Z,92.90,8.71
2026-04-02T17:44:00Z,93.41,7.07
2026-04-02T17:45:00Z,91.39,9.22
2026-04-02T17:46:00Z,90.99,9.67
2026-04-02T17:47:00Z,91.88,10.00
2026-04-02T17:48:00Z,88.43,11.56
2026-04-02T17:49:00Z,89.03,10.72
2026-04-02T17:50:00Z,88.83,12.37
2026-04-02T17:51:00Z,90.87,9.83
2026-04-02T17:52:00Z,92.00,8.62
2026-04-02T17:53:00Z,92.15,7.81
2026-04-02T17:54:00Z,93.67,7.07
2026-04-02T17:55:00Z,91.34,9.54
2026-04-02T17:56:00Z,91.14,9.57
2026-04-02T17:57:00Z,89.13,11.54
2026-04-02T17:58:00Z,87.15,13.22
2026-04-02T17:59:00Z,85.77,15.12
2026-04-02T18:00:00Z,86.19,14.69
2026-04-02T18:01:00Z,82.38,17.26
2026-04-02T18:02:00Z,83.97,14.67
2026-04-02T18:03:00Z,85.56,12.85
2026-04-02T18:04:00Z,89.84,10.96
2026-04-02T18:05:00Z,90.00,10.64
2026-04-02T18:06:00Z,89.77,11.36
2026-04-02T18:07:00Z,89.22,13.02
2026-04-02T18:08:00Z,86.21,13.40
2026-04-02T18:09:00Z,86.78,12.26
2026-04-02T18:10:00Z,88.40,12.92
2026-04-02T18:11:00Z,84.03,15.99
2026-04-02T18:12:00Z,85.12,15.76
2026-04-02T18:13:00Z,82.13,18.23
2026-04-02T18:14:00Z,86.86,14.15
2026-04-02T18:15:00Z,89.83,11.34
2026-04-02T18:16:00Z,88.46,11.12
2026-04-02T18:17:00Z,92.75,9.28
2026-04-02T18:18:00Z,96.12,3.19
2026-04-02T18:19:00Z,96.17,3.49
2026-04-02T18:20:00Z,92.71,6.10
2026-04-02T18:21:00Z,92.47,8.86
2026-04-02T18:22:00Z,93.99,6.31
2026-04-02T18:23:00Z,89.93,10.34
2026-04-02T18:24:00Z,90.16,8.84
2026-04-02T18:25:00Z,89.16,11.11
2026-04-02T18:26:00Z,93.61,6.60
2026-04-02T18:27:00Z,94.89,6.93
2026-04-02T18:28:00Z,97.86,1.96
2026-04-02T18:29:00Z,97.96,1.94
2026-04-02T18:30:00Z,98.26,2.37
2026-04-02T18:31:00Z,98.97,1.01
2026-04-02T18:32:00Z,99.00,1.00
2026-04-02T18:33:00Z,99.00,1.00
2026-04-02T18:34:00Z,99.00,1.00
2026-04-02T18:35:00Z,99.00,1.00
2026-04-02T18:36:00Z,99.00,1.00
